,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,300701.SZ,森霸传感,,20201231,29.06,0.7169,24.5034,-14.67%,41.33%,30.15~55.47,28.35~60.95,28.35~60.95,
1,600612.SH,老凤祥,,20201231,45.33,2.537,16.0783,7.0%,72.67%,14.91~20.87,15.76~21.52,14.25~23.69,
2,002236.SZ,大华股份,,20201231,19.89,0.6674,14.406,10.33%,43.33%,11.81~28.07,13.52~33.62,13.77~38.35,
3,000848.SZ,承德露露,,20201231,7.1,2.5608,19.0002,16.0%,74.0%,15.72~23.18,16.77~24.99,16.48~29.02,
4,600085.SH,同仁堂,长期,20201231,23.9,1.0879,38.5471,21.0%,75.67%,30.53~48.69,33.45~50.65,31.47~53.13,
5,300638.SZ,广和通,,20201231,59.85,0.3707,52.9837,21.33%,64.0%,42.5~81.72,44.11~82.71,44.11~82.71,
6,603866.SH,桃李面包,,20201231,59.1,1.6361,46.3999,29.67%,90.0%,35.98~49.96,35.55~51.67,35.37~51.89,
7,603360.SH,百傲化学,,20201231,15.26,2.8085,15.8612,31.33%,39.67%,12.57~35.11,11.8~42.72,11.8~42.72,
8,000538.SZ,云南白药,长期,20201231,113.6,2.6408,29.6465,31.33%,88.67%,22.96~33.48,22.54~33.58,22.06~32.88,
9,300653.SZ,正海生物,,20201231,56.63,0.8829,55.2021,32.0%,70.67%,41.07~77.85,41.92~76.9,41.92~76.9,
10,603848.SH,好太太,,20201231,12.56,1.9904,19.7041,38.67%,45.0%,14.69~41.59,13.94~43.88,13.94~43.88,
11,300482.SZ,万孚生物,,20201231,89.21,0.2795,46.093,41.0%,56.0%,29.62~72.26,34.61~85.23,33.93~89.81,
12,002841.SZ,视源股份,,20201231,115.03,0.6398,47.9877,41.33%,91.67%,34.16~52.6,33.6~51.98,33.6~51.98,
13,603387.SH,基蛋生物,,20201231,34.23,1.1687,26.371,41.33%,58.67%,18.27~42.53,18.74~46.12,18.74~46.12,
14,603886.SH,元祖股份,,20201231,17.04,7.0423,15.4067,45.0%,46.33%,14.01~24.93,9.45~39.09,9.45~39.09,
15,002867.SZ,周大生,,20201231,26.65,1.6888,19.9481,48.0%,69.33%,14.01~25.51,13.18~30.4,13.18~30.4,
16,601318.SH,中国平安,长期,20201231,86.98,2.3987,12.9395,52.33%,82.67%,8.66~15.06,8.46~15.52,8.29~16.15,
17,300662.SZ,科锐国际,,20201231,54.1,0.3077,57.8135,53.0%,87.33%,37.26~63.68,37.89~66.75,37.89~66.75,
18,603568.SH,伟明环保,,20201231,18.93,1.2597,20.9274,53.33%,43.33%,21.0~32.56,16.43~54.49,8.95~73.81,
19,603515.SH,欧普照明,,20201231,30.21,1.6414,28.5987,55.67%,64.0%,18.21~38.59,18.44~48.28,18.44~48.28,
20,600298.SH,安琪酵母,长期,20201231,51.07,0.7832,33.7117,59.33%,72.67%,20.38~42.26,22.12~43.88,20.84~53.28,
21,603203.SH,快克股份,,20201231,27.81,0.7551,24.4064,59.67%,57.33%,18.8~32.6,13.89~49.65,13.89~49.65,
22,603811.SH,诚意药业,,20201231,23.1,1.2369,28.583,63.0%,67.67%,19.88~35.28,16.48~46.78,16.48~46.78,
23,002508.SZ,老板电器,,20201231,40.78,1.2261,23.7865,67.0%,78.67%,12.73~26.57,14.42~32.16,15.72~31.98,
24,603043.SH,广州酒家,,20201231,38.73,0.7746,37.3729,69.67%,91.67%,21.51~40.99,22.2~40.62,22.2~40.62,
25,601155.SH,新城控股,,20201231,34.83,4.8821,5.7523,74.0%,35.33%,3.04~13.74,4.57~15.73,2.77~19.36,修正标准差
26,600036.SH,招商银行,长期,20201231,43.95,2.7304,12.0178,74.0%,104.33%,8.66~11.5,7.2~11.46,5.5~11.42,
27,300529.SZ,健帆生物,,20201231,67.82,0.6971,69.453,75.33%,77.0%,42.77~81.31,37.96~94.88,37.96~94.88,
28,603338.SH,浙江鼎力,,20201231,101.19,0.2471,56.4194,77.0%,94.0%,31.15~56.07,34.43~56.85,30.07~67.51,
29,002032.SZ,苏泊尔,,20201231,77.99,1.698,36.5419,81.0%,100.33%,26.73~36.99,21.4~36.1,15.41~35.69,
30,002507.SZ,涪陵榨菜,长期,20201231,42.3,0.7092,47.6462,86.33%,97.33%,24.51~50.07,26.1~47.02,25.93~49.35,
31,000895.SZ,双汇发展,长期,20201231,46.94,3.4044,25.2815,90.0%,97.0%,13.56~27.58,13.04~25.34,13.21~24.91,
32,600887.SH,伊利股份,长期,20201231,44.37,1.8205,36.8322,90.67%,110.0%,22.21~34.45,18.46~33.32,17.66~32.08,
33,603868.SH,飞科电器,,20201231,46.78,2.1377,32.5251,91.0%,79.0%,15.7~36.4,17.77~43.75,17.77~43.75,
34,002415.SZ,海康威视,,20201231,48.51,1.4432,35.3377,91.33%,93.33%,19.42~37.66,18.11~38.25,17.78~36.82,
35,002901.SZ,大博医疗,,20201231,73.73,0.8138,53.8742,96.33%,69.33%,26.8~76.1,27.73~76.97,27.73~76.97,
36,603833.SH,欧派家居,,20201231,134.5,0.571,41.9621,101.0%,88.33%,19.85~44.93,21.34~48.28,21.34~48.28,
37,300628.SZ,亿联网络,,20201231,73.12,0.8175,52.3651,102.0%,109.0%,25.38~46.84,26.1~48.42,26.1~48.42,
38,603589.SH,口子窖,,20201231,68.9,2.1771,32.0912,104.0%,96.33%,15.16~29.58,17.14~32.68,14.95~38.41,
39,002884.SZ,凌霄泵业,,20201231,23.9,4.1841,17.6175,107.33%,73.67%,9.06~21.08,8.23~25.45,8.23~25.45,
40,000049.SZ,德赛电池,,20201231,67.6,1.0355,26.3485,110.0%,76.0%,13.92~23.7,10.65~43.03,13.53~46.51,
41,000661.SZ,长春高新,长期,20201231,448.91,0.1114,65.0123,120.67%,90.67%,30.93~77.57,28.23~69.95,29.23~66.77,
42,603899.SH,晨光股份,长期,20201231,88.56,0.4481,70.1322,135.33%,125.33%,32.01~57.99,28.36~53.82,29.18~55.64,
