,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
45,603848.SH,好太太,,20230208,13.21,1.8925,20.8451,63.0%,67.33%,15.56~23.64,12.89~33.97,10.65~38.73,
46,300015.SZ,爱尔眼科,长期,20230208,32.02,0.2823,85.8425,64.67%,53.33%,65.07~176.39,54.56~158.18,41.53~146.97,
47,603886.SH,元祖股份,,20230208,19.73,5.0684,15.4782,69.33%,65.33%,11.52~18.26,11.25~22.61,6.52~34.9,
48,603369.SH,今世缘,,20230208,60.0,0.9773,31.2092,71.0%,73.67%,21.78~45.6,17.7~42.16,16.06~39.36,
49,002271.SZ,东方雨虹,,20230208,34.96,0.8547,27.6728,71.33%,70.33%,20.73~41.45,14.21~38.91,14.79~36.99,
50,603868.SH,飞科电器,,20230208,68.28,1.4646,33.8023,72.0%,79.67%,22.6~42.84,17.5~40.16,19.35~43.77,
51,000661.SZ,长春高新,长期,20230208,199.62,0.3983,19.8263,72.33%,26.0%,7.11~79.57,14.92~74.6,18.52~69.56,
52,603605.SH,珀莱雅,,20230208,162.56,0.3751,65.1768,74.0%,74.33%,60.05~86.61,33.03~87.69,30.01~87.43,
53,000858.SZ,五粮液,长期,20230208,199.55,1.5149,29.7468,75.0%,57.67%,20.99~55.75,16.86~50.6,14.24~47.3,
54,300357.SZ,我武生物,,20230208,53.49,0.3758,71.6986,78.67%,58.67%,55.74~131.84,41.7~120.88,30.17~112.19,
55,300595.SZ,欧普康视,,20230208,35.9,0.3872,52.064,80.0%,36.0%,41.8~159.06,26.72~139.9,23.39~132.31,
56,603203.SH,快克股份,,20230208,34.78,2.8579,32.361,83.67%,95.67%,21.17~29.13,19.52~30.6,13.82~45.04,
57,600436.SH,片仔癀,长期,20230208,297.63,0.4065,72.7267,85.67%,62.67%,51.91~126.59,37.47~114.87,32.52~105.9,
58,600276.SH,恒瑞医药,长期,20230208,42.96,0.3724,78.3782,86.0%,85.67%,40.86~94.26,46.31~91.35,39.41~87.37,
59,603444.SH,吉比特,,20230208,361.85,8.2907,20.4004,88.67%,52.33%,11.33~41.35,10.02~36.9,11.13~37.99,
60,603039.SH,ST泛微,,20230208,60.3,0.2452,59.3039,100.0%,45.67%,22.33~137.63,35.64~127.52,35.01~123.07,
61,002901.SZ,大博医疗,,20230208,36.98,1.3521,35.6907,100.33%,50.0%,14.9~74.44,19.27~68.41,20.07~69.85,
62,603639.SH,海利尔,,20230208,25.91,3.8645,15.4865,101.0%,68.33%,12.19~19.31,10.74~19.6,4.66~33.66,
63,603801.SH,志邦家居,,20230208,30.37,1.956,18.1985,102.33%,55.67%,10.52~29.04,8.41~32.47,8.3~36.64,
64,600690.SH,海尔智家,,20230208,26.16,1.7402,16.6997,108.33%,55.33%,9.46~33.6,7.46~29.52,7.38~27.14,
65,600809.SH,山西汾酒,长期,20230208,280.46,0.6418,45.3635,111.33%,48.0%,33.02~103.62,18.78~92.62,17.69~84.91,
66,300701.SZ,森霸传感,,20230208,9.1,1.2161,37.2519,118.0%,74.33%,15.97~42.51,18.18~51.98,17.15~56.79,
67,603198.SH,迎驾贡酒,,20230208,68.4,1.3158,33.715,121.67%,91.33%,18.2~38.94,13.24~35.68,14.86~35.72,
68,600763.SH,通策医疗,,20230208,158.2,,84.8412,215.0%,50.33%,42.65~189.99,28.04~164.98,19.06~149.4,
69,603180.SH,金牌厨柜,,20230208,33.99,3.1211,15.2239,249.33%,44.0%,11.42~24.04,4.11~39.45,2.79~48.95,
70,300571.SZ,平治信息,,20230208,37.5,0.2933,28.0981,477.67%,62.0%,17.24~31.04,10.57~47.61,2.15~75.01,
