,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230207,63.72,1.3426,21.593,-9.0%,42.0%,21.36~47.1,24.65~52.85,25.78~52.36,
1,300628.SZ,亿联网络,,20230207,61.76,1.2963,25.5558,-4.67%,45.33%,30.4~58.72,25.1~54.52,25.56~54.1,
2,002507.SZ,涪陵榨菜,长期,20230207,26.06,1.3431,24.7451,-4.0%,48.67%,27.4~53.2,24.81~50.23,25.66~48.26,
3,300529.SZ,健帆生物,,20230207,33.48,2.6514,22.4011,-2.0%,24.67%,18.45~90.19,26.32~83.36,25.9~92.58,
4,603387.SH,基蛋生物,,20230207,13.4,1.8124,10.9421,1.0%,28.33%,10.17~33.37,11.21~38.87,11.19~43.03,
5,600036.SH,招商银行,长期,20230207,38.41,3.9625,7.0189,2.67%,53.67%,6.58~13.68,7.23~12.93,6.74~12.5,
6,000848.SZ,承德露露,,20230207,8.76,,15.9887,10.0%,65.67%,13.6~23.72,14.51~23.59,15.38~25.06,
7,600887.SH,伊利股份,长期,20230207,31.02,3.0952,22.502,10.33%,65.0%,20.84~35.96,21.15~34.05,19.03~33.51,
8,300662.SZ,科锐国际,,20230207,48.95,0.4229,34.1931,10.33%,52.67%,28.81~65.31,31.63~62.49,32.26~65.42,
9,000333.SZ,美的集团,长期,20230207,51.5,3.2405,12.1781,11.0%,51.33%,10.77~24.57,11.4~23.26,10.6~22.72,
10,000895.SZ,双汇发展,长期,20230207,25.21,7.5288,15.9423,13.0%,59.33%,14.89~28.51,13.82~26.46,13.59~25.17,
11,300638.SZ,广和通,,20230207,21.2,0.6186,36.7925,13.67%,47.67%,29.88~72.82,32.76~77.58,34.52~79.72,
12,002032.SZ,苏泊尔,,20230207,52.21,6.0818,20.986,15.33%,56.33%,16.29~37.13,19.28~37.56,18.93~35.69,
13,603338.SH,浙江鼎力,,20230207,59.34,0.573,29.1424,18.67%,48.33%,21.82~62.76,24.45~57.93,27.87~58.61,
14,600612.SH,老凤祥,,20230207,46.78,3.0996,14.1111,19.33%,69.0%,10.81~19.09,11.86~20.38,12.72~21.62,
15,603360.SH,百傲化学,,20230207,17.92,,10.8835,22.67%,38.67%,10.89~19.97,8.78~31.3,7.48~38.5,
16,603568.SH,伟明环保,,20230207,20.2,0.495,21.5841,24.0%,60.33%,19.19~31.41,19.64~31.04,14.21~48.97,
17,002884.SZ,凌霄泵业,,20230207,17.3,5.7803,13.1524,25.67%,57.67%,12.03~22.05,10.08~21.56,9.5~24.52,
18,603043.SH,广州酒家,,20230207,25.15,1.5873,24.4655,27.0%,61.0%,18.07~41.45,19.56~38.96,20.14~38.9,
19,603589.SH,口子窖,,20230207,57.8,2.5816,19.5,27.67%,62.67%,14.54~30.5,14.96~29.78,16.32~32.0,
20,600885.SH,宏发股份,,20230207,36.4,0.8418,31.3651,27.67%,60.0%,29.9~55.24,22.3~51.8,22.52~48.72,
21,603866.SH,桃李面包,,20230207,16.62,2.5786,34.193,28.67%,67.67%,23.68~49.52,27.16~50.0,28.98~51.16,
22,600298.SH,安琪酵母,长期,20230207,41.02,1.168,30.0128,29.0%,71.0%,24.25~43.01,22.24~40.56,23.03~41.85,
23,603515.SH,欧普照明,,20230207,16.77,2.9217,16.0108,29.33%,44.67%,12.28~29.22,12.8~35.18,11.97~45.19,
24,002236.SZ,大华股份,,20230207,13.38,1.9923,15.1859,30.33%,61.33%,12.52~20.22,11.25~24.67,11.1~31.22,
25,002867.SZ,周大生,,20230207,14.88,3.3286,14.1874,30.67%,56.0%,10.32~23.06,11.48~24.46,10.68~28.6,
