,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230210,65.06,1.3149,22.0471,-7.0%,43.0%,21.24~47.1,24.55~52.87,25.71~52.37,
1,002507.SZ,涪陵榨菜,长期,20230210,26.05,1.3436,24.7356,-4.0%,48.67%,27.33~53.23,24.76~50.22,25.61~48.27,
2,300628.SZ,亿联网络,,20230210,64.08,1.2494,26.5158,-1.33%,47.33%,30.19~58.75,25.08~54.52,25.51~54.09,
3,300529.SZ,健帆生物,,20230210,34.02,2.6093,22.7624,0.33%,25.33%,18.12~90.12,26.18~83.38,25.78~92.56,
4,603387.SH,基蛋生物,,20230210,13.36,1.8178,10.9094,1.67%,28.33%,10.06~33.36,11.14~38.84,11.13~43.01,
5,600036.SH,招商银行,长期,20230210,38.16,3.9885,6.9732,2.0%,52.67%,6.56~13.68,7.22~12.92,6.74~12.5,
6,000333.SZ,美的集团,长期,20230210,51.62,3.233,12.2065,11.33%,51.33%,10.74~24.58,11.38~23.24,10.63~22.71,
7,600887.SH,伊利股份,长期,20230210,31.46,3.0519,22.8212,11.67%,66.0%,20.81~35.97,21.14~34.04,19.05~33.51,
8,000848.SZ,承德露露,,20230210,8.92,,16.2808,12.0%,67.0%,13.61~23.73,14.5~23.58,15.36~25.06,
9,300662.SZ,科锐国际,,20230210,49.96,0.4143,34.8987,13.0%,53.67%,28.73~65.33,31.58~62.48,32.22~65.4,
10,000895.SZ,双汇发展,长期,20230210,25.29,7.5049,15.9929,13.0%,59.67%,14.84~28.52,13.81~26.45,13.59~25.17,
11,002032.SZ,苏泊尔,,20230210,52.18,6.0853,20.974,15.67%,56.33%,16.24~37.08,19.25~37.55,18.93~35.69,
12,603338.SH,浙江鼎力,,20230210,58.28,0.5834,28.6219,16.67%,47.33%,21.69~62.75,24.39~57.91,27.8~58.56,
13,300638.SZ,广和通,,20230210,21.7,0.6044,37.6602,16.67%,48.67%,29.74~72.7,32.68~77.58,34.45~79.69,
14,600612.SH,老凤祥,,20230210,47.41,3.0584,14.3011,21.33%,70.0%,10.79~19.07,11.85~20.37,12.72~21.6,
15,603360.SH,百傲化学,,20230210,17.7,,10.7499,21.67%,38.33%,10.88~19.88,8.74~31.28,7.46~38.48,
16,603568.SH,伟明环保,,20230210,20.25,0.4938,21.6376,24.33%,60.33%,19.15~31.37,19.62~31.02,14.26~48.72,
17,002884.SZ,凌霄泵业,,20230210,17.4,5.7471,13.2284,26.33%,57.67%,12.05~22.05,10.08~21.54,9.49~24.51,
18,600885.SH,宏发股份,,20230210,36.25,0.8453,31.2358,27.33%,60.0%,29.82~55.26,22.29~51.79,22.55~48.71,
19,603866.SH,桃李面包,,20230210,16.47,2.6021,33.8844,28.0%,67.0%,23.65~49.51,27.15~49.99,28.96~51.1,
20,603043.SH,广州酒家,,20230210,25.57,1.5612,24.8741,29.0%,61.67%,18.05~41.47,19.56~38.96,20.14~38.88,
21,300653.SZ,正海生物,,20230210,48.15,1.2184,47.5657,30.0%,64.33%,34.47~74.85,37.11~72.65,37.92~72.5,
22,600600.SH,青岛啤酒,长期,20230210,102.28,1.0757,36.6072,30.33%,62.0%,31.69~61.25,29.33~57.57,23.95~56.41,
23,002236.SZ,大华股份,,20230210,13.45,1.9819,15.2653,31.33%,61.67%,12.51~20.15,11.28~24.58,11.1~31.16,
24,600298.SH,安琪酵母,长期,20230210,42.02,1.1402,30.7444,32.33%,73.0%,24.3~43.02,22.25~40.55,23.09~41.69,
25,603589.SH,口子窖,,20230210,60.02,2.4861,20.249,32.33%,65.67%,14.58~30.5,14.95~29.75,16.3~31.96,
26,002867.SZ,周大生,,20230210,15.04,3.2932,14.34,32.33%,56.67%,10.33~23.07,11.46~24.42,10.67~28.59,
27,603515.SH,欧普照明,,20230210,17.15,2.8569,16.3736,32.67%,46.0%,12.24~29.22,12.78~35.12,11.95~45.17,
28,002833.SZ,弘亚数控,,20230210,15.04,2.4696,13.4189,35.33%,39.0%,9.34~32.68,10.64~31.3,9.79~38.99,
