,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,300701.SZ,森霸传感,,20210531,29.4,,21.6296,-9.67%,36.67%,24.56~53.08,23.78~60.76,23.78~60.76,
1,601318.SH,中国平安,长期,20210531,71.8,3.0443,9.0984,5.33%,61.0%,9.28~13.06,8.44~15.56,8.24~16.16,
2,603866.SH,桃李面包,,20210531,34.93,4.0222,39.0744,9.33%,76.67%,35.78~49.56,35.74~50.14,35.25~51.55,
3,600612.SH,老凤祥,,20210531,60.15,1.9119,16.8916,12.33%,77.0%,14.77~20.63,15.54~21.34,14.61~23.59,
4,603515.SH,欧普照明,,20210531,28.25,1.7553,22.6341,20.33%,53.67%,19.55~33.61,18.32~47.42,18.32~47.42,
5,603848.SH,好太太,,20210531,12.13,2.061,16.7546,20.33%,42.67%,16.14~33.26,12.91~42.65,12.91~42.65,
6,002867.SZ,周大生,,20210531,27.03,1.665,17.2086,24.0%,61.33%,14.29~24.33,13.59~30.17,13.59~30.17,
7,300638.SZ,广和通,,20210531,39.11,0.4512,51.5643,24.0%,63.67%,39.52~78.76,42.4~81.58,42.4~81.58,
8,002841.SZ,视源股份,,20210531,130.87,0.5625,45.0385,30.33%,86.0%,34.77~52.31,34.14~52.06,34.14~52.06,
9,603811.SH,诚意药业,,20210531,25.9,1.1031,23.192,30.67%,57.0%,20.32~32.54,16.59~45.81,16.59~45.81,
10,002032.SZ,苏泊尔,,20210531,70.8,3.6931,28.2903,30.67%,76.33%,27.56~37.48,22.91~36.55,16.93~36.31,
11,603886.SH,元祖股份,,20210531,18.01,5.5525,13.0095,31.67%,41.33%,13.47~22.83,8.73~38.13,8.73~38.13,
12,002236.SZ,大华股份,,20210531,23.13,1.1587,17.6196,33.67%,59.67%,13.72~22.42,12.67~32.59,13.13~37.17,
13,603043.SH,广州酒家,,20210531,37.98,0.7899,30.7511,33.67%,74.33%,23.11~41.95,22.78~40.84,22.78~40.84,
14,603387.SH,基蛋生物,,20210531,31.54,,25.3316,35.0%,59.67%,18.95~37.35,18.56~45.1,18.56~45.1,
15,603039.SH,ST泛微,,20210531,67.54,0.1851,74.3603,35.0%,56.0%,62.28~135.38,51.89~129.29,51.89~129.29,
16,603338.SH,浙江鼎力,,20210531,64.62,0.3869,44.0401,39.0%,70.67%,30.56~59.76,33.75~58.33,30.65~67.81,
17,000848.SZ,承德露露,,20210531,9.53,2.6623,22.2237,39.0%,89.0%,15.57~21.87,16.25~24.91,15.92~28.56,
18,000538.SZ,云南白药,长期,20210531,125.6,2.3885,32.1067,40.67%,94.67%,22.67~33.39,23.44~34.38,22.01~33.61,
19,600887.SH,伊利股份,长期,20210531,40.49,1.9949,28.0955,43.67%,80.67%,21.96~35.86,19.38~34.82,17.49~33.37,
20,000895.SZ,双汇发展,长期,20210531,35.22,9.3073,19.5807,44.67%,74.0%,13.69~28.27,13.57~26.09,13.26~24.88,
21,000049.SZ,德赛电池,,20210531,44.16,2.6549,17.5191,45.67%,50.33%,13.31~24.57,10.1~42.02,13.16~44.7,
22,300482.SZ,万孚生物,,20210531,71.93,0.5335,46.2782,48.0%,57.67%,28.4~69.14,32.47~83.47,32.94~88.48,
