,证券代码,证券简称,跟踪时间,日期,收盘价,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
48,300015.SZ,爱尔眼科,长期,20230203,33.15,88.872,71.0%,55.33%,65.15~176.39,54.49~158.19,41.49~146.99,
49,603369.SH,今世缘,,20230203,60.36,31.3964,72.0%,73.67%,21.74~45.6,17.66~42.16,16.03~39.35,
50,603868.SH,飞科电器,,20230203,68.52,33.9211,72.67%,80.0%,22.47~42.85,17.5~40.16,19.33~43.77,
51,603605.SH,珀莱雅,,20230203,162.02,64.9603,74.0%,74.0%,60.02~86.62,32.8~87.72,29.97~87.45,
52,002271.SZ,东方雨虹,,20230203,35.83,28.3615,76.0%,72.0%,20.67~41.47,14.21~38.91,14.77~36.99,
53,000858.SZ,五粮液,长期,20230203,210.0,31.3045,84.67%,61.0%,20.99~55.75,16.87~50.61,14.19~47.31,
54,300357.SZ,我武生物,,20230203,55.11,73.87,84.67%,60.67%,55.84~131.84,41.52~120.9,30.12~112.18,
55,300595.SZ,欧普康视,,20230203,36.92,53.5432,85.0%,37.0%,42.03~159.03,26.67~139.91,23.41~132.39,
56,603444.SH,吉比特,,20230203,355.65,20.0509,85.33%,51.33%,11.38~41.42,10.02~36.9,11.12~38.0,
57,600276.SH,恒瑞医药,长期,20230203,42.8,78.0863,85.67%,85.33%,40.86~94.28,46.28~91.32,39.35~87.33,
58,603203.SH,快克股份,,20230203,35.24,32.789,86.33%,97.0%,21.2~29.06,19.51~30.61,13.8~45.06,
59,600436.SH,片仔癀,长期,20230203,304.6,74.4298,90.33%,64.0%,51.76~126.62,37.39~114.85,32.44~105.9,
60,603639.SH,海利尔,,20230203,25.73,15.3789,99.67%,67.33%,12.17~19.31,10.72~19.68,4.65~33.67,
61,603801.SH,志邦家居,,20230203,30.18,18.0846,101.67%,55.33%,10.5~29.04,8.36~32.64,8.3~36.66,
62,600690.SH,海尔智家,,20230203,25.91,16.5401,106.67%,55.0%,9.42~33.6,7.46~29.52,7.36~27.14,
63,002901.SZ,大博医疗,,20230203,38.35,37.013,107.33%,51.67%,14.98~74.54,19.28~68.42,20.07~69.89,
64,603039.SH,ST泛微,,20230203,63.51,62.4609,110.0%,47.67%,22.49~137.83,35.66~127.52,35.02~123.14,
65,600809.SH,山西汾酒,长期,20230203,286.58,46.3533,116.0%,49.33%,32.92~103.64,18.8~92.62,17.68~84.92,
66,603198.SH,迎驾贡酒,,20230203,66.8,32.9264,117.33%,89.33%,18.06~38.94,13.22~35.62,14.86~35.7,
67,300701.SZ,森霸传感,,20230203,9.15,37.4565,119.0%,74.67%,15.94~42.62,18.19~51.99,17.13~56.81,
68,600763.SH,通策医疗,,20230203,162.97,87.3993,225.67%,51.67%,42.52~190.0,27.9~164.98,19.03~149.41,
69,603180.SH,金牌厨柜,,20230203,33.78,15.1298,252.0%,43.0%,11.43~24.05,3.91~39.91,2.81~48.99,
70,300571.SZ,平治信息,,20230203,37.1,27.7984,475.0%,61.0%,17.23~31.03,10.44~47.94,2.14~75.06,
