,code,name,date,market_value,pe_ttm,price
0,sh600612,老凤祥,1997-01-02,7.72,13.48,1.63
1,sh600612,老凤祥,1997-01-03,7.74,13.52,1.64
2,sh600612,老凤祥,1997-01-06,7.56,13.2,1.6
3,sh600612,老凤祥,1997-01-07,7.58,13.25,1.6
4,sh600612,老凤祥,1997-01-08,7.7,13.44,1.63
5,sh600612,老凤祥,1997-01-09,7.73,13.5,1.63
6,sh600612,老凤祥,1997-01-10,7.77,13.58,1.64
7,sh600612,老凤祥,1997-01-13,7.78,13.59,1.65
8,sh600612,老凤祥,1997-01-14,7.61,13.29,1.61
9,sh600612,老凤祥,1997-01-15,7.77,13.58,1.64
10,sh600612,老凤祥,1997-01-16,7.69,13.43,1.63
11,sh600612,老凤祥,1997-01-17,7.7,13.45,1.63
12,sh600612,老凤祥,1997-01-20,7.74,13.52,1.64
13,sh600612,老凤祥,1997-01-21,7.83,13.68,1.66
14,sh600612,老凤祥,1997-01-22,7.85,13.71,1.66
15,sh600612,老凤祥,1997-01-23,7.84,13.69,1.66
16,sh600612,老凤祥,1997-01-24,7.88,13.76,1.67
17,sh600612,老凤祥,1997-01-27,7.89,13.77,1.67
18,sh600612,老凤祥,1997-01-28,8.19,14.3,1.73
19,sh600612,老凤祥,1997-01-29,8.13,14.19,1.72
20,sh600612,老凤祥,1997-01-30,8.03,14.03,1.7
21,sh600612,老凤祥,1997-01-31,8.09,14.12,1.71
22,sh600612,老凤祥,1997-02-17,8.09,14.12,1.71
23,sh600612,老凤祥,1997-02-18,7.3,12.75,1.54
24,sh600612,老凤祥,1997-02-19,7.95,13.89,1.68
25,sh600612,老凤祥,1997-02-20,8.05,14.05,1.7
26,sh600612,老凤祥,1997-02-21,8.79,15.35,1.86
27,sh600612,老凤祥,1997-02-24,8.64,15.1,1.83
28,sh600612,老凤祥,1997-02-25,8.87,15.5,1.88
29,sh600612,老凤祥,1997-02-26,8.99,15.71,1.9
30,sh600612,老凤祥,1997-02-27,9.0,15.72,1.9
31,sh600612,老凤祥,1997-02-28,9.1,15.89,1.92
32,sh600612,老凤祥,1997-03-03,8.84,15.44,1.87
33,sh600612,老凤祥,1997-03-04,8.76,15.31,1.85
34,sh600612,老凤祥,1997-03-05,8.92,15.58,1.89
35,sh600612,老凤祥,1997-03-06,9.07,15.83,1.92
36,sh600612,老凤祥,1997-03-07,9.07,15.85,1.92
37,sh600612,老凤祥,1997-03-10,9.34,16.31,1.97
38,sh600612,老凤祥,1997-03-11,9.32,16.28,1.97
39,sh600612,老凤祥,1997-03-12,9.77,17.07,2.07
40,sh600612,老凤祥,1997-03-13,9.71,16.96,2.05
41,sh600612,老凤祥,1997-03-14,7.9,13.8,2.32
42,sh600612,老凤祥,1997-03-17,7.97,13.91,2.34
43,sh600612,老凤祥,1997-03-18,7.89,13.77,2.31
44,sh600612,老凤祥,1997-03-19,8.16,14.25,2.39
45,sh600612,老凤祥,1997-03-20,7.77,13.57,2.28
46,sh600612,老凤祥,1997-03-21,8.05,14.05,2.36
47,sh600612,老凤祥,1997-03-24,8.05,14.07,2.36
48,sh600612,老凤祥,1997-03-25,7.98,13.94,2.34
49,sh600612,老凤祥,1997-03-26,8.01,14.0,2.35
50,sh600612,老凤祥,1997-03-27,8.19,14.3,2.4
51,sh600612,老凤祥,1997-03-28,8.09,14.12,2.37
