,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230420,28.08,3.4195,2.85,20.368,6.0%,56.0%,24.44,18.84~37.38,19.54~35.02,,1.75,0.8,69.39,51.14,,,
1,300628.SZ,亿联网络,2017,,20230420,61.96,1.2921,1.66,25.5772,7.0%,42.5%,28.96,25.6~61.3,22.25~57.01,,1.75,1.03,43.03,8.28,,,
2,002507.SZ,涪陵榨菜,2010,长期,20230420,24.49,1.4292,1.18,24.1859,8.0%,44.5%,21.59,22.96~55.82,21.7~52.2,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
3,603568.SH,伟明环保,2015,,20230420,17.97,0.5565,1.45,19.2013,12.5%,58.5%,25.51,16.61~32.57,17.41~32.45,,2.0,0.26,27.33,43.46,,,
4,603288.SH,海天味业,2014,长期,20230420,72.04,0.9591,1.3,50.3485,16.5%,54.5%,33.46,46.25~95.63,40.21~87.69,,1.5,0.94,55.97,30.65,,,
5,000895.SZ,双汇发展,1998,长期,20230420,26.4,7.1894,5.42,16.2727,17.0%,59.0%,30.9,14.15~28.31,13.57~26.37,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
6,600885.SH,宏发股份,1996,,20230420,31.76,0.9648,1.1,26.5485,18.0%,46.5%,16.79,26.46~57.72,19.52~54.2,,1.75,0.35,30.75,33.39,,,
7,600519.SH,贵州茅台,2001,长期,20230420,1741.88,2.5022,0.96,34.8895,18.5%,62.5%,32.37,34.63~56.87,25.31~54.29,,1.5,16.71,51.72,24.38,,,
8,600036.SH,招商银行,2002,长期,20230420,34.99,4.3498,3.29,6.394,19.0%,43.5%,15.51,4.91~15.01,5.88~13.94,,2.0,1.15,31.07,91.57,,,
9,000848.SZ,承德露露,1997,,20230420,8.9,,3.93,15.9167,20.0%,65.0%,22.17,12.9~24.54,13.54~24.08,,1.75,0.35,81.07,31.26,,,
10,002032.SZ,苏泊尔,2004,,20230420,53.12,5.9915,1.98,20.727,21.0%,55.5%,28.57,15.62~36.56,18.83~37.51,,1.5,1.05,45.55,42.99,,,
11,300482.SZ,万孚生物,2015,,20230420,29.06,1.028,1.2,10.7919,21.5%,17.0%,21.49,8.24~57.66,9.58~67.08,修正标准差,2.25,0.35,27.39,24.92,,,
12,000049.SZ,德赛电池,1995,,20230420,40.5,1.8575,1.46,13.3515,26.5%,51.5%,25.27,10.24~26.58,10.81~25.05,,2.0,0.59,23.65,70.97,,,
13,300357.SZ,我武生物,2014,,20230420,46.31,0.434,0.52,62.0744,28.5%,49.0%,24.02,54.07~131.91,43.27~120.51,,1.5,0.24,31.29,5.72,,,
14,600298.SH,安琪酵母,2000,长期,20230420,39.64,1.2087,1.06,26.0712,30.0%,57.5%,21.99,20.87~46.15,19.04~43.46,,2.0,0.42,34.31,46.8,,,
