,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230321,24.68,1.4182,1.18,24.3736,5.0%,44.5%,21.59,24.03~55.71,22.18~52.24,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230321,28.98,3.3133,2.76,21.0208,7.5%,58.0%,24.44,19.21~37.29,19.8~35.0,,1.75,0.8,69.39,51.14,,,
2,600036.SH,招商银行,2002,长期,20230321,34.23,4.4464,3.36,6.2551,12.5%,43.0%,15.51,5.12~14.94,6.06~13.9,,2.0,1.15,31.07,91.57,,,
3,000895.SZ,双汇发展,1998,长期,20230321,25.21,7.5288,5.67,15.9423,13.0%,58.0%,30.9,14.47~28.45,13.67~26.39,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,603568.SH,伟明环保,2015,,20230321,18.78,0.5325,1.38,20.0668,16.0%,60.5%,25.51,16.81~33.03,17.61~32.59,,2.0,0.26,27.33,43.46,,,
5,000848.SZ,承德露露,1997,,20230321,8.61,,4.07,15.715,18.5%,64.5%,22.17,12.83~24.55,13.65~24.17,,1.75,0.35,81.07,31.26,,,
6,603288.SH,海天味业,2014,长期,20230321,74.8,0.9237,1.26,52.2774,20.5%,56.5%,33.46,46.87~95.57,39.94~87.74,,1.5,0.94,55.97,30.65,,,
7,002032.SZ,苏泊尔,2004,,20230321,53.94,5.8867,1.95,21.0957,21.0%,56.5%,28.57,15.91~36.75,19.03~37.53,,1.5,1.05,45.55,42.99,,,
8,300482.SZ,万孚生物,2015,,20230321,31.27,0.9553,1.12,11.1462,21.0%,17.0%,21.49,8.67~60.69,9.76~68.34,修正标准差,2.25,0.35,27.39,24.92,,,
9,000333.SZ,美的集团,2013,长期,20230321,52.1,3.2032,2.84,12.32,26.0%,49.0%,25.21,9.29~25.77,10.19~23.99,,1.75,1.48,43.94,65.34,,,
10,600885.SH,宏发股份,1996,,20230321,33.33,0.9194,1.05,28.7197,26.0%,50.5%,16.79,26.94~57.52,19.66~54.2,,1.75,0.35,30.75,33.39,,,
11,600519.SH,贵州茅台,2001,长期,20230321,1775.0,2.4555,0.94,37.4158,28.0%,66.5%,32.37,34.56~56.9,25.18~54.3,,1.5,16.71,51.72,24.38,,,
12,000049.SZ,德赛电池,1995,,20230321,42.4,1.7743,1.39,13.9779,30.5%,53.5%,25.27,10.37~26.55,10.93~25.19,,2.0,0.59,23.65,70.97,,,
13,002884.SZ,凌霄泵业,2017,,20230321,15.78,6.3371,7.1,11.9968,31.5%,50.5%,20.71,10.41~23.69,8.1~23.16,,2.0,1.12,74.54,8.45,,,
14,300628.SZ,亿联网络,2017,,20230321,79.0,1.0134,1.3,32.6114,34.0%,55.0%,28.96,26.4~61.14,22.44~56.98,,1.75,1.03,43.03,8.28,,,
15,002508.SZ,老板电器,2010,,20230321,28.08,1.7714,2.17,21.7934,38.5%,88.0%,24.01,16.84~24.98,14.69~24.47,,1.5,0.61,39.35,34.91,,,
16,300357.SZ,我武生物,2014,,20230321,50.7,0.3964,0.47,67.9588,40.5%,53.5%,24.02,55.0~131.82,42.86~120.6,,1.5,0.24,31.29,5.72,,,
17,600298.SH,安琪酵母,2000,长期,20230321,39.94,1.1996,1.05,29.2226,45.0%,65.0%,21.99,21.17~46.13,19.13~43.49,,2.0,0.42,34.31,46.8,,,
18,600600.SH,青岛啤酒,1993,长期,20230321,107.48,1.0236,0.61,38.4683,47.5%,60.0%,10.23,27.83~65.71,24.48~62.02,,2.0,0.66,44.87,46.37,,,
19,603899.SH,晨光股份,2015,长期,20230321,50.48,1.1896,0.81,35.025,50.5%,51.5%,26.23,22.03~70.29,24.39~63.85,,1.75,0.41,35.76,39.98,,,
20,002841.SZ,视源股份,2017,,20230321,77.45,1.1046,0.98,26.2457,50.5%,48.0%,32.54,16.01~51.39,18.94~57.6,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
21,603866.SH,桃李面包,2015,,20230321,15.75,2.7211,5.59,32.4031,53.5%,60.0%,18.9,19.23~53.35,23.21~53.71,,2.0,0.88,78.95,16.76,,,
22,600436.SH,片仔癀,2003,长期,20230321,281.4,0.43,0.28,68.7608,54.0%,56.5%,24.1,53.95~126.17,37.97~114.91,,1.5,0.79,31.76,20.16,,,
23,600085.SH,同仁堂,1997,长期,20230321,49.5,0.5859,0.75,51.8131,57.5%,95.5%,11.77,35.43~54.17,30.56~53.48,,1.75,0.37,48.2,30.18,,,
24,002304.SZ,洋河股份,2009,,20230321,162.5,1.8455,1.82,26.1434,59.5%,62.0%,21.82,19.44~43.04,14.08~40.3,,1.75,2.95,59.95,32.33,,,
25,000538.SZ,云南白药,1993,长期,20230321,53.12,2.1507,4.52,35.9104,59.5%,91.5%,14.5,23.15~39.83,21.89~38.37,,1.75,2.4,73.32,29.85,,,
26,300529.SZ,健帆生物,2016,,20230321,30.83,2.8793,2.21,20.628,61.5%,22.0%,30.4,9.38~95.52,19.82~88.54,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
27,600612.SH,老凤祥,1992,,20230321,53.19,2.7261,2.26,16.3641,64.5%,77.5%,21.21,9.44~20.34,10.44~21.6,,2.0,1.2,45.31,51.38,,,
28,300015.SZ,爱尔眼科,2009,长期,20230321,30.82,0.2933,0.58,82.6255,64.5%,46.5%,20.49,54.85~185.83,45.95~166.65,,1.75,0.18,41.94,39.14,,,
29,603833.SH,欧派家居,2017,,20230321,128.2,1.3651,0.9,30.7139,69.0%,65.5%,22.46,19.04~47.02,17.26~46.3,,2.0,1.16,30.31,35.64,,,
30,603369.SH,今世缘,2014,,20230321,60.22,0.9737,0.68,31.3236,75.0%,67.5%,20.74,20.23~47.59,15.97~44.29,,1.75,0.41,35.75,30.0,,,
31,002867.SZ,周大生,2017,,20230321,16.23,3.0518,3.08,15.4746,75.5%,60.0%,21.77,8.26~25.18,9.38~26.08,,2.0,0.5,38.02,21.25,,,
32,002415.SZ,海康威视,2010,,20230321,41.0,2.2114,1.71,29.9303,76.5%,75.0%,30.75,16.34~40.54,17.54~38.58,,1.5,0.7,51.53,39.23,,,
33,000661.SZ,长春高新,1996,长期,20230321,169.87,0.4681,0.49,16.8711,78.0%,22.0%,24.93,10.33~72.33,8.73~79.55,修正标准差,1.75,0.84,12.95,28.62,,,
34,000858.SZ,五粮液,1998,长期,20230321,192.24,1.5725,1.12,28.6571,80.5%,50.5%,23.54,18.22~58.62,14.0~53.32,,1.75,2.16,50.18,24.79,,,
35,603360.SH,百傲化学,2017,,20230321,18.23,,3.13,11.0718,81.5%,42.0%,23.28,9.19~20.87,4.55~34.83,,2.0,0.57,64.62,18.77,,,
36,601155.SH,新城控股,2015,,20230321,16.81,,7.61,3.7679,82.0%,40.5%,33.68,2.69~7.73,1.68~11.18,,2.25,1.28,28.97,85.18,,,
37,603589.SH,口子窖,2015,,20230321,68.75,2.1704,1.88,23.1942,84.5%,71.0%,23.49,12.58~33.08,12.52~32.04,,2.0,1.29,51.89,28.32,,,
38,601318.SH,中国平安,2007,长期,20230321,46.01,5.1759,2.89,10.0398,84.5%,72.5%,18.87,5.17~13.21,5.73~14.45,,2.25,1.33,19.94,89.53,,,
39,603707.SH,健友股份,2017,,20230321,16.03,0.7198,1.12,23.1105,87.5%,31.0%,21.5,11.77~73.59,12.84~72.46,,2.25,0.18,22.01,35.86,,,
40,002916.SZ,深南电路,2017,,20230321,87.79,1.0821,0.98,27.4591,90.5%,43.5%,21.79,12.79~60.67,16.43~64.57,,2.25,0.86,31.74,53.79,,,
41,603387.SH,基蛋生物,2017,,20230321,13.55,1.7923,2.88,11.0646,97.0%,27.0%,21.38,5.25~36.97,5.99~42.79,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
42,603605.SH,珀莱雅,2017,,20230321,177.4,0.3437,0.33,71.1267,99.0%,75.5%,20.52,56.3~91.0,26.11~96.57,,2.0,0.58,30.36,35.45,,,
43,603043.SH,广州酒家,2017,,20230321,28.01,1.4242,1.32,31.3688,105.0%,71.5%,21.02,14.21~45.41,16.47~42.21,,2.0,0.37,38.18,26.29,,,
44,603848.SH,好太太,2017,,20230321,15.39,1.6244,1.49,24.2851,108.5%,80.5%,20.09,13.99~25.47,9.94~36.34,,2.0,0.23,34.0,21.27,,,
