,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,600887.SH,伊利股份,1996,20230413,28.1,3.417,20.3825,5.0%,56.0%,1.75,,,,
1,002507.SZ,涪陵榨菜,2010,20230413,24.69,1.4176,24.3834,8.0%,44.5%,1.75,20230203.0,26.743,25.28,-7.68
2,300628.SZ,亿联网络,2017,20230413,64.01,1.2508,26.4234,10.0%,44.5%,1.75,,,,
3,000895.SZ,双汇发展,1998,20230413,25.78,7.3623,15.8906,13.5%,58.0%,1.5,20230208.0,25.173,15.86,2.41
4,002841.SZ,视源股份,2017,20230413,73.72,1.1604,24.9817,46.0%,45.5%,2.0,20230209.0,64.33,21.91,14.6
5,603338.SH,浙江鼎力,2015,20230413,53.73,0.6328,21.6395,84.5%,30.5%,2.25,20230130.0,51.596,,4.14
6,600276.SH,恒瑞医药,2000,20230413,47.35,0.3379,86.3875,146.0%,85.0%,2.0,20210810.0,57.559,56.74,-17.74
7,300529.SZ,健帆生物,2016,20230413,31.7,2.8002,28.784,153.0%,31.0%,1.75,20230202.0,34.897,23.21,-9.16
8,603387.SH,基蛋生物,2017,20230413,13.66,1.7779,14.0587,163.5%,35.5%,2.0,20230217.0,13.253,10.88,3.07
