,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,002507.SZ,涪陵榨菜,2010,20230315,24.55,1.4257,24.2452,4.0%,44.5%,1.75,20230203.0,26.743,25.28,-8.2
1,600887.SH,伊利股份,1996,20230315,29.19,3.2894,21.1731,7.5%,58.0%,1.75,,,,
2,000895.SZ,双汇发展,1998,20230315,25.58,7.4199,16.1763,14.5%,58.5%,1.5,20230208.0,25.173,15.86,1.62
3,002841.SZ,视源股份,2017,20230315,67.0,1.2768,22.7045,29.5%,41.5%,2.0,20230209.0,64.33,21.91,4.15
4,300529.SZ,健帆生物,2016,20230315,30.9,2.8727,20.6749,56.5%,22.0%,1.75,20230202.0,34.897,23.21,-11.45
5,603387.SH,基蛋生物,2017,20230315,13.58,1.7883,11.0891,93.5%,27.0%,2.0,20230217.0,13.253,10.88,2.47
6,600276.SH,恒瑞医药,2000,20230315,41.38,0.3866,75.4955,115.0%,74.5%,2.0,20210810.0,57.559,56.74,-28.11
7,603338.SH,浙江鼎力,2015,20230315,55.4,0.6137,27.2075,116.5%,39.0%,2.25,20230130.0,51.596,,7.37
