,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230404,29.11,3.2985,2.75,21.1151,8.5%,58.0%,24.44,19.06~37.32,19.68~35.0,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230404,25.07,1.3961,1.16,24.7587,8.5%,45.5%,21.59,23.55~55.79,21.97~52.23,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,600036.SH,招商银行,2002,长期,20230404,34.28,4.4399,3.35,6.2642,14.5%,43.0%,15.51,5.01~14.97,5.98~13.92,,2.0,1.15,31.07,91.57,,,
3,603568.SH,伟明环保,2015,,20230404,18.45,0.542,1.41,19.7142,15.0%,59.5%,25.51,16.69~32.89,17.51~32.55,,2.0,0.26,27.33,43.46,,,
4,000895.SZ,双汇发展,1998,长期,20230404,26.11,7.2692,5.48,16.094,15.0%,58.5%,30.9,14.33~28.41,13.62~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,600885.SH,宏发股份,1996,,20230404,32.2,0.9516,1.09,26.9163,18.5%,47.5%,16.79,26.78~57.58,19.59~54.19,,1.75,0.35,30.75,33.39,,,
6,002032.SZ,苏泊尔,2004,,20230404,52.9,6.0025,1.98,20.689,19.5%,55.5%,28.57,15.8~36.66,18.96~37.52,,1.5,1.05,45.55,42.99,,,
7,000848.SZ,承德露露,1997,,20230404,8.83,,3.96,16.1165,21.5%,65.5%,22.17,12.86~24.54,13.61~24.13,,1.75,0.35,81.07,31.26,,,
8,300628.SZ,亿联网络,2017,,20230404,72.75,1.1005,1.42,30.0313,23.5%,50.5%,28.96,26.13~61.15,22.43~56.97,,1.75,1.03,43.03,8.28,,,
9,600519.SH,贵州茅台,2001,长期,20230404,1814.59,2.4019,0.92,36.3459,24.0%,64.5%,32.37,34.68~56.84,25.24~54.28,,1.5,16.71,51.72,24.38,,,
10,603288.SH,海天味业,2014,长期,20230404,78.36,0.8817,1.2,54.7655,26.5%,59.5%,33.46,46.65~95.57,40.07~87.69,,1.5,0.94,55.97,30.65,,,
