,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230323,24.89,1.4062,1.17,24.581,6.0%,45.5%,21.59,23.93~55.73,22.15~52.23,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230323,29.01,3.3098,2.76,21.0426,7.5%,58.0%,24.44,19.18~37.3,19.77~35.01,,1.75,0.8,69.39,51.14,,,
2,000895.SZ,双汇发展,1998,长期,20230323,25.3,7.502,5.65,15.9992,13.5%,58.0%,30.9,14.45~28.45,13.66~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
3,603568.SH,伟明环保,2015,,20230323,18.5,0.5405,1.41,19.7677,14.5%,59.5%,25.51,16.79~32.99,17.59~32.59,,2.0,0.26,27.33,43.46,,,
4,600036.SH,招商银行,2002,长期,20230323,35.2,4.3239,3.27,6.4323,16.0%,44.5%,15.51,5.09~14.95,6.04~13.9,,2.0,1.15,31.07,91.57,,,
5,000848.SZ,承德露露,1997,,20230323,8.72,,4.01,15.9157,19.5%,64.5%,22.17,12.84~24.56,13.64~24.16,,1.75,0.35,81.07,31.26,,,
6,603288.SH,海天味业,2014,长期,20230323,74.78,0.9239,1.26,52.2635,20.5%,56.5%,33.46,46.84~95.58,39.98~87.74,,1.5,0.94,55.97,30.65,,,
7,300482.SZ,万孚生物,2015,,20230323,31.43,0.9504,1.11,11.2032,21.5%,17.0%,21.49,8.63~60.43,9.75~68.25,修正标准差,2.25,0.35,27.39,24.92,,,
8,002032.SZ,苏泊尔,2004,,20230323,54.69,5.806,1.92,21.3891,23.0%,57.5%,28.57,15.89~36.73,19.02~37.52,,1.5,1.05,45.55,42.99,,,
9,000333.SZ,美的集团,2013,长期,20230323,51.82,3.2205,2.86,12.2538,26.0%,49.0%,25.21,9.28~25.76,10.17~23.97,,1.75,1.48,43.94,65.34,,,
10,600885.SH,宏发股份,1996,,20230323,33.44,0.9164,1.05,28.8145,26.5%,51.5%,16.79,26.92~57.54,19.64~54.2,,1.75,0.35,30.75,33.39,,,
11,600519.SH,贵州茅台,2001,长期,20230323,1774.86,2.4557,0.94,37.4129,28.0%,66.5%,32.37,34.59~56.89,25.19~54.29,,1.5,16.71,51.72,24.38,,,
12,000049.SZ,德赛电池,1995,,20230323,41.53,1.8114,1.42,13.6911,28.5%,52.5%,25.27,10.35~26.55,10.92~25.18,,2.0,0.59,23.65,70.97,,,
13,002884.SZ,凌霄泵业,2017,,20230323,15.84,6.3131,7.07,12.0424,32.0%,51.0%,20.71,10.38~23.68,8.09~23.15,,2.0,1.12,74.54,8.45,,,
14,300357.SZ,我武生物,2014,,20230323,49.88,0.403,0.48,66.8597,38.0%,52.5%,24.02,54.98~131.82,42.92~120.58,,1.5,0.24,31.29,5.72,,,
15,002508.SZ,老板电器,2010,,20230323,29.03,1.7134,2.1,22.5308,43.0%,91.0%,24.01,16.88~24.98,14.69~24.47,,1.5,0.61,39.35,34.91,,,
16,300628.SZ,亿联网络,2017,,20230323,85.05,0.9413,1.21,35.1088,44.5%,59.0%,28.96,26.35~61.13,22.44~56.98,,1.75,1.03,43.03,8.28,,,
17,600298.SH,安琪酵母,2000,长期,20230323,40.4,1.186,1.04,29.5591,46.5%,65.5%,21.99,21.16~46.12,19.13~43.49,,2.0,0.42,34.31,46.8,,,
18,603899.SH,晨光股份,2015,长期,20230323,49.42,1.2151,0.83,34.2895,47.5%,50.5%,26.23,21.99~70.29,24.37~63.85,,1.75,0.41,35.76,39.98,,,
19,603866.SH,桃李面包,2015,,20230323,15.47,2.7703,5.69,32.2206,53.0%,60.0%,18.9,19.21~53.31,23.18~53.7,,2.0,0.88,78.95,16.76,,,
20,600600.SH,青岛啤酒,1993,长期,20230323,110.02,1.0,0.6,40.4495,54.5%,63.0%,10.23,27.91~65.67,24.47~61.99,,2.0,0.66,44.87,46.37,,,
21,600436.SH,片仔癀,2003,长期,20230323,283.3,0.4271,0.28,69.2251,55.0%,57.0%,24.1,54.07~126.13,37.98~114.92,,1.5,0.79,31.76,20.16,,,
22,000538.SZ,云南白药,1993,长期,20230323,53.76,2.1251,4.46,36.3431,61.0%,92.5%,14.5,23.2~39.84,21.89~38.39,,1.75,2.4,73.32,29.85,,,
23,600085.SH,同仁堂,1997,长期,20230323,50.74,0.5715,0.73,53.111,61.0%,98.5%,11.77,35.57~54.15,30.56~53.5,,1.75,0.37,48.2,30.18,,,
24,002304.SZ,洋河股份,2009,,20230323,165.09,1.8165,1.79,26.5601,62.0%,63.0%,21.82,19.52~43.0,14.09~40.31,,1.75,2.95,59.95,32.33,,,
25,300529.SZ,健帆生物,2016,,20230323,30.55,2.9057,2.23,20.4407,62.5%,22.0%,30.4,9.17~95.47,19.69~88.57,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
26,002841.SZ,视源股份,2017,,20230323,83.71,1.022,0.91,28.367,63.5%,52.0%,32.54,15.99~51.39,18.9~57.58,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
27,300015.SZ,爱尔眼科,2009,长期,20230323,30.7,0.2945,0.59,82.3037,64.5%,46.5%,20.49,54.82~185.84,45.91~166.65,,1.75,0.18,41.94,39.14,,,
28,600612.SH,老凤祥,1992,,20230323,53.29,2.721,2.25,16.3949,65.0%,77.5%,21.21,9.44~20.34,10.44~21.58,,2.0,1.2,45.31,51.38,,,
29,603833.SH,欧派家居,2017,,20230323,129.5,1.3514,0.9,31.0254,70.5%,66.5%,22.46,19.1~47.0,17.3~46.2,,2.0,1.16,30.31,35.64,,,
30,002867.SZ,周大生,2017,,20230323,15.79,3.1368,3.17,15.0551,71.0%,58.0%,21.77,8.26~25.18,9.4~26.02,,2.0,0.5,38.02,21.25,,,
31,000661.SZ,长春高新,1996,长期,20230323,167.63,0.4743,0.5,16.6486,76.5%,21.5%,24.93,10.3~72.08,8.64~79.56,修正标准差,1.75,0.84,12.95,28.62,,,
32,603369.SH,今世缘,2014,,20230323,60.98,0.9616,0.67,31.7189,77.0%,68.5%,20.74,20.27~47.59,15.99~44.29,,1.75,0.41,35.75,30.0,,,
33,000858.SZ,五粮液,1998,长期,20230323,194.58,1.5536,1.11,29.0059,83.0%,51.5%,23.54,18.24~58.62,14.0~53.32,,1.75,2.16,50.18,24.79,,,
34,603360.SH,百傲化学,2017,,20230323,18.35,,3.11,11.1447,83.5%,42.5%,23.28,9.16~20.86,4.52~34.8,,2.0,0.57,64.62,18.77,,,
35,601155.SH,新城控股,2015,,20230323,17.02,,7.52,3.815,83.5%,41.5%,33.68,2.68~7.72,1.69~11.15,,2.25,1.28,28.97,85.18,,,
36,603589.SH,口子窖,2015,,20230323,68.88,2.1663,1.87,23.2381,84.0%,71.0%,23.49,12.64~33.06,12.52~32.02,,2.0,1.29,51.89,28.32,,,
37,601318.SH,中国平安,2007,长期,20230323,46.88,5.0799,2.84,10.2296,87.0%,73.5%,18.87,5.17~13.21,5.75~14.43,,2.25,1.33,19.94,89.53,,,
