,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230228,25.61,1.3667,1.13,25.292,7.0%,46.5%,21.59,24.77~55.53,22.45~52.29,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230228,30.46,3.1523,2.63,22.0943,11.5%,61.0%,24.44,19.4~37.24,19.97~35.03,,1.75,0.8,69.39,51.14,,,
2,300628.SZ,亿联网络,2017,,20230228,66.65,1.2012,1.55,27.5792,11.5%,46.5%,28.96,27.11~61.11,22.55~56.95,,1.75,1.03,43.03,8.28,,,
3,000895.SZ,双汇发展,1998,长期,20230228,26.48,7.1677,5.4,16.7454,17.0%,60.5%,30.9,14.7~28.5,13.76~26.42,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,600036.SH,招商银行,2002,长期,20230228,37.31,4.0793,3.08,6.8179,19.5%,47.0%,15.51,5.26~14.9,6.19~13.89,,2.0,1.15,31.07,91.57,,,
5,603568.SH,伟明环保,2015,,20230228,19.61,0.5099,1.33,20.9537,20.5%,63.0%,25.51,17.0~33.24,17.7~32.76,,2.0,0.26,27.33,43.46,,,
6,000848.SZ,承德露露,1997,,20230228,9.09,,3.85,16.591,25.0%,67.5%,22.17,12.8~24.56,13.71~24.27,,1.75,0.35,81.07,31.26,,,
7,000333.SZ,美的集团,2013,长期,20230228,52.46,3.1812,2.82,12.4051,25.5%,49.5%,25.21,9.44~25.74,10.29~24.15,,1.75,1.48,43.94,65.34,,,
8,300482.SZ,万孚生物,2015,,20230228,33.25,0.8984,1.05,11.852,25.5%,17.5%,21.49,8.94~62.62,9.9~69.26,修正标准差,2.25,0.35,27.39,24.92,,,
9,002032.SZ,苏泊尔,2004,,20230228,56.93,5.5776,1.84,22.2651,27.0%,59.5%,28.57,16.09~36.89,19.15~37.53,,1.5,1.05,45.55,42.99,,,
10,002841.SZ,视源股份,2017,,20230228,68.74,1.2445,1.11,23.2941,30.0%,42.5%,32.54,16.51~51.35,19.47~57.63,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
