,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
33,000858.SZ,五粮液,1998,长期,20230320,185.9,1.6261,1.16,27.712,74.5%,49.0%,23.54,18.21~58.63,14.0~53.32,,1.75,2.16,50.18,24.79,,,
34,002415.SZ,海康威视,2010,,20230320,41.26,2.1974,1.7,30.1201,77.5%,76.0%,30.75,16.32~40.54,17.53~38.61,,1.5,0.7,51.53,39.23,,,
35,603589.SH,口子窖,2015,,20230320,66.53,2.2428,1.94,22.4453,79.0%,68.5%,23.49,12.53~33.09,12.52~32.04,,2.0,1.29,51.89,28.32,,,
36,601155.SH,新城控股,2015,,20230320,16.57,,7.72,3.7142,79.5%,40.5%,33.68,2.7~7.72,1.67~11.21,,2.25,1.28,28.97,85.18,,,
37,603360.SH,百傲化学,2017,,20230320,18.28,,3.12,11.1022,81.0%,42.0%,23.28,9.2~20.86,4.57~34.83,,2.0,0.57,64.62,18.77,,,
38,601318.SH,中国平安,2007,长期,20230320,45.58,5.2248,2.92,9.946,82.5%,71.5%,18.87,5.16~13.2,5.73~14.45,,2.25,1.33,19.94,89.53,,,
39,603707.SH,健友股份,2017,,20230320,15.76,0.7321,1.14,22.7212,84.0%,30.5%,21.5,11.83~73.63,12.89~72.45,,2.25,0.18,22.01,35.86,,,
40,002916.SZ,深南电路,2017,,20230320,86.47,1.0987,0.99,27.0462,87.5%,42.5%,21.79,12.8~60.72,16.46~64.58,,2.25,0.86,31.74,53.79,,,
41,603387.SH,基蛋生物,2017,,20230320,13.27,1.8301,2.94,10.8359,92.5%,27.0%,21.38,5.28~36.98,6.01~42.81,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
42,603605.SH,珀莱雅,2017,,20230320,174.9,0.3486,0.33,70.1244,96.5%,74.5%,20.52,56.26~91.02,26.03~96.57,,2.0,0.58,30.36,35.45,,,
43,603848.SH,好太太,2017,,20230320,14.73,1.6972,1.56,23.2437,99.5%,77.0%,20.09,13.99~25.45,9.94~36.36,,2.0,0.23,34.0,21.27,,,
44,603043.SH,广州酒家,2017,,20230320,27.45,1.4532,1.35,30.7417,101.0%,69.5%,21.02,14.2~45.4,16.46~42.22,,2.0,0.37,38.18,26.29,,,
45,603868.SH,飞科电器,2016,,20230320,74.68,1.339,1.61,36.9706,101.5%,84.5%,28.59,22.18~44.7,15.54~42.44,,1.75,1.2,71.06,27.71,,,
46,600276.SH,恒瑞医药,2000,长期,20230320,40.4,0.396,0.47,73.7076,109.5%,72.5%,21.4,31.98~103.08,38.89~99.01,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
47,603338.SH,浙江鼎力,2015,长期,20230320,54.61,0.6226,0.62,26.8195,115.0%,38.0%,19.68,10.43~72.83,15.42~66.16,,2.25,0.34,19.81,31.38,20230130.0,51.596,
48,002236.SZ,大华股份,2008,,20230320,19.11,1.3949,0.99,21.6892,121.0%,90.5%,21.5,10.7~21.82,9.0~26.24,,2.25,0.19,18.56,47.45,,,
49,300638.SZ,广和通,2017,,20230320,20.65,0.6351,1.26,35.838,126.0%,39.5%,20.09,14.87~85.61,16.96~92.08,,2.5,0.26,26.93,46.39,,,
