,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
10,000333.SZ,美的集团,2013,长期,20230301,54.62,3.0554,2.71,12.9159,30.5%,51.5%,25.21,9.43~25.75,10.29~24.15,,1.75,1.48,43.94,65.34,,,
11,600885.SH,宏发股份,1996,,20230301,35.28,0.8686,0.99,30.4,32.0%,54.0%,16.79,27.29~57.43,19.78~54.2,,1.75,0.35,30.75,33.39,,,
12,600519.SH,贵州茅台,2001,长期,20230301,1838.53,2.3706,0.91,38.755,32.5%,69.5%,32.37,34.32~56.98,25.19~54.29,,1.5,16.71,51.72,24.38,,,
13,603288.SH,海天味业,2014,长期,20230301,82.2,0.8405,1.14,57.4493,33.0%,62.5%,33.46,46.88~95.56,39.77~87.77,,1.5,0.94,55.97,30.65,,,
14,000049.SZ,德赛电池,1995,,20230301,44.91,1.6751,1.31,14.8054,37.0%,56.5%,25.27,10.53~26.55,10.99~25.35,,2.0,0.59,23.65,70.97,,,
15,002884.SZ,凌霄泵业,2017,,20230301,16.96,5.8962,6.6,12.8939,40.5%,54.5%,20.71,10.43~23.69,8.15~23.33,,2.0,1.12,74.54,8.45,,,
16,600298.SH,安琪酵母,2000,长期,20230301,40.54,1.1819,1.04,29.6616,46.5%,66.0%,21.99,21.26~46.12,19.19~43.55,,2.0,0.42,34.31,46.8,,,
17,600612.SH,老凤祥,1992,,20230301,48.54,2.9872,2.47,14.642,47.5%,69.0%,21.21,9.42~20.34,10.43~21.71,,2.0,1.2,45.31,51.38,,,
18,300357.SZ,我武生物,2014,,20230301,52.79,0.3808,0.45,70.7603,47.5%,55.5%,24.02,55.25~131.81,42.29~120.67,,1.5,0.24,31.29,5.72,,,
19,300529.SZ,健帆生物,2016,,20230301,32.43,2.7372,2.1,21.6986,52.0%,23.0%,30.4,10.83~95.81,20.72~88.3,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
20,600600.SH,青岛啤酒,1993,长期,20230301,112.3,0.9797,0.59,40.1934,55.5%,62.0%,10.23,27.14~66.0,24.55~62.17,,2.0,0.66,44.87,46.37,,,
21,002508.SZ,老板电器,2010,,20230301,31.4,1.5841,1.94,24.3702,56.0%,98.0%,24.01,16.68~24.94,14.66~24.56,,1.5,0.61,39.35,34.91,,,
22,600085.SH,同仁堂,1997,长期,20230301,48.96,0.5923,0.76,51.2479,57.5%,95.0%,11.77,34.62~54.16,30.63~53.27,,1.75,0.37,48.2,30.18,,,
23,603899.SH,晨光股份,2015,长期,20230301,53.89,1.1144,0.76,37.391,60.0%,55.5%,26.23,22.25~70.29,24.56~63.88,,1.75,0.41,35.76,39.98,,,
24,300015.SZ,爱尔眼科,2009,长期,20230301,30.96,0.292,0.58,83.0008,65.0%,46.5%,20.49,55.29~185.75,46.04~166.64,,1.75,0.18,41.94,39.14,,,
25,603866.SH,桃李面包,2015,,20230301,17.64,2.4295,4.99,36.2915,71.5%,67.0%,18.9,19.29~53.69,23.3~53.76,,2.0,0.88,78.95,16.76,,,
26,002304.SZ,洋河股份,2009,,20230301,173.23,1.7312,1.7,27.8697,72.5%,66.5%,21.82,18.94~43.22,14.06~40.3,,1.75,2.95,59.95,32.33,,,
27,002415.SZ,海康威视,2010,,20230301,39.81,2.2775,1.76,29.0616,72.5%,72.5%,30.75,16.2~40.5,17.46~38.98,,1.5,0.7,51.53,39.23,,,
28,000538.SZ,云南白药,1993,长期,20230301,57.48,1.9876,4.18,38.8579,73.5%,99.5%,14.5,22.83~39.65,21.94~38.24,,1.75,2.4,73.32,29.85,,,
29,603360.SH,百傲化学,2017,,20230301,18.08,,3.15,10.9807,73.5%,41.5%,23.28,9.32~21.04,4.77~34.97,,2.0,0.57,64.62,18.77,,,
30,600436.SH,片仔癀,2003,长期,20230301,314.58,0.3846,0.25,76.8684,74.0%,63.0%,24.1,52.96~126.4,37.8~114.84,,1.5,0.79,31.76,20.16,,,
31,601318.SH,中国平安,2007,长期,20230301,49.99,4.7638,2.66,9.4753,77.0%,67.0%,18.87,5.16~13.2,5.51~14.85,,2.25,1.33,19.94,89.53,,,
32,002916.SZ,深南电路,2017,,20230301,81.8,1.1614,1.05,25.6461,79.0%,40.0%,21.79,12.37~62.55,16.91~64.59,,2.25,0.86,31.74,53.79,,,
33,603043.SH,广州酒家,2017,,20230301,28.28,1.4106,1.31,27.5304,80.5%,62.5%,21.02,14.15~45.35,16.39~42.17,,2.0,0.37,38.18,26.29,,,
34,603387.SH,基蛋生物,2017,,20230301,13.45,1.8056,2.9,10.9829,83.5%,27.0%,21.38,5.73~37.09,6.23~43.23,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
35,002867.SZ,周大生,2017,,20230301,16.88,2.9342,2.96,16.0943,84.0%,61.5%,21.77,8.22~25.18,9.3~26.42,,2.0,0.5,38.02,21.25,,,
36,603589.SH,口子窖,2015,,20230301,67.99,2.1947,1.9,22.9378,85.5%,70.0%,23.49,12.16~33.14,12.49~32.15,,2.0,1.29,51.89,28.32,,,
37,603369.SH,今世缘,2014,,20230301,63.82,0.9188,0.64,33.1962,87.0%,72.0%,20.74,20.01~47.61,15.82~44.24,,1.75,0.41,35.75,30.0,,,
38,603833.SH,欧派家居,2017,,20230301,141.64,1.2355,0.82,33.9339,90.0%,72.0%,22.46,18.76~47.06,16.95~47.03,,2.0,1.16,30.31,35.64,,,
39,002236.SZ,大华股份,2008,,20230301,15.87,1.6797,1.2,18.0119,91.0%,74.0%,21.5,10.73~21.73,8.37~27.19,,2.25,0.19,18.56,47.45,,,
40,603707.SH,健友股份,2017,,20230301,17.19,0.6712,1.05,24.7829,91.5%,33.5%,21.5,12.42~74.48,13.4~72.32,,2.25,0.18,22.01,35.86,,,
41,000858.SZ,五粮液,1998,长期,20230301,207.38,1.4577,1.04,30.914,95.0%,54.5%,23.54,18.16~58.64,14.05~53.35,,1.75,2.16,50.18,24.79,,,
42,603605.SH,珀莱雅,2017,,20230301,179.8,0.3391,0.32,72.089,109.0%,76.5%,20.52,55.86~91.06,24.94~96.68,,2.0,0.58,30.36,35.45,,,
43,603338.SH,浙江鼎力,2015,长期,20230301,58.22,0.584,0.58,28.5924,121.0%,41.0%,19.68,10.93~72.85,15.76~66.22,,2.25,0.34,19.81,31.38,20230130.0,51.596,
44,300726.SZ,宏达电子,2017,,20230301,45.98,1.3049,0.61,22.5718,125.5%,29.5%,20.73,8.45~76.11,12.26~72.92,,2.25,0.28,29.87,12.76,,,
45,600276.SH,恒瑞医药,2000,长期,20230301,43.77,0.3655,0.43,79.856,127.0%,78.5%,21.4,31.97~103.13,38.89~99.05,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
46,603868.SH,飞科电器,2016,,20230301,84.64,1.1815,1.42,41.9013,131.5%,96.0%,28.59,21.55~44.67,15.57~42.29,,1.75,1.2,71.06,27.71,,,
47,603848.SH,好太太,2017,,20230301,17.5,1.4286,1.31,27.6147,138.5%,92.0%,20.09,14.09~25.21,9.77~36.77,,2.0,0.23,34.0,21.27,,,
48,300638.SZ,广和通,2017,,20230301,22.74,0.5767,1.14,39.4651,141.0%,43.5%,20.09,15.42~85.82,17.36~92.4,,2.5,0.26,26.93,46.39,,,
49,603444.SH,吉比特,2017,,20230301,366.55,8.1844,2.49,20.6654,152.0%,49.5%,29.83,8.61~43.51,7.82~39.1,,1.75,9.12,67.13,23.01,,,
50,601155.SH,新城控股,2015,,20230301,19.49,,6.57,4.3687,155.5%,46.0%,33.68,2.74~7.78,1.24~11.92,,2.25,1.28,28.97,85.18,,,
51,002833.SZ,弘亚数控,2016,,20230301,17.99,2.0646,2.78,16.051,162.5%,44.5%,24.75,5.29~36.53,7.2~34.42,,2.0,0.5,27.21,23.72,,,
52,300450.SZ,先导智能,2015,,20230301,43.84,1.1388,0.66,30.5682,162.5%,25.5%,21.81,9.49~138.07,15.05~105.32,修正标准差,2.25,0.29,31.15,57.7,,,
53,600809.SH,山西汾酒,1994,长期,20230301,284.3,0.6331,0.3,45.9846,165.0%,44.0%,30.23,27.68~109.32,12.63~98.63,,1.75,0.85,37.42,47.02,,,
54,002271.SZ,东方雨虹,2008,,20230301,36.11,0.8275,0.75,28.5831,166.0%,62.0%,22.73,15.95~46.49,8.08~45.02,,2.25,0.27,20.63,51.15,,,
55,002901.SZ,大博医疗,2017,,20230301,35.44,1.4215,1.58,33.9486,188.5%,44.5%,30.19,9.61~78.61,15.11~72.41,,1.75,0.56,48.95,17.49,,,
56,603180.SH,金牌厨柜,2017,,20230301,42.41,2.5014,2.19,18.9951,193.0%,59.5%,21.88,8.25~27.19,5.33~37.29,修正标准差,2.25,0.93,32.75,48.19,,,
57,300630.SZ,普利制药,2017,,20230301,27.99,0.6834,0.68,25.345,201.0%,28.5%,23.04,11.86~75.18,6.5~104.18,,2.25,0.19,20.24,30.0,,,
58,603638.SH,艾迪精密,2017,,20230301,19.6,0.6133,0.92,67.2306,251.5%,75.0%,21.72,27.92~91.38,14.52~86.66,,2.25,0.18,23.53,29.89,,,
59,600690.SH,海尔智家,1993,,20230301,26.17,1.7395,1.45,16.7061,266.5%,47.0%,19.31,5.65~37.57,3.81~33.15,,2.0,0.38,34.95,66.12,,,
60,000651.SZ,格力电器,1996,长期,20230301,36.42,10.8359,5.66,7.9732,273.5%,34.5%,23.67,1.62~24.14,3.12~21.64,,2.0,2.06,46.15,61.2,,,
61,300595.SZ,欧普康视,2017,,20230301,34.34,0.4048,0.47,49.8016,333.5%,29.0%,26.56,20.65~179.05,7.95~158.53,,2.0,0.16,19.24,11.79,,,
62,300571.SZ,平治信息,2016,,20230301,37.96,0.2898,0.58,28.4428,770.5%,66.0%,32.07,13.89~34.27,1.85~55.79,,2.25,0.22,14.21,56.17,,,
63,600763.SH,通策医疗,1996,,20230301,143.73,,0.06,77.0811,781.5%,38.0%,20.27,18.6~214.44,5.71~187.57,,2.0,0.08,17.52,34.43,,,
64,600309.SH,万华化学,2001,长期,20230301,103.21,2.4222,1.67,19.9548,1895.0%,54.5%,35.67,1.97~38.89,0.67~34.11,,1.75,1.72,41.66,56.12,,,
65,000661.SZ,长春高新,1996,长期,20230301,196.55,0.4045,0.43,19.5209,5744.5%,23.5%,24.93,0.17~84.49,9.4~79.54,,1.75,0.84,12.95,28.62,,,
