,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230301,25.86,1.3534,1.12,25.5389,8.0%,46.5%,21.59,24.72~55.54,22.43~52.29,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230301,31.12,3.0854,2.57,22.5731,14.5%,62.0%,24.44,19.39~37.25,19.96~35.04,,1.75,0.8,69.39,51.14,,,
2,300628.SZ,亿联网络,2017,,20230301,68.95,1.1611,1.49,28.4627,15.5%,47.5%,28.96,27.05~61.09,22.54~56.96,,1.75,1.03,43.03,8.28,,,
3,000895.SZ,双汇发展,1998,长期,20230301,26.84,7.0715,5.33,16.9731,19.0%,61.5%,30.9,14.69~28.49,13.76~26.42,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,603568.SH,伟明环保,2015,,20230301,19.6,0.5102,1.33,20.943,20.5%,63.0%,25.51,17.0~33.2,17.7~32.74,,2.0,0.26,27.33,43.46,,,
5,600036.SH,招商银行,2002,长期,20230301,38.25,3.9791,3.01,6.9897,23.0%,48.0%,15.51,5.25~14.89,6.18~13.88,,2.0,1.15,31.07,91.57,,,
6,000848.SZ,承德露露,1997,,20230301,9.18,,3.81,16.7553,26.0%,68.5%,22.17,12.8~24.56,13.71~24.27,,1.75,0.35,81.07,31.26,,,
7,300482.SZ,万孚生物,2015,,20230301,33.37,0.8952,1.05,11.8947,26.5%,18.0%,21.49,8.93~62.48,9.89~69.21,修正标准差,2.25,0.35,27.39,24.92,,,
8,002032.SZ,苏泊尔,2004,,20230301,57.18,5.5532,1.84,22.3629,27.5%,59.5%,28.57,16.08~36.88,19.14~37.52,,1.5,1.05,45.55,42.99,,,
9,002841.SZ,视源股份,2017,,20230301,68.13,1.2557,1.12,23.0874,29.0%,42.0%,32.54,16.48~51.34,19.43~57.63,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
