,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,300628.SZ,亿联网络,2017,20230421,59.02,1.3565,24.3636,2.5%,40.5%,1.75,,,,
1,600887.SH,伊利股份,1996,20230421,28.0,3.4292,20.31,5.5%,55.5%,1.75,,,,
2,002507.SZ,涪陵榨菜,2010,20230421,24.31,1.4397,24.0082,7.0%,44.0%,1.75,20230203.0,26.743,25.28,-9.1
3,000895.SZ,双汇发展,1998,20230421,26.17,7.2526,16.1309,16.5%,58.5%,1.5,20230208.0,25.173,15.86,3.96
4,002841.SZ,视源股份,2017,20230421,68.33,1.252,23.1552,36.5%,42.5%,2.0,20230209.0,64.33,21.91,6.22
5,603338.SH,浙江鼎力,2015,20230421,52.1,0.6526,20.983,85.5%,29.5%,2.25,20230130.0,51.596,,0.98
6,600276.SH,恒瑞医药,2000,20230421,47.32,0.3381,86.3328,146.0%,85.0%,2.0,20210810.0,57.559,56.74,-17.79
7,300529.SZ,健帆生物,2016,20230421,30.29,2.9306,27.5037,150.5%,30.0%,1.75,20230202.0,34.897,23.21,-13.2
8,603387.SH,基蛋生物,2017,20230421,13.03,1.8638,13.4103,154.5%,34.0%,2.0,20230217.0,13.253,10.88,-1.68
