,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,002507.SZ,涪陵榨菜,2010,20230306,26.1,1.341,25.7759,9.5%,47.5%,1.75,20230203.0,26.743,25.28,-2.4
1,000895.SZ,双汇发展,1998,20230306,26.59,7.138,16.815,18.0%,61.0%,1.5,20230208.0,25.173,15.86,5.63
2,002841.SZ,视源股份,2017,20230306,66.46,1.2872,22.5215,26.5%,41.0%,2.0,20230209.0,64.33,21.91,3.31
3,300529.SZ,健帆生物,2016,20230306,31.72,2.7985,21.2235,52.0%,23.0%,1.75,20230202.0,34.897,23.21,-9.1
4,603387.SH,基蛋生物,2017,20230306,13.36,1.8178,10.9094,85.0%,27.0%,2.0,20230217.0,13.253,10.88,0.81
5,600276.SH,恒瑞医药,2000,20230306,43.42,0.3684,79.2174,125.0%,77.5%,2.0,20210810.0,57.559,56.74,-24.56
6,603338.SH,浙江鼎力,2015,20230306,60.0,0.5667,29.4666,129.5%,42.0%,2.25,20230130.0,51.596,,16.29
