,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,600887.SH,伊利股份,1996,20230411,28.52,3.3667,20.6871,6.5%,57.0%,1.75,,,,
1,002507.SZ,涪陵榨菜,2010,20230411,25.09,1.395,24.7785,9.5%,45.5%,1.75,20230203.0,26.743,25.28,-6.18
2,000895.SZ,双汇发展,1998,20230411,25.96,7.3112,16.0015,14.5%,58.0%,1.5,20230208.0,25.173,15.86,3.13
3,002841.SZ,视源股份,2017,20230411,76.19,1.1228,25.8187,50.5%,47.5%,2.0,20230209.0,64.33,21.91,18.44
4,603338.SH,浙江鼎力,2015,20230411,54.88,0.6195,22.1027,86.5%,31.5%,2.25,20230130.0,51.596,,6.36
5,600276.SH,恒瑞医药,2000,20230411,46.01,0.3477,83.9427,138.5%,82.5%,2.0,20210810.0,57.559,56.74,-20.06
6,300529.SZ,健帆生物,2016,20230411,32.11,2.7645,29.1563,153.5%,31.0%,1.75,20230202.0,34.897,23.21,-7.99
7,603387.SH,基蛋生物,2017,20230411,13.43,1.8083,13.822,157.5%,34.5%,2.0,20230217.0,13.253,10.88,1.34
