,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230310,24.65,1.4199,1.18,24.3439,4.5%,44.5%,21.59,24.38~55.62,22.32~52.26,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230310,29.11,3.2985,2.75,21.1151,7.5%,58.0%,24.44,19.29~37.27,19.88~35.0,,1.75,0.8,69.39,51.14,,,
2,000895.SZ,双汇发展,1998,长期,20230310,25.35,7.4872,5.64,16.0308,12.5%,58.0%,30.9,14.58~28.46,13.72~26.4,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
3,600036.SH,招商银行,2002,长期,20230310,35.03,4.3448,3.28,6.4013,13.5%,44.0%,15.51,5.18~14.92,6.13~13.89,,2.0,1.15,31.07,91.57,,,
4,300628.SZ,亿联网络,2017,,20230310,67.79,1.181,1.52,27.9838,14.0%,47.0%,28.96,26.67~61.09,22.47~56.97,,1.75,1.03,43.03,8.28,,,
5,603568.SH,伟明环保,2015,,20230310,18.68,0.5353,1.39,19.96,14.5%,60.5%,25.51,16.92~33.08,17.67~32.63,,2.0,0.26,27.33,43.46,,,
6,000848.SZ,承德露露,1997,,20230310,8.77,,3.99,16.007,20.0%,65.5%,22.17,12.82~24.56,13.69~24.21,,1.75,0.35,81.07,31.26,,,
7,603288.SH,海天味业,2014,长期,20230310,75.25,0.9182,1.25,52.5919,21.5%,57.0%,33.46,46.86~95.58,39.87~87.75,,1.5,0.94,55.97,30.65,,,
8,300482.SZ,万孚生物,2015,,20230310,31.95,0.935,1.1,11.3886,22.0%,17.0%,21.49,8.79~61.53,9.82~68.77,修正标准差,2.25,0.35,27.39,24.92,,,
9,000333.SZ,美的集团,2013,长期,20230310,51.15,3.2627,2.89,12.0953,23.5%,48.0%,25.21,9.35~25.75,10.25~24.05,,1.75,1.48,43.94,65.34,,,
10,002841.SZ,视源股份,2017,,20230310,64.52,1.3259,1.18,21.8641,24.0%,39.5%,32.54,16.22~51.36,19.17~57.63,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
11,002032.SZ,苏泊尔,2004,,20230310,56.09,5.6611,1.87,21.9366,25.5%,58.5%,28.57,15.99~36.79,19.08~37.52,,1.5,1.05,45.55,42.99,,,
12,600519.SH,贵州茅台,2001,长期,20230310,1750.0,2.4906,0.95,36.8888,26.5%,65.5%,32.37,34.4~56.96,25.19~54.29,,1.5,16.71,51.72,24.38,,,
13,600885.SH,宏发股份,1996,,20230310,33.78,0.9071,1.04,29.1075,27.0%,51.5%,16.79,27.06~57.48,19.72~54.2,,1.75,0.35,30.75,33.39,,,
14,002884.SZ,凌霄泵业,2017,,20230310,16.12,6.2035,6.95,12.2553,33.5%,51.5%,20.71,10.41~23.69,8.14~23.24,,2.0,1.12,74.54,8.45,,,
15,000049.SZ,德赛电池,1995,,20230310,43.66,1.7231,1.35,14.3933,34.0%,55.0%,25.27,10.44~26.52,10.98~25.26,,2.0,0.59,23.65,70.97,,,
16,002508.SZ,老板电器,2010,,20230310,28.08,1.7714,2.17,21.7934,39.0%,87.5%,24.01,16.72~25.0,14.68~24.52,,1.5,0.61,39.35,34.91,,,
17,600298.SH,安琪酵母,2000,长期,20230310,39.39,1.2164,1.07,28.8202,42.5%,64.0%,21.99,21.2~46.12,19.16~43.5,,2.0,0.42,34.31,46.8,,,
18,300357.SZ,我武生物,2014,,20230310,52.76,0.381,0.45,70.7201,47.0%,55.5%,24.02,55.02~131.82,42.59~120.63,,1.5,0.24,31.29,5.72,,,
19,603899.SH,晨光股份,2015,长期,20230310,50.84,1.1812,0.81,35.2748,51.5%,52.5%,26.23,22.13~70.29,24.48~63.86,,1.75,0.41,35.76,39.98,,,
20,600600.SH,青岛啤酒,1993,长期,20230310,110.52,0.9955,0.6,39.5564,52.5%,61.5%,10.23,27.41~65.89,24.52~62.1,,2.0,0.66,44.87,46.37,,,
21,300529.SZ,健帆生物,2016,,20230310,31.0,2.8635,2.19,20.7418,53.5%,22.0%,30.4,10.1~95.62,20.28~88.42,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
22,600612.SH,老凤祥,1992,,20230310,50.56,2.8679,2.37,15.555,56.5%,73.5%,21.21,9.42~20.32,10.44~21.64,,2.0,1.2,45.31,51.38,,,
