,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230330,29.2,3.2883,2.74,21.1804,8.5%,58.0%,24.44,19.1~37.32,19.71~35.01,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230330,25.37,1.3796,1.14,25.055,9.0%,45.5%,21.59,23.68~55.78,22.04~52.24,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,603568.SH,伟明环保,2015,,20230330,18.2,0.5495,1.43,19.4471,13.0%,59.0%,25.51,16.72~32.92,17.54~32.56,,2.0,0.26,27.33,43.46,,,
3,000895.SZ,双汇发展,1998,长期,20230330,25.69,7.3881,5.57,15.8351,13.0%,57.5%,30.9,14.37~28.43,13.64~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,600036.SH,招商银行,2002,长期,20230330,34.35,4.4309,3.35,6.277,14.0%,43.0%,15.51,5.04~14.96,6.0~13.92,,2.0,1.15,31.07,91.57,,,
5,000848.SZ,承德露露,1997,,20230330,8.68,,4.03,15.8427,19.5%,64.5%,22.17,12.86~24.54,13.62~24.14,,1.75,0.35,81.07,31.26,,,
6,300482.SZ,万孚生物,2015,,20230330,31.26,0.9556,1.12,11.1426,22.0%,17.0%,21.49,8.54~59.74,9.72~68.0,修正标准差,2.25,0.35,27.39,24.92,,,
7,603288.SH,海天味业,2014,长期,20230330,75.79,0.9116,1.24,52.9694,22.5%,57.5%,33.46,46.73~95.59,40.06~87.72,,1.5,0.94,55.97,30.65,,,
8,600885.SH,宏发股份,1996,,20230330,33.33,0.9194,1.05,28.7197,26.0%,50.5%,16.79,26.87~57.55,19.62~54.2,,1.75,0.35,30.75,33.39,,,
9,002032.SZ,苏泊尔,2004,,20230330,56.86,5.5844,1.85,22.2377,28.5%,59.5%,28.57,15.83~36.69,18.98~37.52,,1.5,1.05,45.55,42.99,,,
10,600519.SH,贵州茅台,2001,长期,20230330,1800.0,2.4214,0.93,37.9428,29.5%,67.5%,32.37,34.69~56.85,25.24~54.3,,1.5,16.71,51.72,24.38,,,
11,300628.SZ,亿联网络,2017,,20230330,76.24,1.0501,1.35,31.472,29.5%,53.0%,28.96,26.23~61.15,22.44~56.98,,1.75,1.03,43.03,8.28,,,
12,000333.SZ,美的集团,2013,长期,20230330,54.47,3.0638,2.72,12.8804,33.0%,51.0%,25.21,9.24~25.78,10.13~23.95,,1.75,1.48,43.94,65.34,,,
13,300357.SZ,我武生物,2014,,20230330,48.03,0.4185,0.5,64.3799,33.0%,50.5%,24.02,54.81~131.85,43.05~120.57,,1.5,0.24,31.29,5.72,,,
14,002884.SZ,凌霄泵业,2017,,20230330,15.9,6.2893,7.04,12.088,33.0%,51.5%,20.71,10.33~23.69,8.08~23.08,,2.0,1.12,74.54,8.45,,,
15,000049.SZ,德赛电池,1995,,20230330,43.76,1.7191,1.35,14.4262,35.5%,55.5%,25.27,10.33~26.55,10.89~25.13,,2.0,0.59,23.65,70.97,,,
16,002841.SZ,视源股份,2017,,20230330,74.16,1.1536,1.02,25.1308,45.0%,45.5%,32.54,15.91~51.39,18.79~57.49,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
17,603899.SH,晨光股份,2015,长期,20230330,48.31,1.2431,0.85,33.5194,45.0%,49.5%,26.23,21.87~70.29,24.29~63.83,,1.75,0.41,35.76,39.98,,,
18,002508.SZ,老板电器,2010,,20230330,29.6,1.6804,2.06,22.9731,45.5%,92.0%,24.01,16.95~24.99,14.69~24.45,,1.5,0.61,39.35,34.91,,,
19,600298.SH,安琪酵母,2000,长期,20230330,40.2,1.1919,1.04,29.4128,46.0%,65.0%,21.99,21.13~46.13,19.13~43.49,,2.0,0.42,34.31,46.8,,,
20,603866.SH,桃李面包,2015,,20230330,15.45,2.7739,5.7,32.179,53.0%,59.5%,18.9,19.17~53.15,23.13~53.65,,2.0,0.88,78.95,16.76,,,
21,600436.SH,片仔癀,2003,长期,20230330,282.28,0.4287,0.28,68.9759,53.5%,57.0%,24.1,54.35~126.05,38.02~114.92,,1.5,0.79,31.76,20.16,,,
22,600085.SH,同仁堂,1997,长期,20230330,53.67,0.5403,0.69,51.6245,55.5%,95.5%,11.77,35.91~54.11,30.55~53.55,,1.75,0.37,48.2,30.18,,,
23,000538.SZ,云南白药,1993,长期,20230330,53.92,2.1188,4.45,36.4512,61.0%,92.5%,14.5,23.29~39.91,21.88~38.44,,1.75,2.4,73.32,29.85,,,
24,603833.SH,欧派家居,2017,,20230330,125.26,1.3971,0.93,30.0096,63.5%,64.0%,22.46,19.24~46.96,17.39~45.95,,2.0,1.16,30.31,35.64,,,
25,600612.SH,老凤祥,1992,,20230330,53.0,2.7358,2.26,16.3057,64.0%,77.5%,21.21,9.44~20.36,10.44~21.56,,2.0,1.2,45.31,51.38,,,
26,002304.SZ,洋河股份,2009,,20230330,170.37,1.7602,1.73,27.4096,66.0%,65.0%,21.82,19.75~42.91,14.1~40.32,,1.75,2.95,59.95,32.33,,,
27,300015.SZ,爱尔眼科,2009,长期,20230330,31.2,0.2897,0.58,83.6442,67.0%,47.5%,20.49,54.75~185.85,45.89~166.65,,1.75,0.18,41.94,39.14,,,
28,600600.SH,青岛啤酒,1993,长期,20230330,119.8,0.9184,0.55,44.0451,68.0%,69.0%,10.23,28.1~65.6,24.46~62.0,,2.0,0.66,44.87,46.37,,,
29,002867.SZ,周大生,2017,,20230330,15.58,3.1791,3.21,14.8548,68.0%,57.5%,21.77,8.28~25.18,9.44~25.86,,2.0,0.5,38.02,21.25,,,
30,300529.SZ,健帆生物,2016,,20230330,30.61,2.9,2.22,20.4808,70.5%,22.0%,30.4,8.66~95.32,19.33~88.63,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
31,000661.SZ,长春高新,1996,长期,20230330,164.58,0.4831,0.51,16.0882,74.0%,21.0%,24.93,10.22~71.5,8.38~79.58,修正标准差,1.75,0.84,12.95,28.62,,,
32,601155.SH,新城控股,2015,,20230330,16.43,,7.79,3.6828,74.5%,40.0%,33.68,2.66~7.72,1.74~11.02,,2.25,1.28,28.97,85.18,,,
33,002415.SZ,海康威视,2010,,20230330,41.6,2.1795,1.68,30.3683,78.0%,76.5%,30.75,16.47~40.61,17.58~38.44,,1.5,0.7,51.53,39.23,,,
34,601318.SH,中国平安,2007,长期,20230330,45.48,5.2362,2.92,9.9241,81.5%,71.5%,18.87,5.18~13.22,5.75~14.39,,2.25,1.33,19.94,89.53,,,
35,000858.SZ,五粮液,1998,长期,20230330,198.39,1.5238,1.09,29.5738,86.0%,52.5%,23.54,18.27~58.61,13.99~53.33,,1.75,2.16,50.18,24.79,,,
36,603369.SH,今世缘,2014,,20230330,65.14,0.9002,0.63,33.8828,88.0%,73.5%,20.74,20.4~47.58,16.07~44.31,,1.75,0.41,35.75,30.0,,,
37,603707.SH,健友股份,2017,,20230330,15.68,0.7359,1.15,22.6059,88.5%,30.5%,21.5,11.46~73.06,12.53~72.53,,2.25,0.18,22.01,35.86,,,
38,603589.SH,口子窖,2015,,20230330,71.67,2.082,1.8,24.1794,90.5%,74.0%,23.49,12.79~33.03,12.53~31.99,,2.0,1.29,51.89,28.32,,,
39,603360.SH,百傲化学,2017,,20230330,19.09,,2.99,11.5941,93.0%,44.0%,23.28,9.11~20.87,4.46~34.72,,2.0,0.57,64.62,18.77,,,
40,603848.SH,好太太,2017,,20230330,14.36,1.7409,1.6,22.6598,94.0%,75.0%,20.09,13.97~25.55,9.99~36.17,,2.0,0.23,34.0,21.27,,,
41,002916.SZ,深南电路,2017,,20230330,92.49,1.0271,0.93,28.9292,101.0%,46.0%,21.79,12.85~60.11,16.29~64.49,,2.25,0.86,31.74,53.79,,,
42,603605.SH,珀莱雅,2017,,20230330,183.37,0.3325,0.32,73.5203,102.5%,78.0%,20.52,56.43~90.99,26.64~96.52,,2.0,0.58,30.36,35.45,,,
43,603387.SH,基蛋生物,2017,,20230330,13.65,1.7792,2.86,11.1462,105.0%,28.0%,21.38,5.02~36.94,5.92~42.48,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
44,603043.SH,广州酒家,2017,,20230330,29.7,1.3431,1.25,32.4618,111.5%,73.5%,21.02,14.25~45.45,16.52~42.24,,2.0,0.37,38.18,26.29,,,
45,603338.SH,浙江鼎力,2015,长期,20230330,55.16,0.6164,0.62,27.0896,123.0%,38.5%,19.68,10.1~72.9,15.19~66.17,,2.25,0.34,19.81,31.38,20230130.0,51.596,
46,600276.SH,恒瑞医药,2000,长期,20230330,43.01,0.3719,0.44,78.4694,123.0%,77.5%,21.4,31.99~103.17,38.9~98.96,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
47,603868.SH,飞科电器,2016,,20230330,84.17,1.1881,1.43,41.6687,126.0%,95.0%,28.59,22.58~44.68,15.52~42.56,,1.75,1.2,71.06,27.71,,,
48,002236.SZ,大华股份,2008,,20230330,20.55,1.2971,0.92,23.3236,137.0%,97.0%,21.5,10.5~22.2,9.22~25.92,,2.25,0.19,18.56,47.45,,,
49,002271.SZ,东方雨虹,2008,,20230330,34.07,0.877,0.79,26.9684,149.5%,59.0%,22.73,16.26~46.38,8.06~44.92,,2.25,0.27,20.63,51.15,,,
50,300726.SZ,宏达电子,2017,,20230330,46.39,1.2934,0.6,22.4316,152.5%,29.5%,20.73,7.21~76.45,11.55~72.43,,2.25,0.28,29.87,12.76,,,
51,600809.SH,山西汾酒,1994,长期,20230330,275.0,0.6545,0.31,44.4803,157.5%,42.5%,30.23,28.17~109.15,12.42~98.58,,1.75,0.85,37.42,47.02,,,
52,002833.SZ,弘亚数控,2016,,20230330,17.47,2.1261,2.86,15.587,158.0%,43.5%,24.75,5.21~36.53,7.16~33.9,,2.0,0.5,27.21,23.72,,,
53,300638.SZ,广和通,2017,,20230330,23.38,0.5609,1.11,40.5759,158.5%,45.5%,20.09,14.63~85.57,16.85~91.73,,2.5,0.26,26.93,46.39,,,
54,300450.SZ,先导智能,2015,,20230330,39.48,1.2645,0.73,27.5282,186.5%,22.5%,21.81,7.06~139.12,14.91~104.35,修正标准差,2.25,0.29,31.15,57.7,,,
55,603444.SH,吉比特,2017,,20230330,433.42,6.9217,2.1,24.4354,200.5%,59.0%,29.83,8.38~43.16,7.86~39.12,,1.75,9.12,67.13,23.01,,,
56,002901.SZ,大博医疗,2017,,20230330,35.82,1.4064,1.56,34.3126,201.5%,45.5%,30.19,9.18~77.76,14.87~72.23,,1.75,0.56,48.95,17.49,,,
57,603638.SH,艾迪精密,2017,,20230330,18.35,0.655,0.98,62.9429,222.0%,70.0%,21.72,29.29~91.23,14.61~87.09,,2.25,0.18,23.53,29.89,,,
58,300630.SZ,普利制药,2017,,20230330,27.43,0.6973,0.69,24.8379,227.5%,28.5%,23.04,10.69~74.33,5.87~102.41,,2.25,0.19,20.24,30.0,,,
59,600690.SH,海尔智家,1993,,20230330,24.22,1.8796,1.57,15.4613,234.0%,43.5%,19.31,6.0~37.44,3.76~33.14,,2.0,0.38,34.95,66.12,,,
60,000651.SZ,格力电器,1996,长期,20230330,37.23,10.6001,5.53,8.1505,330.5%,35.0%,23.67,1.39~24.13,2.96~21.54,,2.0,2.06,46.15,61.2,,,
61,300595.SZ,欧普康视,2017,,20230330,33.38,0.4164,0.48,48.4094,333.0%,28.0%,26.56,18.56~179.72,7.98~158.52,,2.0,0.16,19.24,11.79,,,
62,300571.SZ,平治信息,2016,,20230330,43.14,0.255,0.51,32.3241,469.5%,77.0%,32.07,13.78~34.6,3.57~52.83,,2.25,0.22,14.21,56.17,,,
63,603180.SH,金牌厨柜,2017,,20230330,38.3,2.7699,2.43,21.4567,656.5%,66.0%,21.88,8.27~27.27,1.71~39.05,,2.25,0.93,32.75,48.19,,,
64,600763.SH,通策医疗,1996,,20230330,130.0,,0.06,69.7178,674.5%,34.5%,20.27,18.63~214.43,5.93~187.55,,2.0,0.08,17.52,34.43,,,
65,600309.SH,万华化学,2001,长期,20230330,96.43,2.5926,1.78,18.6505,1420.5%,50.5%,35.67,2.2~38.94,0.85~33.99,,1.75,1.72,41.66,56.12,,,
