股票代码,股票名称,成本价,持仓数量
600519,贵州茅台,1900.00,1200
002304,洋河股份,108.00,1600
000568,泸州老窖,114.00,100
603259,药明康德,56.19,400
000651,格力电器,44.00,100
hk00700,腾讯控股,370.00,5000
000000,现金,1.00,1500
