证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
宏达电子,300726.SZ,20230224,46.29,22.724,8.8836,1.2962,41183.9845,1906406.6425
宏达电子,300726.SZ,20230223,46.17,22.6651,8.8605,1.2995,41183.9845,1901464.5644
宏达电子,300726.SZ,20230222,46.99,23.0676,9.0179,1.2769,41183.9845,1935235.4317
宏达电子,300726.SZ,20230221,47.2,23.1707,9.0582,1.2712,41183.9845,1943884.0684
宏达电子,300726.SZ,20230220,46.96,23.0529,9.0121,1.2777,41183.9845,1933999.9121
宏达电子,300726.SZ,20230217,46.41,22.7829,8.9066,1.2928,41183.9845,1911348.7206
宏达电子,300726.SZ,20230216,47.3,23.2198,9.0774,1.2685,41183.9845,1948002.4669
宏达电子,300726.SZ,20230215,48.78,23.9463,9.3614,1.23,41183.9845,2008954.7639
宏达电子,300726.SZ,20230214,47.82,23.4751,9.1772,1.2547,41183.9845,1969418.1388
宏达电子,300726.SZ,20230213,48.19,23.6567,9.2482,1.2451,41183.9845,1984656.2131
宏达电子,300726.SZ,20230210,47.89,23.5094,9.1906,1.2529,41183.9845,1972301.0177
宏达电子,300726.SZ,20230209,48.46,23.7892,9.3,1.2381,41183.9845,1995775.8889
宏达电子,300726.SZ,20230208,46.72,22.9351,8.9661,1.2842,41183.9845,1924115.7558
宏达电子,300726.SZ,20230207,47.86,23.4947,9.1849,1.2537,41183.9845,1971065.4982
宏达电子,300726.SZ,20230206,48.08,23.6027,9.2271,1.2479,41183.9845,1980125.9748
宏达电子,300726.SZ,20230203,47.85,23.4898,9.1829,1.2539,41183.9845,1970653.6583
宏达电子,300726.SZ,20230202,47.34,23.2394,9.0851,1.2674,41183.9845,1949649.8262
宏达电子,300726.SZ,20230201,48.29,23.7058,9.2674,1.2425,41183.9845,1988774.6115
宏达电子,300726.SZ,20230131,47.7,23.4162,9.1542,1.2579,41183.9845,1964476.0607
宏达电子,300726.SZ,20230130,47.75,23.4407,9.1638,1.2565,41183.9845,1966535.2599
宏达电子,300726.SZ,20230120,47.15,23.1462,9.0486,1.2725,41183.9845,1941824.8692
宏达电子,300726.SZ,20230119,47.29,23.2149,9.0755,1.2688,41183.9845,1947590.627
宏达电子,300726.SZ,20230118,46.32,22.7387,8.8893,1.2953,41183.9845,1907642.162
宏达电子,300726.SZ,20230117,46.71,22.9302,8.9642,1.2845,41183.9845,1923703.916
宏达电子,300726.SZ,20230116,43.06,21.1384,8.2637,1.3934,41183.9845,1773382.3726
宏达电子,300726.SZ,20230113,42.08,20.6573,8.0756,1.4259,41183.9845,1733022.0678
宏达电子,300726.SZ,20230112,42.25,20.7407,8.1082,1.4201,41183.9845,1740023.3451
宏达电子,300726.SZ,20230111,42.36,20.7947,8.1293,1.4164,41183.9845,1744553.5834
宏达电子,300726.SZ,20230110,43.04,21.1285,8.2598,1.3941,41183.9845,1772558.6929
宏达电子,300726.SZ,20230109,43.25,21.2316,8.3002,1.3873,41183.9845,1781207.3296
宏达电子,300726.SZ,20230106,43.93,21.5654,8.4307,1.3658,41183.9845,1809212.4391
宏达电子,300726.SZ,20230105,43.86,21.5311,8.4172,1.368,41183.9845,1806329.5602
宏达电子,300726.SZ,20230104,43.98,21.59,8.4402,1.3643,41183.9845,1811271.6383
宏达电子,300726.SZ,20230103,44.41,21.8011,8.5228,1.351,41183.9845,1828980.7516
宏达电子,300726.SZ,20221230,44.14,21.6685,8.471,1.3593,41183.9845,1817861.0758
宏达电子,300726.SZ,20221229,42.37,20.7996,8.1313,1.4161,41183.9845,1744965.4233
宏达电子,300726.SZ,20221228,41.02,20.1369,7.8722,1.4627,41183.9845,1689367.0442
宏达电子,300726.SZ,20221227,40.65,19.9553,7.8012,1.476,41183.9845,1674128.9699
宏达电子,300726.SZ,20221226,40.94,20.0976,7.8568,1.4656,41183.9845,1686072.3254
宏达电子,300726.SZ,20221223,40.4,19.8326,7.7532,1.4851,41183.9845,1663832.9738
宏达电子,300726.SZ,20221222,41.07,20.1615,7.8818,1.4609,41183.9845,1691426.2434
宏达电子,300726.SZ,20221221,41.44,20.3431,7.9528,1.4479,41183.9845,1706664.3177
