ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
000858.SZ,2021,662.0905,233.7707,388160.8005,3.023,117.341,50.19,35.31
000858.SZ,2020,573.2106,199.5481,388160.8005,2.58,100.1455,50.19,34.81
000858.SZ,2019,501.1811,174.0216,388160.8005,2.2,85.3954,49.07,34.72
000858.SZ,2018,400.3019,133.8425,388160.8005,1.7,65.9873,49.3,33.44
000858.SZ,2017,301.8678,96.7372,388160.8005,1.3,50.4609,52.16,32.05
000858.SZ,2016,245.4379,67.8453,379596.672,0.9,34.1637,50.36,27.64
000858.SZ,2015,216.5929,61.7612,379596.672,0.8,30.3677,49.17,28.51
000858.SZ,2014,210.1149,58.3492,379596.672,0.57,21.637,37.08,27.77
000858.SZ,2013,247.1859,79.7281,379596.672,0.665,25.2432,31.66,32.25
000858.SZ,2012,272.0105,99.3487,379596.672,0.76,28.8493,29.04,36.52
000858.SZ,2011,203.5059,61.5747,379596.672,0.45,17.0819,27.74,30.26
000858.SZ,2010,155.413,43.9536,379596.672,0.27,10.2491,23.32,28.28
000858.SZ,2009,111.2922,32.4475,379596.672,0.135,5.1246,15.79,29.16
