ts_code,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
603899.SH,2021,26.6562,176.074,15.1599,92774.559,0.6,42.9,5.5665,36.72,8.61
603899.SH,2020,26.7252,131.3775,12.5704,92742.76,0.5,43.96,4.6371,36.89,9.57
603899.SH,2019,27.8518,111.411,10.6061,92000.0,0.4,41.03,3.68,34.7,9.52
603899.SH,2018,25.8407,85.3499,8.0685,92000.0,0.3,38.41,2.76,34.21,9.45
603899.SH,2017,24.0902,63.571,6.3404,92000.0,0.25,33.6,2.3,36.28,9.97
603899.SH,2016,21.4457,46.6247,4.9292,92000.0,0.25,26.56,2.3,46.66,10.57
603899.SH,2015,24.8361,37.4911,4.2265,46000.0,0.5,23.08,2.3,54.42,11.27
603899.SH,2014,31.8334,30.4328,3.3957,46000.0,0.475,27.12,2.185,64.35,11.16
