ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
002271.SZ,其他建材,2008,2021,20.5565,319.342,42.1763,250837.8631,0.3,46.35,7.5251,17.84,13.21
002271.SZ,其他建材,2008,2020,27.8297,217.3037,33.6748,252356.1412,0.3,46.74,7.5707,22.48,15.5
002271.SZ,其他建材,2008,2019,23.4224,181.5434,20.7805,156978.4697,0.3,55.57,4.7094,22.66,11.45
002271.SZ,其他建材,2008,2018,20.6387,140.4571,14.9473,146854.3799,0.3,58.84,4.4056,29.47,10.64
002271.SZ,其他建材,2008,2017,21.1962,102.9297,12.3613,88186.3218,0.149998,48.23,1.3228,10.7,12.01
002271.SZ,其他建材,2008,2016,22.7567,70.0023,10.2855,88268.6848,0.15,43.7,1.324,12.87,14.69
002271.SZ,其他建材,2008,2015,19.4515,53.0399,7.2972,82071.7348,0.1,33.13,0.8207,11.25,13.76
002271.SZ,其他建材,2008,2014,22.5312,50.0592,5.7655,41632.6636,0.19,32.66,0.791,13.72,11.52
002271.SZ,其他建材,2008,2013,24.8614,39.0263,3.6371,35983.6,0.19,51.69,0.6837,18.8,9.32
002271.SZ,其他建材,2008,2012,16.1744,29.7857,1.9066,34352.0,0.19,55.28,0.6527,34.23,6.4
002271.SZ,其他建材,2008,2011,9.9245,24.7365,1.1299,34352.0,0.09,52.78,0.3092,27.36,4.57
002271.SZ,其他建材,2008,2010,13.8471,19.8166,1.0897,17176.0,0.225,53.01,0.3865,35.47,5.5
002271.SZ,其他建材,2008,2009,16.1868,8.2931,0.7738,7914.0,0.27,51.29,0.2137,27.61,9.33
