证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
青岛啤酒,600600.SH,20230329,115.99,42.6444,4.9185,0.9485,136423.279,15823736.1312
青岛啤酒,600600.SH,20230328,112.69,41.4311,4.7786,0.9763,136423.279,15373539.3105
青岛啤酒,600600.SH,20230327,110.81,40.7399,4.6989,0.9929,136423.279,15117063.546
青岛啤酒,600600.SH,20230324,112.31,41.2914,4.7625,0.9796,136423.279,15321698.4645
青岛啤酒,600600.SH,20230323,110.02,40.4495,4.6654,1.0,136423.279,15009289.1556
青岛啤酒,600600.SH,20230322,108.69,38.9014,4.5617,1.0122,136423.279,14827846.1945
青岛啤酒,600600.SH,20230321,107.48,38.4683,4.5109,1.0236,136423.279,14662774.0269
青岛啤酒,600600.SH,20230320,106.0,37.9386,4.4488,1.0379,136423.279,14460867.574
青岛啤酒,600600.SH,20230317,108.29,38.7582,4.5449,1.016,136423.279,14773276.8829
青岛啤酒,600600.SH,20230316,110.96,39.7138,4.6569,0.9915,136423.279,15137527.0378
青岛啤酒,600600.SH,20230315,112.42,40.2364,4.7182,0.9786,136423.279,15336705.0252
青岛啤酒,600600.SH,20230314,113.44,40.6015,4.761,0.9698,136423.279,15475856.7698
青岛啤酒,600600.SH,20230313,113.43,40.5979,4.7606,0.9699,136423.279,15474492.537
青岛啤酒,600600.SH,20230310,110.52,39.5564,4.6385,0.9955,136423.279,15077500.7951
青岛啤酒,600600.SH,20230309,112.0,40.0861,4.7006,0.9823,136423.279,15279407.248
青岛啤酒,600600.SH,20230308,113.7,40.6945,4.7719,0.9676,136423.279,15511326.8223
青岛啤酒,600600.SH,20230307,114.9,41.124,4.8223,0.9575,136423.279,15675034.7571
青岛啤酒,600600.SH,20230306,114.09,40.8341,4.7883,0.9643,136423.279,15564531.9011
青岛啤酒,600600.SH,20230303,113.2,40.5156,4.751,0.9719,136423.279,15443115.1828
青岛啤酒,600600.SH,20230302,112.88,40.401,4.7375,0.9747,136423.279,15399459.7335
青岛啤酒,600600.SH,20230301,112.3,40.1934,4.7132,0.9797,136423.279,15320334.2317
青岛啤酒,600600.SH,20230228,111.48,39.8999,4.6788,0.9869,136423.279,15208467.1429
青岛啤酒,600600.SH,20230227,108.19,38.7224,4.5407,1.0169,136423.279,14759634.555
青岛啤酒,600600.SH,20230224,103.31,36.9758,4.3359,1.0649,136423.279,14093888.9535
青岛啤酒,600600.SH,20230223,105.68,37.8241,4.4353,1.0411,136423.279,14417212.1247
青岛啤酒,600600.SH,20230222,106.73,38.1999,4.4794,1.0308,136423.279,14560456.5677
青岛啤酒,600600.SH,20230221,106.55,38.1354,4.4719,1.0326,136423.279,14535900.3775
青岛啤酒,600600.SH,20230220,107.7,38.547,4.5201,1.0215,136423.279,14692787.1483
青岛啤酒,600600.SH,20230217,107.23,38.3788,4.5004,1.026,136423.279,14628668.2072
青岛啤酒,600600.SH,20230216,108.55,38.8513,4.5558,1.0135,136423.279,14808746.9355
青岛啤酒,600600.SH,20230215,105.78,37.8599,4.4395,1.0401,136423.279,14430854.4526
青岛啤酒,600600.SH,20230214,105.44,37.7382,4.4253,1.0434,136423.279,14384470.5378
青岛啤酒,600600.SH,20230213,104.6,37.4375,4.39,1.0518,136423.279,14269874.9834
青岛啤酒,600600.SH,20230210,102.28,36.6072,4.2927,1.0757,136423.279,13953372.9761
青岛啤酒,600600.SH,20230209,101.82,36.4425,4.2733,1.0805,136423.279,13890618.2678
青岛啤酒,600600.SH,20230208,100.73,36.0524,4.2276,1.0922,136423.279,13741916.8937
青岛啤酒,600600.SH,20230207,102.21,36.5821,4.2897,1.0764,136423.279,13943823.3466
青岛啤酒,600600.SH,20230206,101.93,36.4819,4.278,1.0794,136423.279,13905624.8285
青岛啤酒,600600.SH,20230203,104.09,37.255,4.3686,1.057,136423.279,14200299.1111
青岛啤酒,600600.SH,20230202,105.18,37.6451,4.4144,1.046,136423.279,14349000.4852
青岛啤酒,600600.SH,20230201,103.99,37.2192,4.3644,1.058,136423.279,14186656.7832
青岛啤酒,600600.SH,20230131,101.04,36.1634,4.2406,1.0889,136423.279,13784208.1102
青岛啤酒,600600.SH,20230130,104.28,37.323,4.3766,1.055,136423.279,14226219.5341
青岛啤酒,600600.SH,20230120,105.16,37.6379,4.4135,1.0462,136423.279,14346272.0196
青岛啤酒,600600.SH,20230119,105.3,37.6881,4.4194,1.0448,136423.279,14365371.2787
青岛啤酒,600600.SH,20230118,106.16,37.9959,4.4555,1.0364,136423.279,14482695.2986
青岛啤酒,600600.SH,20230117,109.33,39.1304,4.5885,1.0063,136423.279,14915157.0931
青岛啤酒,600600.SH,20230116,109.79,39.2951,4.6078,1.0021,136423.279,14977911.8014
青岛啤酒,600600.SH,20230113,109.22,39.0911,4.5839,1.0073,136423.279,14900150.5324
青岛啤酒,600600.SH,20230112,103.93,37.1977,4.3619,1.0586,136423.279,14178471.3865
青岛啤酒,600600.SH,20230111,105.95,37.9207,4.4467,1.0384,136423.279,14454046.4101
青岛啤酒,600600.SH,20230110,106.89,38.2571,4.4861,1.0293,136423.279,14582284.2923
青岛啤酒,600600.SH,20230109,106.37,38.071,4.4643,1.0343,136423.279,14511344.1872
青岛啤酒,600600.SH,20230106,106.3,38.046,4.4614,1.035,136423.279,14501794.5577
青岛啤酒,600600.SH,20230105,107.99,38.6508,4.5323,1.0188,136423.279,14732349.8992
青岛啤酒,600600.SH,20230104,105.5,37.7596,4.4278,1.0428,136423.279,14392655.9345
青岛啤酒,600600.SH,20230103,105.17,37.6415,4.4139,1.0461,136423.279,14347636.2524
青岛啤酒,600600.SH,20221230,107.5,38.4755,4.5117,1.0234,136423.279,14665502.4925
青岛啤酒,600600.SH,20221229,107.15,38.3502,4.497,1.0268,136423.279,14617754.3449
青岛啤酒,600600.SH,20221228,108.76,38.9264,4.5646,1.0116,136423.279,14837395.824
青岛啤酒,600600.SH,20221227,108.83,38.9515,4.5676,1.0109,136423.279,14846945.4536
青岛啤酒,600600.SH,20221226,106.38,38.0746,4.4647,1.0342,136423.279,14512708.42
青岛啤酒,600600.SH,20221223,109.61,39.2307,4.6003,1.0037,136423.279,14953355.6112
青岛啤酒,600600.SH,20221222,106.66,38.1748,4.4765,1.0315,136423.279,14550906.9381
青岛啤酒,600600.SH,20221221,105.45,37.7417,4.4257,1.0433,136423.279,14385834.7706
青岛啤酒,600600.SH,20221220,103.91,37.1906,4.3611,1.0588,136423.279,14175742.9209
