ts_code,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
002507.SZ,2021,14.0277,25.1865,7.4196,88763.0022,0.6499999999999999,7.51,5.7696,77.76,29.46
002507.SZ,2019,22.6543,19.8959,6.0514,78935.7241,0.3,14.6,2.3681,39.13,30.42
002507.SZ,2018,30.0837,19.1435,6.6172,78935.7241,0.26,17.03,2.0523,31.02,34.57
002507.SZ,2017,23.7035,15.2024,4.1414,78935.7241,0.15,22.4,1.184,28.59,27.24
002507.SZ,2016,17.4903,11.2081,2.5723,52623.8161,0.1,18.94,0.5262,20.46,22.95
002507.SZ,2015,12.5167,9.3066,1.5737,32889.8851,0.2,17.17,0.6578,41.8,16.91
002507.SZ,2014,12.1196,9.0643,1.3199,20150.0,0.095,16.94,0.1914,14.5,14.56
002507.SZ,2013,14.1298,8.4622,1.4065,15500.0,0.19,20.02,0.2945,20.94,16.62
002507.SZ,2012,13.8035,7.1266,1.2645,15500.0,0.3325,15.21,0.5154,40.76,17.74
002507.SZ,2011,10.2911,7.0466,0.884,15500.0,0.315,18.22,0.4882,55.23,12.55
002507.SZ,2010,10.1974,5.4504,0.5908,15500.0,0.27,15.14,0.4185,70.83,10.84
