ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
000538.SZ,2021,363.7392,28.0606,128301.5697,1.6,20.5283,73.16,7.71
000538.SZ,2020,327.4277,55.1928,126070.332,3.9,49.1674,89.08,16.86
000538.SZ,2019,296.6467,41.7963,127740.3317,3.0,38.3221,91.69,14.09
000538.SZ,2018,267.0821,33.0658,104133.4418,2.0001254,20.828,62.99,12.38
000538.SZ,2017,243.1461,31.4497,104139.9718,1.5,15.621,49.67,12.93
000538.SZ,2016,224.1065,29.1988,104139.9718,0.8,8.3312,28.53,13.03
000538.SZ,2015,207.3813,27.7084,104139.9718,0.6,6.2484,22.55,13.36
000538.SZ,2014,188.1437,25.0433,104139.9718,0.475,4.9466,19.75,13.31
000538.SZ,2013,158.1479,23.2348,69426.6479,0.45,3.1242,13.45,14.69
000538.SZ,2012,136.8682,15.8232,69426.6479,0.4275,2.968,18.76,11.56
000538.SZ,2011,113.1232,12.1111,69426.6479,0.144,0.9997,8.25,10.71
000538.SZ,2010,100.7544,9.2598,69426.6479,0.09,0.6248,6.75,9.19
000538.SZ,2009,71.7178,6.0152,53405.1138,0.18,0.9613,15.98,8.39
