证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
珀莱雅,603605.SH,20230315,177.72,71.255,9.0251,0.3431,28351.9568,5038709.7625
珀莱雅,603605.SH,20230314,182.37,73.1194,9.2613,0.3343,28351.9568,5170546.3616
珀莱雅,603605.SH,20230313,184.17,73.8411,9.3527,0.3311,28351.9568,5221579.8839
珀莱雅,603605.SH,20230310,182.65,73.2317,9.2755,0.3338,28351.9568,5178484.9095
珀莱雅,603605.SH,20230309,188.28,75.489,9.5614,0.3238,28351.9568,5338106.4263
珀莱雅,603605.SH,20230308,184.27,73.8812,9.3578,0.3309,28351.9568,5224415.0795
珀莱雅,603605.SH,20230307,185.06,74.1979,9.3979,0.3295,28351.9568,5246813.1254
珀莱雅,603605.SH,20230306,187.61,75.2203,9.5274,0.325,28351.9568,5319110.6152
珀莱雅,603605.SH,20230303,184.78,74.0857,9.3837,0.33,28351.9568,5238874.5775
珀莱雅,603605.SH,20230302,186.67,74.8434,9.4796,0.3266,28351.9568,5292459.7759
珀莱雅,603605.SH,20230301,179.8,72.089,9.1308,0.3391,28351.9568,5097681.8326
珀莱雅,603605.SH,20230228,182.5,73.1715,9.2679,0.3341,28351.9568,5174232.116
珀莱雅,603605.SH,20230227,182.15,73.0312,9.2501,0.3347,28351.9568,5164308.9311
珀莱雅,603605.SH,20230224,182.0,72.9711,9.2425,0.335,28351.9568,5160056.1376
珀莱雅,603605.SH,20230223,184.0,73.7729,9.3441,0.3314,28351.9568,5216760.0512
珀莱雅,603605.SH,20230222,186.94,74.9517,9.4934,0.3262,28351.9568,5300114.8042
珀莱雅,603605.SH,20230221,187.01,74.9798,9.4969,0.326,28351.9568,5302099.4412
珀莱雅,603605.SH,20230220,189.61,76.0222,9.6289,0.3216,28351.9568,5375814.5288
珀莱雅,603605.SH,20230217,191.09,76.6156,9.7041,0.3191,28351.9568,5417775.4249
珀莱雅,603605.SH,20230216,182.18,73.0432,9.2516,0.3347,28351.9568,5165159.4898
珀莱雅,603605.SH,20230215,179.97,72.1571,9.1394,0.3388,28351.9568,5102501.6653
珀莱雅,603605.SH,20230214,181.0,72.5701,9.1917,0.3369,28351.9568,5131704.1808
珀莱雅,603605.SH,20230213,180.09,72.2053,9.1455,0.3386,28351.9561,5105903.774
珀莱雅,603605.SH,20230210,168.86,67.7027,8.5752,0.3611,28351.9561,4787511.307
珀莱雅,603605.SH,20230209,165.2,66.2353,8.3893,0.3691,28351.9561,4683743.1477
珀莱雅,603605.SH,20230208,162.56,65.1768,8.2553,0.3751,28351.9561,4608893.9836
珀莱雅,603605.SH,20230207,164.0,65.7541,8.3284,0.3718,28351.9561,4649720.8004
珀莱雅,603605.SH,20230206,162.07,64.9803,8.2304,0.3762,28351.9561,4595001.5251
珀莱雅,603605.SH,20230203,162.02,64.9603,8.2278,0.3763,28351.9561,4593583.9273
珀莱雅,603605.SH,20230202,163.09,65.3893,8.2822,0.3739,28351.9561,4623920.5203
珀莱雅,603605.SH,20230201,163.18,65.4254,8.2868,0.3737,28351.9561,4626472.1964
珀莱雅,603605.SH,20230131,164.99,66.1511,8.3787,0.3696,28351.9561,4677789.2369
珀莱雅,603605.SH,20230130,165.3,66.2754,8.3944,0.3689,28351.9561,4686578.3433
珀莱雅,603605.SH,20230120,165.81,66.4798,8.4203,0.3677,28351.9561,4701037.8409
珀莱雅,603605.SH,20230119,167.92,67.3258,8.5275,0.3631,28351.9561,4760860.4683
珀莱雅,603605.SH,20230118,167.9,67.3178,8.5264,0.3631,28351.9561,4760293.4292
珀莱雅,603605.SH,20230117,168.27,67.4661,8.5452,0.3623,28351.9469,4770782.1049
珀莱雅,603605.SH,20230116,167.89,67.3138,8.5259,0.3632,28351.9469,4760008.365
珀莱雅,603605.SH,20230113,168.79,67.6746,8.5716,0.3612,28351.9469,4785525.1173
珀莱雅,603605.SH,20230112,166.61,66.8006,8.4609,0.366,28351.9469,4723717.873
珀莱雅,603605.SH,20230111,169.02,67.7668,8.5833,0.3607,28351.9469,4792046.065
珀莱雅,603605.SH,20230110,171.23,68.6529,8.6956,0.3561,28351.9469,4854703.8677
珀莱雅,603605.SH,20230109,171.31,68.685,8.6996,0.3559,28351.9469,4856972.0234
珀莱雅,603605.SH,20230106,169.0,67.7588,8.5823,0.3608,28351.9469,4791479.0261
珀莱雅,603605.SH,20230105,170.99,68.5567,8.6834,0.3566,28351.9469,4847899.4004
珀莱雅,603605.SH,20230104,167.42,67.1253,8.5021,0.3642,28351.9469,4746682.95
珀莱雅,603605.SH,20230103,167.39,67.1133,8.5005,0.3643,28351.9469,4745832.3916
珀莱雅,603605.SH,20221230,167.48,67.1494,8.5051,0.3641,28351.9469,4748384.0668
珀莱雅,603605.SH,20221229,168.26,67.4621,8.5447,0.3624,28351.9469,4770498.5854
珀莱雅,603605.SH,20221228,165.29,66.2713,8.3939,0.3689,28351.9462,4686293.1874
珀莱雅,603605.SH,20221227,164.36,65.8985,8.3467,0.371,28351.9462,4659925.8774
珀莱雅,603605.SH,20221226,159.47,63.9379,8.0983,0.3823,28351.9462,4521284.8605
珀莱雅,603605.SH,20221223,158.82,63.6772,8.0653,0.3839,28351.9462,4502856.0955
珀莱雅,603605.SH,20221222,158.3,63.4688,8.0389,0.3852,28351.9462,4488113.0835
珀莱雅,603605.SH,20221221,157.25,63.0478,7.9856,0.3877,28351.9462,4458343.54
珀莱雅,603605.SH,20221220,158.1,63.3886,8.0288,0.3857,28351.9462,4482442.6942
