证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
健友股份,603707.SH,20230313,16.68,24.0476,7.1782,0.6918,161707.4876,2697280.8932
健友股份,603707.SH,20230310,16.97,24.4657,7.303,0.6799,161707.4876,2744176.0646
健友股份,603707.SH,20230309,16.89,24.3504,7.2686,0.6832,161707.4876,2731239.4656
健友股份,603707.SH,20230308,16.7,24.0764,7.1868,0.6909,161707.4876,2700515.0429
健友股份,603707.SH,20230307,16.77,24.1773,7.2169,0.688,161707.4876,2711834.5671
健友股份,603707.SH,20230306,17.05,24.581,7.3374,0.6767,161707.4876,2757112.6636
健友股份,603707.SH,20230303,16.86,24.3071,7.2557,0.6844,161707.4876,2726388.2409
健友股份,603707.SH,20230302,16.99,24.4945,7.3116,0.6791,161707.4876,2747410.2143
健友股份,603707.SH,20230301,17.19,24.7829,7.3977,0.6712,161707.4876,2779751.7118
健友股份,603707.SH,20230228,17.27,24.8982,7.4321,0.6681,161707.4876,2792688.3109
健友股份,603707.SH,20230227,17.14,24.7108,7.3762,0.6732,161707.4876,2771666.3375
健友股份,603707.SH,20230224,17.62,25.4028,7.5827,0.6549,161707.4876,2849285.9315
健友股份,603707.SH,20230223,17.58,25.3451,7.5655,0.6563,161707.4876,2842817.632
健友股份,603707.SH,20230222,18.18,26.2101,7.8237,0.6347,161707.4876,2939842.1246
健友股份,603707.SH,20230221,18.56,26.758,7.9873,0.6217,161707.4876,3001290.9699
健友股份,603707.SH,20230220,18.8,27.104,8.0906,0.6137,161707.4876,3040100.7669
健友股份,603707.SH,20230217,18.77,27.0608,8.0776,0.6147,161707.4876,3035249.5423
健友股份,603707.SH,20230216,18.84,27.1617,8.1078,0.6124,161707.4876,3046569.0664
健友股份,603707.SH,20230215,19.25,27.7528,8.2842,0.5994,161707.4876,3112869.1363
健友股份,603707.SH,20230214,19.51,28.1276,8.3961,0.5914,161707.4876,3154913.0831
健友股份,603707.SH,20230213,19.46,28.0555,8.3746,0.5929,161707.4876,3146827.7087
健友股份,603707.SH,20230210,19.45,28.0411,8.3703,0.5932,161707.4876,3145210.6338
健友股份,603707.SH,20230209,19.4,27.969,8.3488,0.5948,161707.4876,3137125.2594
健友股份,603707.SH,20230208,18.88,27.2193,8.125,0.6111,161707.4876,3053037.3659
健友股份,603707.SH,20230207,18.87,27.2049,8.1207,0.6115,161707.4876,3051420.291
健友股份,603707.SH,20230206,19.1,27.5365,8.2197,0.6041,161707.4876,3088613.0132
健友股份,603707.SH,20230203,19.57,28.2141,8.4219,0.5896,161707.4876,3164615.5323
健友股份,603707.SH,20230202,19.68,28.3727,8.4693,0.5863,161707.4876,3182403.356
健友股份,603707.SH,20230201,19.08,27.5077,8.211,0.6047,161707.4876,3085378.8634
健友股份,603707.SH,20230131,19.01,27.4068,8.1809,0.607,161707.4876,3074059.3393
健友股份,603707.SH,20230130,19.11,27.5509,8.224,0.6038,161707.4876,3090230.088
健友股份,603707.SH,20230120,19.47,28.0699,8.3789,0.5926,161707.4876,3148444.7836
健友股份,603707.SH,20230119,19.64,28.315,8.452,0.5875,161707.4876,3175935.0565
健友股份,603707.SH,20230118,19.37,27.9258,8.3358,0.5957,161707.4876,3132274.0348
健友股份,603707.SH,20230117,19.47,28.0699,8.3789,0.5926,161707.4876,3148444.7836
健友股份,603707.SH,20230116,19.79,28.5313,8.5166,0.583,161707.4876,3200191.1796
健友股份,603707.SH,20230113,19.28,27.796,8.2971,0.5985,161707.4876,3117720.3609
健友股份,603707.SH,20230112,19.06,27.4788,8.2024,0.6054,161707.4876,3082144.7137
健友股份,603707.SH,20230111,19.32,27.8537,8.3143,0.5972,161707.4876,3124188.6604
健友股份,603707.SH,20230110,19.14,27.5942,8.2369,0.6028,161707.4876,3095081.3127
健友股份,603707.SH,20230109,18.75,27.0319,8.069,0.6154,161707.4876,3032015.3925
健友股份,603707.SH,20230106,18.07,26.0516,7.7764,0.6385,161707.4876,2922054.3009
健友股份,603707.SH,20230105,18.23,26.2822,7.8453,0.6329,161707.4876,2947927.4989
健友股份,603707.SH,20230104,18.0,25.9506,7.7463,0.641,161707.4876,2910734.7768
健友股份,603707.SH,20230103,18.08,26.066,7.7807,0.6382,161707.4755,2923671.157
健友股份,603707.SH,20221230,18.04,26.0083,7.7635,0.6396,161707.4755,2917202.858
