ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
000848.SZ,2020,18.6064,4.3151,105041.9005,0.26,2.7311,63.29,23.19
000848.SZ,2019,22.5539,4.6487,97856.2728,0.2,1.9571,42.1,20.61
000848.SZ,2018,21.2197,4.1306,97856.2728,0.4,3.9143,94.76,19.47
000848.SZ,2017,21.1187,4.136,97856.2728,0.5,4.8928,118.3,19.58
000848.SZ,2016,25.209,4.5037,97856.2728,0.4,3.9143,86.91,17.87
000848.SZ,2015,27.0624,4.6323,75274.056,0.2,1.5055,32.5,17.12
000848.SZ,2014,27.0279,4.4319,50182.704,0.165,0.828,18.68,16.4
000848.SZ,2013,26.3256,3.3394,40146.1632,0.32,1.2847,38.47,12.69
000848.SZ,2012,21.3783,2.2243,40146.1632,0.285,1.1442,51.44,10.4
000848.SZ,2011,19.3731,1.9341,36496.512,0.45,1.6423,84.91,9.98
000848.SZ,2010,18.1644,1.7846,30413.76,0.52,1.5815,88.62,9.82
000848.SZ,2009,13.2868,1.3869,19008.6,0.3,0.5703,41.12,10.44
