ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
002508.SZ,2021,101.4771,12.4671,94409.4916,0.5,4.7205,37.86,12.29
002508.SZ,2020,81.2862,16.6075,94687.0316,0.5,4.7344,28.51,20.43
002508.SZ,2019,77.6058,15.7466,94902.405,0.5,4.7451,30.13,20.29
002508.SZ,2018,74.2489,14.7358,94902.405,0.8,7.5922,51.52,19.85
002508.SZ,2017,70.174,14.6121,94903.2825,0.75,7.1177,48.71,20.82
002508.SZ,2016,57.949,12.0683,73002.525,0.5,3.6501,30.25,20.83
002508.SZ,2015,45.4272,8.3049,48670.45,0.6,2.9202,35.16,18.28
002508.SZ,2014,35.8894,5.744,32405.0,0.475,1.5392,26.8,16.0
002508.SZ,2013,26.5381,3.8563,25600.0,0.475,1.216,31.53,14.53
002508.SZ,2012,19.6274,2.6804,25600.0,0.285,0.7296,27.22,13.66
002508.SZ,2011,15.3389,1.8699,25600.0,0.18,0.4608,24.64,12.19
002508.SZ,2010,12.316,1.3434,16000.0,0.27,0.432,32.16,10.91
