ts_code,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
000651.SZ,2021,21.078,1896.5403,269.8663,553667.7733,3.0,66.23,166.1003,61.55,14.23
000651.SZ,2020,19.6811,1704.9742,233.1088,558417.7165,3.0,58.14,167.5253,71.87,13.67
000651.SZ,2020,19.6811,1704.9742,233.1088,592154.6216,1.0,58.14,59.2155,25.4,13.67
000651.SZ,2019,24.5151,2005.0833,315.7718,601573.0878,1.2,60.4,72.1888,22.86,15.75
000651.SZ,2018,33.3959,2000.24,257.4368,601573.0878,2.1,63.1,126.3303,49.07,12.87
000651.SZ,2016,30.4205,1101.131,153.6872,601573.0878,1.8,69.88,108.2832,70.46,13.96
000651.SZ,2015,27.3413,1005.6445,123.8977,601573.0878,1.5,69.96,90.236,72.83,12.32
000651.SZ,2014,35.9563,1400.0539,141.7224,300786.5439,2.85,71.11,85.7242,60.49,10.12
000651.SZ,2013,35.4521,1200.4307,108.3234,300786.5439,1.425,73.47,42.8621,39.57,9.02
000651.SZ,2012,33.2792,1001.1011,74.3133,300786.5439,0.95,74.36,28.5747,38.45,7.42
000651.SZ,2011,33.8857,835.1725,51.4968,300786.5439,0.45,78.43,13.5354,26.28,6.17
000651.SZ,2010,36.7449,608.0724,42.7272,281788.875,0.27,78.64,7.6083,17.81,7.03
000651.SZ,2009,33.6597,426.3729,30.0426,187859.25,0.4,79.33,7.5144,25.01,7.05
