证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
今世缘,603369.SH,20230321,60.22,31.3236,9.955,0.9737,125450.0,7554599.0
今世缘,603369.SH,20230320,57.76,30.044,9.5483,1.0152,125450.0,7245992.0
今世缘,603369.SH,20230317,58.95,30.663,9.745,0.9947,125450.0,7395277.5
今世缘,603369.SH,20230316,60.42,31.4276,9.988,0.9705,125450.0,7579689.0
今世缘,603369.SH,20230315,59.71,31.0583,9.8706,0.982,125450.0,7490619.5
今世缘,603369.SH,20230314,60.61,31.5265,10.0194,0.9675,125450.0,7603524.5
今世缘,603369.SH,20230313,62.21,32.3587,10.2839,0.9426,125450.0,7804244.5
今世缘,603369.SH,20230310,60.06,31.2404,9.9285,0.9763,125450.0,7534527.0
今世缘,603369.SH,20230309,61.0,31.7293,10.0839,0.9613,125450.0,7652450.0
今世缘,603369.SH,20230308,61.0,31.7293,10.0839,0.9613,125450.0,7652450.0
今世缘,603369.SH,20230307,61.45,31.9634,10.1583,0.9542,125450.0,7708902.5
今世缘,603369.SH,20230306,62.8,32.6656,10.3814,0.9337,125450.0,7878260.0
今世缘,603369.SH,20230303,63.48,33.0193,10.4939,0.9237,125450.0,7963566.0
今世缘,603369.SH,20230302,64.6,33.6019,10.679,0.9077,125450.0,8104070.0
今世缘,603369.SH,20230301,63.82,33.1962,10.5501,0.9188,125450.0,8006219.0
今世缘,603369.SH,20230228,64.1,33.3418,10.5964,0.9148,125450.0,8041345.0
今世缘,603369.SH,20230227,63.6,33.0817,10.5137,0.922,125450.0,7978620.0
今世缘,603369.SH,20230224,62.56,32.5408,10.3418,0.9373,125450.0,7848152.0
今世缘,603369.SH,20230223,62.8,32.6656,10.3814,0.9337,125450.0,7878260.0
今世缘,603369.SH,20230222,63.5,33.0297,10.4972,0.9234,125450.0,7966075.0
今世缘,603369.SH,20230221,63.1,32.8216,10.431,0.9293,125450.0,7915895.0
今世缘,603369.SH,20230220,64.78,33.6955,10.7088,0.9052,125450.0,8126651.0
今世缘,603369.SH,20230217,63.85,33.2118,10.555,0.9184,125450.0,8009982.5
今世缘,603369.SH,20230216,64.48,33.5395,10.6592,0.9094,125450.0,8089016.0
今世缘,603369.SH,20230215,64.36,33.477,10.6393,0.9111,125450.0,8073962.0
今世缘,603369.SH,20230214,63.94,33.2586,10.5699,0.9171,125450.0,8021273.0
今世缘,603369.SH,20230213,63.9,33.2378,10.5633,0.9177,125450.0,8016255.0
今世缘,603369.SH,20230210,63.03,32.7852,10.4195,0.9303,125450.0,7907113.5
今世缘,603369.SH,20230209,63.01,32.7748,10.4162,0.9306,125450.0,7904604.5
今世缘,603369.SH,20230208,60.0,31.2092,9.9186,0.9773,125450.0,7527000.0
今世缘,603369.SH,20230207,59.22,30.8035,9.7896,0.9902,125450.0,7429149.0
今世缘,603369.SH,20230206,60.06,31.2404,9.9285,0.9763,125450.0,7534527.0
今世缘,603369.SH,20230203,60.36,31.3964,9.9781,0.9715,125450.0,7572162.0
今世缘,603369.SH,20230202,59.81,31.1103,9.8872,0.9804,125450.0,7503164.5
今世缘,603369.SH,20230201,58.19,30.2677,9.6194,1.0077,125450.0,7299935.5
今世缘,603369.SH,20230131,57.76,30.044,9.5483,1.0152,125450.0,7245992.0
今世缘,603369.SH,20230130,59.46,30.9283,9.8293,0.9862,125450.0,7459257.0
今世缘,603369.SH,20230120,57.41,29.862,9.4904,1.0214,125450.0,7202084.5
今世缘,603369.SH,20230119,57.85,30.0908,9.5632,1.0136,125450.0,7257282.5
今世缘,603369.SH,20230118,58.05,30.1949,9.5962,1.0101,125450.0,7282372.5
今世缘,603369.SH,20230117,58.5,30.4289,9.6706,1.0024,125450.0,7338825.0
今世缘,603369.SH,20230116,60.54,31.4901,10.0078,0.9686,125450.0,7594743.0
今世缘,603369.SH,20230113,58.71,30.5382,9.7053,0.9988,125450.0,7365169.5
今世缘,603369.SH,20230112,57.37,29.8412,9.4838,1.0221,125450.0,7197066.5
今世缘,603369.SH,20230111,58.1,30.2209,9.6045,1.0093,125450.0,7288645.0
今世缘,603369.SH,20230110,58.35,30.3509,9.6458,1.0049,125450.0,7320007.5
今世缘,603369.SH,20230109,58.4,30.3769,9.6541,1.0041,125450.0,7326280.0
今世缘,603369.SH,20230106,54.82,28.5148,9.0623,1.0696,125450.0,6877169.0
今世缘,603369.SH,20230105,53.37,27.7606,8.8226,1.0987,125450.0,6695266.5
今世缘,603369.SH,20230104,50.99,26.5226,8.4291,1.15,125450.0,6396695.5
今世缘,603369.SH,20230103,49.9,25.9556,8.249,1.1751,125450.0,6259955.0
今世缘,603369.SH,20221230,50.9,26.4758,8.4143,1.152,125450.0,6385405.0
今世缘,603369.SH,20221229,50.92,26.4862,8.4176,1.1516,125450.0,6387914.0
今世缘,603369.SH,20221228,50.9,26.4758,8.4143,1.152,125450.0,6385405.0
今世缘,603369.SH,20221227,50.43,26.2313,8.3366,1.1628,125450.0,6326443.5
今世缘,603369.SH,20221226,49.44,25.7164,8.1729,1.186,125450.0,6202248.0
今世缘,603369.SH,20221223,50.39,26.2105,8.33,1.1637,125450.0,6321425.5
今世缘,603369.SH,20221222,49.72,25.862,8.2192,1.1794,125450.0,6237374.0
今世缘,603369.SH,20221221,48.71,25.3366,8.0522,1.2038,125450.0,6110669.5
今世缘,603369.SH,20221220,47.7,24.8113,7.8853,1.2293,125450.0,5983965.0
今世缘,603369.SH,20221219,48.98,25.4771,8.0969,1.1972,125450.0,6144541.0
今世缘,603369.SH,20221216,49.68,25.8412,8.2126,1.1803,125450.0,6232356.0
今世缘,603369.SH,20221215,49.29,25.6383,8.1481,1.1897,125450.0,6183430.5
今世缘,603369.SH,20221214,50.09,26.0545,8.2804,1.1707,125450.0,6283790.5
今世缘,603369.SH,20221213,48.3,25.1234,7.9845,1.214,125450.0,6059235.0
今世缘,603369.SH,20221212,47.63,24.7749,7.8737,1.2311,125450.0,5975183.5
今世缘,603369.SH,20221209,47.92,24.9257,7.9216,1.2237,125450.0,6011564.0
