ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600298.SH,2021,106.7533,13.0854,83269.2943,0.5,4.1635,31.82,12.26
600298.SH,2020,89.3304,11.941,83286.0943,0.49473,4.1204,34.51,13.37
600298.SH,2019,76.5275,10.391,82408.0943,0.4,3.2963,31.72,13.58
600298.SH,2018,66.856,7.3856,82408.0943,0.35,2.8843,39.05,11.05
600298.SH,2017,57.7573,8.3667,82408.0943,0.35,2.8843,34.47,14.49
600298.SH,2016,48.6053,3.1215,82408.0943,0.3,2.4722,79.2,6.42
600298.SH,2015,42.1336,2.6604,32963.2377,0.3,0.9889,37.17,6.31
600298.SH,2014,36.5411,1.359,32963.2377,0.1425,0.4697,34.56,3.72
600298.SH,2013,31.1938,1.116,32963.2377,0.1425,0.4697,42.09,3.58
600298.SH,2012,27.1366,2.3987,32963.2377,0.1425,0.4697,19.58,8.84
600298.SH,2011,25.0578,2.9216,32963.2377,0.135,0.445,15.23,11.66
600298.SH,2010,21.0098,2.85,30604.6577,0.135,0.4132,14.5,13.56
600298.SH,2009,16.8634,2.1019,27140.0,0.117,0.3175,15.11,12.46
