ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
300571.SZ,互联网,2016,2021,22.1568,36.0139,2.5502,13952.8294,0.11,62.79,0.1535,6.02,7.08
300571.SZ,互联网,2016,2020,27.652,24.079,2.1008,12458.165,0.1,73.04,0.1246,5.93,8.72
300571.SZ,互联网,2016,2019,31.4806,17.1763,2.1656,12459.7715,0.46,57.89,0.5731,26.47,12.61
300571.SZ,互联网,2016,2018,45.8031,8.6195,1.9714,12047.835,0.2,37.53,0.241,12.22,22.87
300571.SZ,互联网,2016,2017,33.2668,9.0995,0.9791,8000.0,0.25,49.6,0.2,20.43,10.76
300571.SZ,互联网,2016,2016,26.6179,4.6902,0.4843,4000.0,0.25,27.66,0.1,20.65,10.32
