ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
000895.SZ,食品,1998,2021,20.8965,667.9755,48.6648,346466.1213,1.298,31.87,44.9713,92.41,7.29
000895.SZ,食品,1998,2020,31.0827,739.3519,62.5551,346466.1213,2.32,30.46,80.3801,128.49,8.46
000895.SZ,食品,1998,2019,36.9129,603.4831,54.3753,331928.219,1.0,40.23,33.1928,61.04,9.01
000895.SZ,食品,1998,2018,35.6237,489.3188,49.167,329955.8284,1.4500000000000002,37.36,47.8436,97.31,10.05
000895.SZ,食品,1998,2017,29.9745,505.7833,43.1719,329955.8284,1.1,33.01,36.2951,84.07,8.54
000895.SZ,食品,1998,2016,28.4242,518.4506,44.0506,329955.8284,2.1,29.43,69.2907,157.3,8.5
000895.SZ,食品,1998,2015,26.3538,446.9667,42.5554,329955.8284,1.25,22.71,41.2445,96.92,9.52
000895.SZ,食品,1998,2014,27.0674,456.9573,40.3986,220057.8448,1.349,25.57,29.6858,73.48,8.84
000895.SZ,食品,1998,2013,29.5828,449.5046,38.582,220057.8448,1.3775,24.02,30.313,78.57,8.58
000895.SZ,食品,1998,2012,37.4258,397.0455,28.8523,110028.9224,1.2825,24.8,14.1112,48.91,7.27
000895.SZ,食品,1998,2011,37.5602,358.3182,13.342,60599.49,0.495,44.69,2.9997,22.48,3.72
000895.SZ,食品,1998,2010,36.4366,363.1026,11.5921,60599.49,0.45,35.78,2.727,23.52,3.19
000895.SZ,食品,1998,2009,34.1584,283.5135,9.1066,60599.49,0.9,35.39,5.454,59.89,3.21
