证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
广州酒家,603043.SH,20230301,28.28,27.5304,3.8172,1.4106,56877.0805,1608483.8365
广州酒家,603043.SH,20230228,28.05,27.3065,3.7861,1.4221,56877.0805,1595402.108
广州酒家,603043.SH,20230227,28.23,27.4817,3.8104,1.4131,56877.0805,1605639.9825
广州酒家,603043.SH,20230224,28.2,27.4525,3.8064,1.4146,56877.0805,1603933.6701
广州酒家,603043.SH,20230223,28.41,27.6569,3.8347,1.4041,56877.0805,1615877.857
广州酒家,603043.SH,20230222,28.57,27.8127,3.8563,1.3963,56877.0805,1624978.1899
广州酒家,603043.SH,20230221,28.23,27.4817,3.8104,1.4131,56877.0805,1605639.9825
广州酒家,603043.SH,20230220,28.68,27.8994,3.8683,1.3919,56835.5942,1630044.8417
广州酒家,603043.SH,20230217,28.66,27.88,3.8656,1.3929,56835.5942,1628908.1298
广州酒家,603043.SH,20230216,28.97,28.1815,3.9074,1.378,56835.5942,1646527.164
广州酒家,603043.SH,20230215,29.0,28.2107,3.9115,1.3766,56835.5942,1648232.2318
广州酒家,603043.SH,20230214,29.62,28.8138,3.9951,1.3477,56835.5942,1683470.3002
广州酒家,603043.SH,20230213,27.6,26.8488,3.7227,1.4464,56835.5942,1568662.3999
广州酒家,603043.SH,20230210,25.57,24.8741,3.4489,1.5612,56835.5942,1453286.1437
广州酒家,603043.SH,20230209,25.36,24.6698,3.4205,1.5741,56835.5942,1441350.6689
广州酒家,603043.SH,20230208,25.17,24.4849,3.3949,1.586,56835.5942,1430551.906
广州酒家,603043.SH,20230207,25.15,24.4655,3.3922,1.5873,56835.5942,1429415.1941
广州酒家,603043.SH,20230206,25.5,24.806,3.4394,1.5655,56835.5942,1449307.6521
广州酒家,603043.SH,20230203,25.58,24.8838,3.4502,1.5606,56835.5942,1453854.4996
广州酒家,603043.SH,20230202,26.06,25.3507,3.5149,1.5319,56835.5942,1481135.5849
广州酒家,603043.SH,20230201,25.15,24.4655,3.3922,1.5873,56835.5942,1429415.1941
广州酒家,603043.SH,20230131,25.09,24.4071,3.3841,1.5911,56835.5942,1426005.0585
广州酒家,603043.SH,20230130,25.21,24.5239,3.4003,1.5835,56835.5942,1432825.3298
广州酒家,603043.SH,20230120,25.71,25.0102,3.4677,1.5527,56835.5942,1461243.1269
广州酒家,603043.SH,20230119,26.0,25.2924,3.5068,1.5354,56835.5942,1477725.4492
广州酒家,603043.SH,20230118,25.77,25.0686,3.4758,1.5491,56835.5942,1464653.2625
广州酒家,603043.SH,20230117,25.47,24.7768,3.4354,1.5673,56835.5942,1447602.5843
广州酒家,603043.SH,20230116,26.15,25.4383,3.5271,1.5266,56835.5942,1486250.7883
广州酒家,603043.SH,20230113,26.21,25.4966,3.5352,1.5231,56835.5942,1489660.924
广州酒家,603043.SH,20230112,24.7,24.0277,3.3315,1.6162,56835.5942,1403839.1767
广州酒家,603043.SH,20230111,24.85,24.1737,3.3517,1.6065,56835.5942,1412364.5159
广州酒家,603043.SH,20230110,25.14,24.4558,3.3909,1.5879,56835.5942,1428846.8382
广州酒家,603043.SH,20230109,25.3,24.6114,3.4124,1.5779,56835.5942,1437940.5333
广州酒家,603043.SH,20230106,25.2,24.5141,3.3989,1.5841,56835.5942,1432256.9738
广州酒家,603043.SH,20230105,25.61,24.913,3.4542,1.5588,56835.5942,1455559.5675
广州酒家,603043.SH,20230104,25.2,24.5141,3.3989,1.5841,56835.5942,1432256.9738
广州酒家,603043.SH,20230103,24.9,24.1741,3.3518,1.6064,56722.4041,1412387.8621
广州酒家,603043.SH,20221230,25.82,25.0672,3.4756,1.5492,56722.4041,1464572.4739
广州酒家,603043.SH,20221229,25.65,24.9022,3.4528,1.5595,56722.4041,1454929.6652
广州酒家,603043.SH,20221228,25.57,24.8245,3.442,1.5643,56722.4041,1450391.8728
广州酒家,603043.SH,20221227,26.27,25.5041,3.5362,1.5226,56722.4041,1490097.5557
广州酒家,603043.SH,20221226,26.5,25.7274,3.5672,1.5094,56722.4041,1503143.7087
广州酒家,603043.SH,20221223,25.74,24.9896,3.4649,1.554,56722.4041,1460034.6815
广州酒家,603043.SH,20221222,25.85,25.0964,3.4797,1.5474,56722.4041,1466274.146
广州酒家,603043.SH,20221221,26.35,25.5818,3.547,1.518,56722.4041,1494635.348
广州酒家,603043.SH,20221220,25.57,24.8245,3.442,1.5643,56722.4041,1450391.8728
广州酒家,603043.SH,20221219,26.39,25.6206,3.5524,1.5157,56722.4041,1496904.2442
广州酒家,603043.SH,20221216,25.74,24.9896,3.4649,1.554,56722.4041,1460034.6815
广州酒家,603043.SH,20221215,25.26,24.5236,3.4003,1.5835,56722.4041,1432807.9276
广州酒家,603043.SH,20221214,26.02,25.2614,3.5026,1.5373,56722.4041,1475916.9547
广州酒家,603043.SH,20221213,24.94,24.2129,3.3572,1.6038,56722.4041,1414656.7583
