ts_code,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
600036.SH,2021,15.1561,3312.53,1272.2,2521984.5601,1.522,90.64,383.8461,30.17,38.41
600036.SH,2020,14.5825,2904.82,943.75,2521984.5601,1.253,91.27,316.0047,33.48,32.49
600036.SH,2019,16.1309,2697.03,965.6,2521984.5601,1.2,91.67,302.6381,31.34,35.8
600036.SH,2018,15.791,2485.55,896.54,2521984.5601,0.94,91.94,237.0665,26.44,36.07
600036.SH,2017,15.8969,2208.97,624.58,2521984.5601,0.84,92.32,211.8467,33.92,28.27
600036.SH,2016,16.2695,2090.25,589.46,2521984.5601,0.74,93.21,186.6269,31.66,28.2
600036.SH,2015,17.0898,2014.71,632.99,2521984.5601,0.69,93.39,174.0169,27.49,31.42
600036.SH,2014,19.284,1658.63,645.75,2521984.5601,0.6365,93.34,160.5243,24.86,38.93
600036.SH,2013,22.2172,1326.04,450.72,2521984.5601,0.589,93.38,148.5449,32.96,33.99
600036.SH,2012,24.7823,1133.67,445.21,2157660.8885,0.5985,94.12,129.136,29.01,39.27
600036.SH,2011,24.1663,961.57,372.48,2157660.8885,0.378,94.1,81.5596,21.9,38.74
600036.SH,2010,22.7251,713.77,241.87,2157660.8885,0.261,94.42,56.3149,23.28,33.89
600036.SH,2009,21.1668,514.46,151.63,2157660.8885,0.189,95.51,40.7798,26.89,29.47
