证券简称,ts_code,trade_date,close,pe_ttm,ps_ttm,dv_ttm,total_share,total_mv
安琪酵母,600298.SH,20230313,39.65,29.0104,2.856,1.2084,86896.8879,3445461.6052
安琪酵母,600298.SH,20230310,39.39,28.8202,2.8373,1.2164,86896.8879,3422868.4144
安琪酵母,600298.SH,20230309,38.78,28.3738,2.7933,1.2355,86896.8879,3369861.3128
安琪酵母,600298.SH,20230308,39.4,28.8275,2.838,1.2161,86896.8879,3423737.3833
安琪酵母,600298.SH,20230307,39.0,28.5348,2.8092,1.2285,86896.8879,3388978.6281
安琪酵母,600298.SH,20230306,39.77,29.0982,2.8646,1.2047,86896.8879,3455889.2318
安琪酵母,600298.SH,20230303,40.04,29.2957,2.8841,1.1966,86896.8879,3479351.3915
安琪酵母,600298.SH,20230302,40.17,29.3909,2.8934,1.1927,86896.8879,3490647.9869
安琪酵母,600298.SH,20230301,40.54,29.6616,2.9201,1.1819,86896.8879,3522799.8355
安琪酵母,600298.SH,20230228,40.44,29.5884,2.9129,1.1848,86896.8879,3514110.1467
安琪酵母,600298.SH,20230227,40.16,29.3835,2.8927,1.193,86896.8879,3489779.0181
安琪酵母,600298.SH,20230224,40.2,29.4128,2.8956,1.1919,86896.8879,3493254.8936
安琪酵母,600298.SH,20230223,41.02,30.0128,2.9547,1.168,86896.8879,3564510.3417
安琪酵母,600298.SH,20230222,41.26,30.1884,2.972,1.1612,86896.8879,3585365.5948
安琪酵母,600298.SH,20230221,41.3,30.2176,2.9748,1.1601,86896.8879,3588841.4703
安琪酵母,600298.SH,20230220,41.81,30.5908,3.0116,1.146,86896.8879,3633158.8831
安琪酵母,600298.SH,20230217,42.5,31.0956,3.0613,1.1274,86896.8879,3693117.7358
安琪酵母,600298.SH,20230216,41.5,30.364,2.9892,1.1545,86896.8879,3606220.8479
安琪酵母,600298.SH,20230215,41.94,30.6859,3.0209,1.1424,86896.8879,3644455.4785
安琪酵母,600298.SH,20230214,42.66,31.2127,3.0728,1.1231,86896.8879,3707021.2378
安琪酵母,600298.SH,20230213,42.29,30.942,3.0461,1.133,86896.8879,3674869.3893
安琪酵母,600298.SH,20230210,42.02,30.7444,3.0267,1.1402,86896.8879,3651407.2296
安琪酵母,600298.SH,20230209,41.28,30.203,2.9734,1.1607,86896.8879,3587103.5325
安琪酵母,600298.SH,20230208,41.04,30.0274,2.9561,1.1675,86896.8879,3566248.2794
安琪酵母,600298.SH,20230207,41.02,30.0128,2.9547,1.168,86896.8879,3564510.3417
安琪酵母,600298.SH,20230206,41.57,30.4152,2.9943,1.1526,86896.8879,3612303.63
安琪酵母,600298.SH,20230203,41.77,30.5615,3.0087,1.1471,86896.8879,3629683.0076
安琪酵母,600298.SH,20230202,42.18,30.8615,3.0382,1.1359,86896.8879,3665310.7316
安琪酵母,600298.SH,20230201,42.15,30.8395,3.0361,1.1367,86896.8879,3662703.825
安琪酵母,600298.SH,20230131,41.58,30.4225,2.995,1.1523,86896.8879,3613172.5989
安琪酵母,600298.SH,20230130,42.22,30.8908,3.0411,1.1348,86896.8879,3668786.6071
安琪酵母,600298.SH,20230120,43.0,31.4615,3.0973,1.1142,86896.8879,3736566.1797
安琪酵母,600298.SH,20230119,42.95,31.4249,3.0937,1.1155,86896.8879,3732221.3353
安琪酵母,600298.SH,20230118,43.3,31.681,3.1189,1.1065,86896.8879,3762635.2461
安琪酵母,600298.SH,20230117,43.63,31.9224,3.1427,1.0982,86896.8879,3791311.2191
安琪酵母,600298.SH,20230116,43.68,31.959,3.1463,1.0969,86896.8879,3795656.0635
安琪酵母,600298.SH,20230113,43.86,32.0907,3.1592,1.0924,86896.8879,3811297.5033
安琪酵母,600298.SH,20230112,42.66,31.2127,3.0728,1.1231,86896.8879,3707021.2378
安琪酵母,600298.SH,20230111,43.26,31.6517,3.116,1.1076,86896.8879,3759159.3706
安琪酵母,600298.SH,20230110,43.57,31.8785,3.1383,1.0997,86896.8879,3786097.4058
安琪酵母,600298.SH,20230109,43.16,31.5785,3.1088,1.1101,86896.8879,3750469.6818
安琪酵母,600298.SH,20230106,42.74,31.2712,3.0786,1.121,86896.8879,3713972.9888
安琪酵母,600298.SH,20230105,44.4,32.4858,3.1981,1.0791,86896.8879,3858221.8228
安琪酵母,600298.SH,20230104,44.17,32.3175,3.1816,1.0847,86896.8879,3838235.5385
安琪酵母,600298.SH,20230103,43.99,32.1858,3.1686,1.0892,86896.8879,3822594.0987
安琪酵母,600298.SH,20221230,45.22,33.0857,3.2572,1.0595,86896.8879,3929477.2708
安琪酵母,600298.SH,20221229,44.53,32.5809,3.2075,1.076,86896.8879,3869518.4182
安琪酵母,600298.SH,20221228,44.5,32.5589,3.2053,1.0767,86896.8879,3866911.5116
安琪酵母,600298.SH,20221227,44.87,32.8297,3.232,1.0678,86896.8879,3899063.3601
安琪酵母,600298.SH,20221226,44.05,32.2297,3.1729,1.0877,86896.8879,3827807.912
安琪酵母,600298.SH,20221223,45.36,33.1882,3.2673,1.0563,86896.8879,3941642.8351
安琪酵母,600298.SH,20221222,45.36,33.1882,3.2673,1.0563,86896.8879,3941642.8351
安琪酵母,600298.SH,20221221,45.0,32.9248,3.2413,1.0647,86896.8879,3910359.9555
