ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
300357.SZ,2021,8.0769,3.6393,52358.4,0.201,1.0524,28.92,45.06
300357.SZ,2020,6.3621,2.7916,52358.4,0.16,0.8377,30.01,43.88
300357.SZ,2019,6.3935,2.9843,52358.4,0.18,0.9425,31.58,46.68
300357.SZ,2018,5.0074,2.329,29088.0,0.25,0.7272,31.22,46.51
300357.SZ,2017,3.8558,1.8608,16160.0,0.4,0.6464,34.74,48.26
300357.SZ,2016,3.1209,1.2922,16160.0,0.25,0.404,31.26,41.41
300357.SZ,2015,2.6711,1.1784,16160.0,0.35,0.5656,48.0,44.12
300357.SZ,2014,2.3951,0.9956,16160.0,0.285,0.4606,46.26,41.57
300357.SZ,2013,1.9361,0.7055,10100.0,0.255,0.2576,36.5,36.44
