ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
000661.SZ,2021,107.4672,37.275,40224.7089,0.8,3.218,8.63,34.69
000661.SZ,2020,85.766,30.4884,40472.029,0.8,3.2378,10.62,35.55
000661.SZ,2019,73.737,17.7258,20236.0145,1.0,2.0236,11.42,24.04
000661.SZ,2018,53.7499,10.065,17011.2265,0.8,1.3609,13.52,18.73
000661.SZ,2017,41.0226,6.6195,17011.2265,0.8,1.3609,20.56,16.14
000661.SZ,2016,28.9744,4.8485,17011.2265,0.8,1.3609,28.07,16.73
000661.SZ,2015,24.0209,3.8448,13132.657,0.8,1.0506,27.33,16.01
000661.SZ,2014,22.623,3.1817,13132.657,0.475,0.6238,19.61,14.06
000661.SZ,2013,20.4869,2.839,13132.657,0.38,0.499,17.58,13.86
000661.SZ,2012,17.6119,2.998,13132.657,0.19,0.2495,8.32,17.02
