,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,002508.SZ,老板电器,2010,20230427,26.42,1.8827,15.7353,0.0%,63.0%,1.5,,,,
1,600887.SH,伊利股份,1996,20230427,27.8,3.4539,20.1649,5.0%,55.0%,1.75,,,,
2,002507.SZ,涪陵榨菜,2010,20230427,24.09,1.4529,23.7909,7.0%,43.5%,1.75,20230203.0,26.743,25.28,-9.92
3,603568.SH,伟明环保,2015,20230427,18.11,0.5522,18.5594,9.0%,57.0%,2.0,,,,
4,000895.SZ,双汇发展,1998,20230427,24.65,11.7566,15.1195,9.0%,55.0%,1.5,20230208.0,25.173,15.86,-2.08
5,600036.SH,招商银行,2002,20230427,32.63,4.6644,5.8434,10.0%,39.5%,2.0,,,,
6,002841.SZ,视源股份,2017,20230427,63.26,1.3523,21.6564,28.5%,39.5%,2.0,20230209.0,64.33,21.91,-1.66
7,603338.SH,浙江鼎力,2015,20230427,50.66,0.6711,18.5746,68.0%,26.0%,2.25,20230130.0,51.596,,-1.81
8,600276.SH,恒瑞医药,2000,20230427,48.2,0.3319,78.6672,124.0%,77.5%,2.0,20210810.0,57.559,56.74,-16.26
9,300529.SZ,健帆生物,2016,20230427,29.48,3.0111,26.7682,150.0%,29.0%,1.75,20230202.0,34.897,23.21,-15.52
10,603387.SH,基蛋生物,2017,20230427,13.97,1.7384,17.6367,238.0%,45.0%,2.0,20230217.0,13.253,10.88,5.41
