,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230411,28.52,3.3667,2.81,20.6871,6.5%,57.0%,24.44,18.99~37.35,19.63~35.01,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230411,25.09,1.395,1.16,24.7785,9.5%,45.5%,21.59,23.34~55.82,21.87~52.21,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,600036.SH,招商银行,2002,长期,20230411,33.73,4.5123,3.41,6.1637,13.5%,42.5%,15.51,4.97~14.99,5.94~13.92,,2.0,1.15,31.07,91.57,,,
3,000895.SZ,双汇发展,1998,长期,20230411,25.96,7.3112,5.51,16.0015,14.5%,58.0%,30.9,14.27~28.37,13.6~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,603568.SH,伟明环保,2015,,20230411,18.4,0.5435,1.41,19.6608,15.0%,59.5%,25.51,16.64~32.78,17.46~32.52,,2.0,0.26,27.33,43.46,,,
5,000848.SZ,承德露露,1997,,20230411,8.35,,4.19,15.2404,15.0%,62.5%,22.17,12.88~24.54,13.59~24.11,,1.75,0.35,81.07,31.26,,,
6,002032.SZ,苏泊尔,2004,,20230411,51.92,6.1158,2.02,20.3057,18.0%,54.5%,28.57,15.72~36.62,18.91~37.51,,1.5,1.05,45.55,42.99,,,
7,300628.SZ,亿联网络,2017,,20230411,68.99,1.1605,1.49,28.4792,18.0%,47.5%,28.96,25.96~61.2,22.38~56.98,,1.75,1.03,43.03,8.28,,,
8,600519.SH,贵州茅台,2001,长期,20230411,1745.5,2.497,0.96,34.962,19.0%,62.5%,32.37,34.69~56.85,25.27~54.29,,1.5,16.71,51.72,24.38,,,
9,600885.SH,宏发股份,1996,,20230411,32.65,0.9385,1.07,27.2925,20.5%,48.5%,16.79,26.67~57.63,19.56~54.2,,1.75,0.35,30.75,33.39,,,
10,603288.SH,海天味业,2014,长期,20230411,75.08,0.9202,1.25,52.4731,21.0%,56.5%,33.46,46.51~95.61,40.14~87.7,,1.5,0.94,55.97,30.65,,,
11,300482.SZ,万孚生物,2015,,20230411,31.1,0.9605,1.13,11.5495,28.0%,18.0%,21.49,8.4~58.76,9.65~67.55,修正标准差,2.25,0.35,27.39,24.92,,,
12,000049.SZ,德赛电池,1995,,20230411,43.02,1.7487,1.37,14.1823,33.5%,54.5%,25.27,10.29~26.57,10.86~25.08,,2.0,0.59,23.65,70.97,,,
13,300357.SZ,我武生物,2014,,20230411,48.6,0.4136,0.49,65.144,34.5%,51.5%,24.02,54.48~131.88,43.15~120.53,,1.5,0.24,31.29,5.72,,,
14,600298.SH,安琪酵母,2000,长期,20230411,41.22,1.1624,1.02,27.1104,35.5%,60.0%,21.99,21.01~46.13,19.09~43.47,,2.0,0.42,34.31,46.8,,,
15,000333.SZ,美的集团,2013,长期,20230411,55.84,2.9887,2.65,13.2044,36.5%,53.0%,25.21,9.21~25.79,10.08~23.92,,1.75,1.48,43.94,65.34,,,
