,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
45,002271.SZ,东方雨虹,,20230214,36.73,0.8135,29.0739,79.67%,74.0%,20.84~41.44,14.23~38.89,14.82~37.02,
46,000661.SZ,长春高新,长期,20230214,204.91,0.388,20.3517,81.0%,27.0%,6.86~79.3,14.81~74.55,18.42~69.58,
47,603369.SH,今世缘,,20230214,63.94,0.9171,33.2586,81.67%,78.0%,21.85~45.61,17.73~42.17,16.09~39.39,
48,300357.SZ,我武生物,,20230214,54.59,0.3682,73.173,82.33%,60.0%,55.61~131.83,41.78~120.8,30.24~112.22,
49,000858.SZ,五粮液,长期,20230214,209.24,1.4448,31.1912,83.33%,60.33%,21.01~55.75,16.87~50.57,14.3~47.3,
50,300595.SZ,欧普康视,,20230214,37.4,0.3716,54.2394,88.33%,37.67%,41.46~159.1,26.7~139.8,23.36~132.2,
51,603848.SH,好太太,,20230214,15.28,1.6361,24.1115,88.67%,78.33%,15.57~23.63,12.91~33.91,10.66~38.7,
52,603444.SH,吉比特,,20230214,368.78,8.1349,20.7911,92.33%,53.33%,11.27~41.27,10.04~36.88,11.14~37.96,
53,603605.SH,珀莱雅,,20230214,181.0,0.3369,72.5701,93.0%,82.33%,60.12~86.6,33.16~87.68,30.08~87.44,
54,600436.SH,片仔癀,长期,20230214,312.5,0.3872,76.3602,94.0%,66.0%,52.17~126.55,37.54~114.82,32.64~105.92,
55,600276.SH,恒瑞医药,长期,20230214,45.22,0.3538,82.5014,95.33%,90.33%,40.87~94.23,46.35~91.39,39.49~87.45,
56,603868.SH,飞科电器,,20230214,80.05,1.2492,39.629,101.33%,93.33%,22.76~42.84,17.52~40.18,19.37~43.77,
57,002901.SZ,大博医疗,,20230214,38.46,1.3001,37.1191,108.67%,52.0%,14.81~74.25,19.27~68.37,20.07~69.79,
58,600690.SH,海尔智家,,20230214,26.77,1.7005,17.0891,112.67%,56.33%,9.51~33.59,7.48~29.5,7.39~27.15,
59,600809.SH,山西汾酒,长期,20230214,299.5,0.601,48.4431,125.33%,51.67%,33.16~103.58,18.79~92.55,17.7~84.92,
60,603638.SH,艾迪精密,,20230214,19.81,0.6068,67.9509,135.0%,86.67%,37.96~80.56,26.44~74.3,25.17~79.03,
61,600763.SH,通策医疗,,20230214,157.55,,84.4926,213.33%,50.33%,42.82~189.98,28.14~164.88,19.06~149.4,
62,603180.SH,金牌厨柜,,20230214,37.98,2.7932,17.0109,287.0%,49.0%,11.42~24.04,4.21~39.23,2.79~48.91,
63,600309.SH,万华化学,长期,20230214,100.0,2.5,19.3342,392.33%,59.0%,4.54~36.22,2.98~31.76,4.78~30.1,
64,300571.SZ,平治信息,,20230214,38.6,0.285,28.9223,492.33%,63.67%,17.24~31.04,10.63~47.47,2.16~74.94,
