,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,600887.SH,伊利股份,1996,20230420,28.08,3.4195,20.368,6.0%,56.0%,1.75,,,,
1,300628.SZ,亿联网络,2017,20230420,61.96,1.2921,25.5772,7.0%,42.5%,1.75,,,,
2,002507.SZ,涪陵榨菜,2010,20230420,24.49,1.4292,24.1859,8.0%,44.5%,1.75,20230203.0,26.743,25.28,-8.42
3,000895.SZ,双汇发展,1998,20230420,26.4,7.1894,16.2727,17.0%,59.0%,1.5,20230208.0,25.173,15.86,4.87
4,002841.SZ,视源股份,2017,20230420,71.56,1.1955,24.2497,43.0%,44.5%,2.0,20230209.0,64.33,21.91,11.24
5,603338.SH,浙江鼎力,2015,20230420,52.12,0.6523,20.9911,84.5%,29.5%,2.25,20230130.0,51.596,,1.02
6,600276.SH,恒瑞医药,2000,20230420,47.8,0.3347,87.2085,148.5%,85.5%,2.0,20210810.0,57.559,56.74,-16.95
7,300529.SZ,健帆生物,2016,20230420,30.69,2.8924,27.8669,152.5%,30.0%,1.75,20230202.0,34.897,23.21,-12.06
8,603387.SH,基蛋生物,2017,20230420,13.12,1.851,13.503,155.5%,34.0%,2.0,20230217.0,13.253,10.88,-1.0
