,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
34,600085.SH,同仁堂,长期,20230224,47.91,0.6053,0.77,50.1488,47.0%,96.0%,11.77,35.92~52.74,32.25~51.63,,1.5,0.37,48.2,30.18,,,
35,002508.SZ,老板电器,,20230224,31.15,1.5968,1.96,24.1761,47.5%,100.0%,24.01,17.35~24.23,15.48~23.74,,1.25,0.61,39.35,34.91,,,
36,002236.SZ,大华股份,,20230224,13.34,1.9982,1.42,15.1405,47.5%,64.0%,21.5,11.34~21.14,9.32~26.3,,2.0,0.19,18.56,47.45,,,
37,600436.SH,片仔癀,长期,20230224,308.06,0.3928,0.26,75.2753,48.5%,65.5%,24.1,58.97~120.33,44.17~108.43,,1.25,0.79,31.76,20.16,,,
38,002304.SZ,洋河股份,,20230224,168.55,1.7792,1.75,27.1168,50.5%,67.5%,21.82,20.62~41.52,15.93~38.43,,1.5,2.95,59.95,32.33,,,
39,603833.SH,欧派家居,,20230224,138.46,1.2639,0.84,33.172,54.0%,76.0%,22.46,22.27~43.53,20.68~43.36,,1.5,1.16,30.31,35.64,,,
40,300595.SZ,欧普康视,,20230224,34.67,0.4009,0.46,50.2802,55.0%,33.0%,26.56,40.73~159.27,26.77~139.75,,1.5,0.16,19.24,11.79,,,
41,601318.SH,中国平安,长期,20230224,48.2,4.9408,2.76,9.136,57.5%,67.0%,18.87,5.6~12.76,6.01~14.39,,2.0,1.33,19.94,89.53,,,
42,603589.SH,口子窖,,20230224,69.5,2.147,1.86,23.4473,57.5%,77.0%,23.49,14.74~30.52,14.95~29.71,,1.5,1.29,51.89,28.32,,,
43,300638.SZ,广和通,,20230224,21.69,0.6046,1.2,37.6429,58.5%,45.5%,20.09,22.54~78.9,24.95~84.95,,2.0,0.26,26.93,46.39,,,
44,603444.SH,吉比特,,20230224,364.9,8.2214,2.5,20.5724,58.5%,56.0%,29.83,13.63~38.59,12.28~34.64,,1.25,9.12,67.13,23.01,,,
45,000858.SZ,五粮液,长期,20230224,201.1,1.5032,1.07,29.9778,59.5%,56.0%,23.54,21.05~55.77,16.85~50.55,,1.5,2.16,50.18,24.79,,,
46,601155.SH,新城控股,,20230224,19.6,,6.53,4.3933,60.5%,50.0%,33.68,3.3~7.22,2.33~10.87,,1.75,1.28,28.97,85.18,,,
47,000538.SZ,云南白药,长期,20230224,57.05,2.0025,4.21,38.5672,63.0%,102.0%,14.5,23.99~38.39,23.11~37.03,,1.5,2.4,73.32,29.85,,,
