,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230306,26.1,1.341,1.11,25.7759,9.5%,47.5%,21.59,24.58~55.56,22.39~52.27,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230306,30.73,3.1246,2.6,22.2902,13.0%,61.0%,24.44,19.35~37.25,19.94~35.02,,1.75,0.8,69.39,51.14,,,
2,300628.SZ,亿联网络,2017,,20230306,68.51,1.1686,1.5,28.2811,15.0%,47.5%,28.96,26.89~61.07,22.52~56.96,,1.75,1.03,43.03,8.28,,,
3,000895.SZ,双汇发展,1998,长期,20230306,26.59,7.138,5.38,16.815,18.0%,61.0%,30.9,14.64~28.48,13.74~26.42,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,603568.SH,伟明环保,2015,,20230306,19.38,0.516,1.34,20.708,18.5%,62.5%,25.51,16.99~33.13,17.71~32.67,,2.0,0.26,27.33,43.46,,,
5,600036.SH,招商银行,2002,长期,20230306,37.0,4.1135,3.11,6.7613,19.0%,46.5%,15.51,5.22~14.9,6.16~13.88,,2.0,1.15,31.07,91.57,,,
6,002841.SZ,视源股份,2017,,20230306,66.46,1.2872,1.14,22.5215,26.5%,41.0%,32.54,16.38~51.34,19.32~57.64,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
7,002032.SZ,苏泊尔,2004,,20230306,57.27,5.5444,1.83,22.3981,28.0%,59.5%,28.57,16.04~36.84,19.12~37.52,,1.5,1.05,45.55,42.99,,,
8,000848.SZ,承德露露,1997,,20230306,9.35,,3.74,17.0656,28.5%,69.5%,22.17,12.8~24.56,13.7~24.24,,1.75,0.35,81.07,31.26,,,
9,300482.SZ,万孚生物,2015,,20230306,33.75,0.8851,1.04,12.0302,28.5%,18.0%,21.49,8.87~62.09,9.86~69.02,修正标准差,2.25,0.35,27.39,24.92,,,
10,000333.SZ,美的集团,2013,长期,20230306,53.83,3.1003,2.75,12.7291,29.0%,50.5%,25.21,9.4~25.74,10.27~24.11,,1.75,1.48,43.94,65.34,,,
11,603288.SH,海天味业,2014,长期,20230306,80.48,0.8585,1.17,56.2472,30.0%,61.0%,33.46,46.89~95.57,39.82~87.76,,1.5,0.94,55.97,30.65,,,
12,600519.SH,贵州茅台,2001,长期,20230306,1807.14,2.4118,0.92,38.0933,30.5%,68.0%,32.37,34.35~56.97,25.19~54.29,,1.5,16.71,51.72,24.38,,,
13,600885.SH,宏发股份,1996,,20230306,34.9,0.878,1.0,30.0726,31.0%,53.5%,16.79,27.19~57.45,19.76~54.2,,1.75,0.35,30.75,33.39,,,
14,000049.SZ,德赛电池,1995,,20230306,44.0,1.7097,1.34,14.5054,34.5%,55.5%,25.27,10.49~26.53,10.99~25.31,,2.0,0.59,23.65,70.97,,,
15,002884.SZ,凌霄泵业,2017,,20230306,16.59,6.0277,6.75,12.6126,37.5%,53.5%,20.71,10.42~23.7,8.15~23.29,,2.0,1.12,74.54,8.45,,,
16,600298.SH,安琪酵母,2000,长期,20230306,39.77,1.2047,1.06,29.0982,43.5%,64.5%,21.99,21.24~46.12,19.17~43.53,,2.0,0.42,34.31,46.8,,,
17,300357.SZ,我武生物,2014,,20230306,52.12,0.3856,0.46,69.8622,45.0%,54.5%,24.02,55.14~131.82,42.43~120.65,,1.5,0.24,31.29,5.72,,,
18,300529.SZ,健帆生物,2016,,20230306,31.72,2.7985,2.14,21.2235,52.0%,23.0%,30.4,10.52~95.72,20.55~88.35,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
19,002508.SZ,老板电器,2010,,20230306,30.99,1.605,1.97,24.0519,53.5%,96.5%,24.01,16.69~24.97,14.67~24.55,,1.5,0.61,39.35,34.91,,,
20,603899.SH,晨光股份,2015,长期,20230306,51.87,1.1578,0.79,35.9894,54.0%,53.5%,26.23,22.21~70.29,24.53~63.87,,1.75,0.41,35.76,39.98,,,
21,600600.SH,青岛啤酒,1993,长期,20230306,114.09,0.9643,0.58,40.8341,57.5%,63.0%,10.23,27.24~65.96,24.53~62.15,,2.0,0.66,44.87,46.37,,,
22,600612.SH,老凤祥,1992,,20230306,50.93,2.847,2.36,15.6688,58.0%,74.5%,21.21,9.42~20.32,10.43~21.67,,2.0,1.2,45.31,51.38,,,
23,600085.SH,同仁堂,1997,长期,20230306,50.98,0.5689,0.73,53.3623,63.5%,99.0%,11.77,34.77~54.19,30.62~53.32,,1.75,0.37,48.2,30.18,,,
24,300015.SZ,爱尔眼科,2009,长期,20230306,30.84,0.2931,0.58,82.6791,64.0%,46.5%,20.49,55.12~185.78,46.04~166.64,,1.75,0.18,41.94,39.14,,,
25,603866.SH,桃李面包,2015,,20230306,17.41,2.4616,5.05,35.8183,69.0%,66.0%,18.9,19.29~53.61,23.3~53.76,,2.0,0.88,78.95,16.76,,,
26,002304.SZ,洋河股份,2009,,20230306,171.43,1.7494,1.72,27.5801,70.5%,65.5%,21.82,19.02~43.2,14.06~40.3,,1.75,2.95,59.95,32.33,,,
27,600436.SH,片仔癀,2003,长期,20230306,310.44,0.3898,0.25,75.8568,71.0%,63.0%,24.1,53.16~126.36,37.85~114.87,,1.5,0.79,31.76,20.16,,,
28,601318.SH,中国平安,2007,长期,20230306,48.58,4.9021,2.74,9.2081,71.5%,65.5%,18.87,5.16~13.2,5.57~14.75,,2.25,1.33,19.94,89.53,,,
29,002415.SZ,海康威视,2010,,20230306,39.9,2.2723,1.75,29.1273,72.5%,72.5%,30.75,16.22~40.5,17.47~38.91,,1.5,0.7,51.53,39.23,,,
30,000538.SZ,云南白药,1993,长期,20230306,57.77,1.9776,4.15,39.0539,74.0%,99.5%,14.5,22.87~39.73,21.91~38.29,,1.75,2.4,73.32,29.85,,,
31,002916.SZ,深南电路,2017,,20230306,81.2,1.17,1.06,25.458,77.5%,39.5%,21.79,12.43~62.19,16.81~64.57,,2.25,0.86,31.74,53.79,,,
32,603833.SH,欧派家居,2017,,20230306,133.6,1.3099,0.87,32.0076,79.0%,68.0%,22.46,18.79~47.07,17.02~46.88,,2.0,1.16,30.31,35.64,,,
33,002867.SZ,周大生,2017,,20230306,16.53,2.9964,3.02,15.7606,80.0%,60.5%,21.77,8.22~25.18,9.31~26.35,,2.0,0.5,38.02,21.25,,,
34,603360.SH,百傲化学,2017,,20230306,18.82,,3.03,11.4301,82.0%,43.0%,23.28,9.31~20.97,4.72~34.94,,2.0,0.57,64.62,18.77,,,
35,603369.SH,今世缘,2014,,20230306,62.8,0.9337,0.65,32.6656,84.0%,70.5%,20.74,20.05~47.61,15.85~44.25,,1.75,0.41,35.75,30.0,,,
36,603387.SH,基蛋生物,2017,,20230306,13.36,1.8178,2.92,10.9094,85.0%,27.0%,21.38,5.62~37.04,6.18~43.14,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
37,002236.SZ,大华股份,2008,,20230306,15.89,1.6776,1.2,18.0346,89.0%,74.5%,21.5,10.74~21.72,8.52~26.94,,2.25,0.19,18.56,47.45,,,
38,603707.SH,健友股份,2017,,20230306,17.05,0.6767,1.06,24.581,91.5%,33.0%,21.5,12.33~74.21,13.29~72.35,,2.25,0.18,22.01,35.86,,,
39,000858.SZ,五粮液,1998,长期,20230306,204.58,1.4777,1.06,30.4966,92.0%,54.5%,23.54,18.16~58.64,14.04~53.34,,1.75,2.16,50.18,24.79,,,
