,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,002507.SZ,涪陵榨菜,2010,20230310,24.65,1.4199,24.3439,4.5%,44.5%,1.75,20230203.0,26.743,25.28,-7.83
1,600887.SH,伊利股份,1996,20230310,29.11,3.2985,21.1151,7.5%,58.0%,1.75,,,,
2,000895.SZ,双汇发展,1998,20230310,25.35,7.4872,16.0308,12.5%,58.0%,1.5,20230208.0,25.173,15.86,0.7
3,002841.SZ,视源股份,2017,20230310,64.52,1.3259,21.8641,24.0%,39.5%,2.0,20230209.0,64.33,21.91,0.3
4,300529.SZ,健帆生物,2016,20230310,31.0,2.8635,20.7418,53.5%,22.0%,1.75,20230202.0,34.897,23.21,-11.17
5,603387.SH,基蛋生物,2017,20230310,13.71,1.7714,11.1952,93.0%,28.0%,2.0,20230217.0,13.253,10.88,3.45
6,600276.SH,恒瑞医药,2000,20230310,41.86,0.3822,76.3713,117.0%,75.5%,2.0,20210810.0,57.559,56.74,-27.27
7,603338.SH,浙江鼎力,2015,20230310,59.82,0.5684,29.3782,131.5%,42.0%,2.25,20230130.0,51.596,,15.94
