,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,002507.SZ,涪陵榨菜,2010,20230302,25.86,1.3534,25.5389,8.0%,46.5%,1.75,20230203.0,26.743,25.28,-3.3
1,000895.SZ,双汇发展,1998,20230302,26.66,7.1193,16.8593,18.0%,61.0%,1.5,20230208.0,25.173,15.86,5.91
2,002841.SZ,视源股份,2017,20230302,69.7,1.2274,23.6194,32.0%,42.5%,2.0,20230209.0,64.33,21.91,8.35
3,300529.SZ,健帆生物,2016,20230302,32.26,2.7516,21.5848,52.5%,23.0%,1.75,20230202.0,34.897,23.21,-7.56
4,603387.SH,基蛋生物,2017,20230302,13.37,1.8164,10.9176,83.0%,27.0%,2.0,20230217.0,13.253,10.88,0.88
5,603338.SH,浙江鼎力,2015,20230302,58.24,0.5838,28.6022,121.5%,41.0%,2.25,20230130.0,51.596,,12.88
6,600276.SH,恒瑞医药,2000,20230302,43.19,0.3704,78.7978,124.0%,77.5%,2.0,20210810.0,57.559,56.74,-24.96
