,证券代码,证券简称,上市年份,日期,收盘价,股息率,PE_TTM,距离买点%,距离卖点%,标准差倍数,买入日期,买入价格,买入PE,盈亏%
0,002508.SZ,老板电器,2010,20230426,25.77,1.9302,15.3482,-3.0%,61.5%,1.5,,,,
1,600887.SH,伊利股份,1996,20230426,27.46,3.4967,19.9183,4.0%,54.5%,1.75,,,,
2,002507.SZ,涪陵榨菜,2010,20230426,23.63,1.4812,23.3366,5.0%,42.5%,1.75,20230203.0,26.743,25.28,-11.64
3,603568.SH,伟明环保,2015,20230426,18.1,0.5525,18.5491,9.0%,57.0%,2.0,,,,
4,000895.SZ,双汇发展,1998,20230426,25.31,7.499,15.5244,12.0%,56.0%,1.5,20230208.0,25.173,15.86,0.54
5,002841.SZ,视源股份,2017,20230426,63.2,1.3536,21.6358,28.0%,39.5%,2.0,20230209.0,64.33,21.91,-1.76
6,603338.SH,浙江鼎力,2015,20230426,52.81,0.6438,21.269,91.5%,30.5%,2.25,20230130.0,51.596,,2.35
7,600276.SH,恒瑞医药,2000,20230426,48.2,0.3319,78.6672,124.0%,77.5%,2.0,20210810.0,57.559,56.74,-16.26
8,300529.SZ,健帆生物,2016,20230426,29.31,3.0286,26.6138,147.5%,29.0%,1.75,20230202.0,34.897,23.21,-16.01
9,603387.SH,基蛋生物,2017,20230426,12.87,1.887,13.2457,153.5%,33.5%,2.0,20230217.0,13.253,10.88,-2.89
