,证券代码,证券简称,跟踪时间,日期,收盘价,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
49,300015.SZ,爱尔眼科,长期,20230131,32.86,88.0945,69.33%,54.33%,65.16~176.38,54.38~158.2,41.45~147.05,
50,002304.SZ,洋河股份,,20230131,175.6,28.251,70.0%,72.67%,19.99~41.65,15.91~38.45,14.71~36.13,
51,603203.SH,快克股份,,20230131,32.19,29.9512,70.33%,88.67%,21.23~28.99,19.51~30.61,13.78~45.06,
52,603605.SH,珀莱雅,,20230131,164.99,66.1511,78.0%,75.33%,59.93~86.65,32.55~87.75,29.92~87.46,
53,002271.SZ,东方雨虹,,20230131,37.12,29.3826,82.33%,74.67%,20.58~41.48,14.21~38.91,14.76~37.0,
54,600276.SH,恒瑞医药,长期,20230131,42.21,77.0098,83.0%,84.33%,40.86~94.3,46.26~91.28,39.33~87.31,
55,603444.SH,吉比特,,20230131,353.5,19.9297,83.67%,51.33%,11.43~41.45,10.02~36.9,11.12~38.02,
56,000858.SZ,五粮液,长期,20230131,209.0,31.1555,83.67%,60.33%,20.95~55.75,16.87~50.61,14.18~47.32,
57,300595.SZ,欧普康视,,20230131,37.03,53.7028,85.67%,37.0%,42.23~158.99,26.59~139.93,23.43~132.47,
58,300357.SZ,我武生物,,20230131,56.5,75.7332,89.67%,62.0%,55.9~131.84,41.32~120.94,30.08~112.22,
59,002901.SZ,大博医疗,,20230131,35.79,34.5422,93.33%,48.33%,15.05~74.63,19.29~68.41,20.07~69.93,
60,600436.SH,片仔癀,长期,20230131,310.8,75.9448,94.67%,65.33%,51.59~126.65,37.31~114.83,32.4~105.92,
61,603039.SH,ST泛微,,20230131,59.76,58.7729,96.67%,45.0%,22.64~138.0,35.66~127.52,35.03~123.21,
62,603801.SH,志邦家居,,20230131,30.3,18.1565,103.0%,55.33%,10.48~29.04,8.34~32.78,8.29~36.69,
63,600690.SH,海尔智家,,20230131,25.7,16.4061,105.0%,54.33%,9.39~33.61,7.47~29.53,7.36~27.16,
64,300701.SZ,森霸传感,,20230131,8.77,35.901,110.33%,72.0%,15.91~42.71,18.19~52.01,17.1~56.84,
65,603639.SH,海利尔,,20230131,27.36,16.3532,113.0%,71.33%,12.12~19.32,10.68~19.76,4.64~33.7,
66,603198.SH,迎驾贡酒,,20230131,65.5,32.2856,113.67%,87.33%,17.9~38.94,13.2~35.58,14.85~35.69,
67,600809.SH,山西汾酒,长期,20230131,291.55,47.1572,120.0%,50.0%,32.82~103.66,18.8~92.62,17.65~84.95,
68,600763.SH,通策医疗,,20230131,162.36,87.0721,225.67%,51.67%,42.34~190.02,27.74~164.96,18.96~149.46,
69,603180.SH,金牌厨柜,,20230131,34.43,15.4209,264.0%,44.33%,11.44~24.04,3.74~40.34,2.82~49.02,
70,300571.SZ,平治信息,,20230131,30.6,22.9281,374.67%,50.0%,17.25~31.03,10.36~48.2,2.14~75.12,
