,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
45,603886.SH,元祖股份,,20211015,21.03,4.7551,15.004,68.0%,49.67%,12.43~21.63,7.8~37.36,7.8~37.36,
46,600600.SH,青岛啤酒,长期,20211015,84.1,0.8918,41.549,70.33%,71.0%,28.18~61.28,25.96~58.5,20.27~55.33,
47,002415.SZ,海康威视,,20211015,55.9,1.4323,34.2368,78.67%,83.67%,19.22~39.82,19.91~41.85,18.27~39.97,
48,603568.SH,伟明环保,,20211015,27.45,1.1036,22.4988,89.0%,52.0%,19.29~30.19,16.27~43.87,7.17~70.89,
49,002884.SZ,凌霄泵业,,20211015,21.11,4.3987,18.322,93.33%,75.67%,9.63~21.45,9.37~25.55,9.37~25.55,
50,300628.SZ,亿联网络,,20211015,81.85,0.7947,51.3033,94.67%,91.67%,27.88~57.36,25.59~54.89,25.59~54.89,
51,603369.SH,今世缘,,20211015,47.59,0.9456,31.7207,96.67%,76.0%,18.31~45.79,15.16~41.14,15.22~38.62,
52,002271.SZ,东方雨虹,,20211015,45.99,0.6523,30.3089,118.0%,75.67%,13.06~42.22,14.09~38.91,14.61~37.99,
53,603180.SH,金牌厨柜,,20211015,31.91,1.8865,15.4942,119.67%,40.0%,15.66~24.76,5.52~53.18,5.52~53.18,
54,600885.SH,宏发股份,,20211015,69.51,0.4891,52.0238,134.0%,103.67%,22.45~54.17,22.13~49.23,21.99~47.13,
55,300015.SZ,爱尔眼科,长期,20211015,47.12,0.2427,117.7446,166.0%,73.33%,59.84~177.14,39.42~158.72,38.71~145.99,
56,603288.SH,海天味业,长期,20211015,114.67,0.6909,74.2844,167.0%,84.0%,41.92~95.54,26.95~87.67,21.25~80.91,
57,002304.SZ,洋河股份,,20211015,184.24,1.6179,35.8587,169.0%,97.33%,12.95~40.13,14.04~36.54,12.96~34.02,
58,603198.SH,迎驾贡酒,,20211015,50.78,1.3785,33.5216,171.0%,97.0%,12.44~32.0,14.06~30.88,10.92~42.08,
59,600519.SH,贵州茅台,长期,20211015,1916.97,1.0064,49.3972,172.0%,93.33%,24.12~57.16,21.57~51.91,12.88~49.7,
60,603605.SH,珀莱雅,,20211015,189.77,0.3794,72.9272,172.67%,82.67%,34.36~90.22,24.0~86.44,24.0~86.44,
61,300357.SZ,我武生物,,20211015,56.48,0.2833,92.787,180.0%,76.33%,47.93~134.17,28.23~120.03,29.03~111.43,
62,300571.SZ,平治信息,,20211015,39.92,0.2505,18.8343,191.67%,34.67%,19.48~32.42,4.83~81.41,4.83~81.41,
63,000858.SZ,五粮液,长期,20211015,234.32,1.1011,40.7869,194.67%,79.67%,18.02~56.28,15.46~50.26,10.32~47.08,
64,600690.SH,海尔智家,,20211015,26.21,1.3861,19.0196,205.0%,64.0%,5.77~33.17,6.63~28.95,6.33~26.85,
65,603639.SH,海利尔,,20211015,17.54,1.2217,15.5705,243.67%,61.0%,11.48~15.98,3.47~35.85,3.47~35.85,
66,300595.SZ,欧普康视,,20211015,65.23,0.2245,98.8281,292.67%,67.33%,36.78~159.36,21.72~140.5,21.72~140.5,
67,600436.SH,片仔癀,长期,20211015,422.6,0.213,132.6547,355.0%,121.33%,31.02~122.12,30.19~107.57,26.56~99.4,
68,600763.SH,通策医疗,,20211015,246.65,,110.3077,390.0%,65.0%,36.83~190.61,18.16~164.34,19.55~154.73,
69,300450.SZ,先导智能,,20211015,76.4,0.2276,114.9181,418.67%,109.0%,19.05~105.91,23.55~98.39,24.66~110.96,
70,600809.SH,山西汾酒,长期,20211015,346.8,0.0412,84.3243,473.33%,87.33%,13.88~103.96,14.89~90.25,15.4~94.96,
