,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,601318.SH,中国平安,长期,20210924,48.08,2.893,6.6373,-16.0%,44.0%,8.15~13.25,7.86~15.72,7.85~16.27,
1,002032.SZ,苏泊尔,,20210924,46.01,2.7901,18.3751,-14.33%,49.33%,24.98~38.6,22.43~36.75,18.02~35.98,
2,300482.SZ,万孚生物,,20210924,41.8,0.9182,25.1052,-10.67%,31.67%,25.6~67.84,29.18~82.66,30.88~87.82,
3,600612.SH,老凤祥,,20210924,46.45,2.6911,12.8769,-10.33%,58.33%,14.29~20.81,14.8~21.22,14.36~23.68,
4,002841.SZ,视源股份,,20210924,81.55,1.229,30.3579,-10.0%,58.67%,33.96~50.14,33.77~51.77,33.77~51.77,
5,603515.SH,欧普照明,,20210924,21.4,2.3129,16.2789,-9.0%,40.67%,19.4~30.38,17.57~45.39,17.09~46.91,
6,000661.SZ,长春高新,长期,20210924,251.95,0.3175,27.8589,-5.67%,37.33%,30.27~80.03,29.78~72.12,29.06~68.44,
7,300701.SZ,森霸传感,,20210924,16.7,1.996,20.5862,-3.67%,36.67%,22.24~48.82,21.21~60.13,21.21~60.13,
8,603866.SH,桃李面包,,20210924,29.18,2.4479,33.2991,-2.0%,66.0%,33.81~49.01,34.63~49.23,34.32~51.44,
9,603387.SH,基蛋生物,,20210924,18.73,1.3672,17.9488,-2.0%,45.0%,19.67~32.53,17.68~44.44,17.68~44.44,
10,300529.SZ,健帆生物,,20210924,55.58,1.1861,42.4445,3.0%,46.0%,44.62~86.66,40.48~90.74,38.85~94.55,
11,603039.SH,ST泛微,,20210924,65.26,0.1915,57.7826,8.0%,44.0%,57.57~134.67,51.37~127.29,51.37~127.29,
12,603043.SH,广州酒家,,20210924,21.52,1.3277,24.8564,9.33%,60.33%,22.86~41.98,22.59~40.35,22.59~40.35,
13,300653.SZ,正海生物,,20210924,53.5,0.4673,44.4576,10.33%,58.67%,39.3~76.14,40.6~75.2,40.6~75.2,
14,600276.SH,恒瑞医药,长期,20210924,49.8,0.3347,50.2986,11.0%,55.33%,54.8~93.48,46.44~90.62,37.67~86.51,
15,000538.SZ,云南白药,长期,20210924,99.05,3.8703,26.0478,13.33%,77.67%,22.59~32.49,23.48~34.24,22.55~33.55,
