,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,002841.SZ,视源股份,,20230203,63.4,1.3493,21.4845,-9.67%,42.0%,21.43~47.11,24.71~52.85,25.83~52.37,
1,300628.SZ,亿联网络,,20230203,62.92,1.2724,26.0358,-3.33%,46.33%,30.53~58.71,25.11~54.53,25.59~54.11,
2,002507.SZ,涪陵榨菜,长期,20230203,26.82,1.305,25.4668,-1.67%,49.67%,27.47~53.19,24.85~50.23,25.7~48.26,
3,300529.SZ,健帆生物,,20230203,34.1,2.6032,22.8159,-1.0%,25.33%,18.61~90.23,26.41~83.35,25.99~92.59,
4,603387.SH,基蛋生物,,20230203,13.22,1.837,10.7951,-0.67%,28.0%,10.22~33.38,11.25~38.89,11.23~43.03,
5,600036.SH,招商银行,长期,20230203,39.3,3.8728,7.1815,4.67%,54.67%,6.6~13.68,7.25~12.93,6.74~12.5,
6,300662.SZ,科锐国际,,20230203,49.79,0.4157,34.7799,12.0%,53.67%,28.85~65.33,31.67~62.49,32.29~65.43,
7,000848.SZ,承德露露,,20230203,8.95,,16.3355,12.67%,67.33%,13.61~23.73,14.52~23.6,15.38~25.06,
8,603338.SH,浙江鼎力,,20230203,56.5,0.6018,27.7477,13.0%,46.0%,21.87~62.79,24.48~57.94,27.9~58.62,
9,600887.SH,伊利股份,长期,20230203,32.03,2.9976,23.2347,14.0%,67.0%,20.86~35.96,21.17~34.07,19.02~33.52,
10,000895.SZ,双汇发展,长期,20230203,25.5,7.4431,16.1257,14.0%,60.0%,14.92~28.52,13.84~26.46,13.59~25.17,
11,300638.SZ,广和通,,20230203,21.4,0.6128,37.1396,14.67%,47.67%,29.94~72.86,32.82~77.6,34.55~79.73,
12,000333.SZ,美的集团,长期,20230203,53.31,3.1305,12.6061,14.67%,53.33%,10.79~24.57,11.42~23.26,10.6~22.72,
13,603360.SH,百傲化学,,20230203,17.04,,10.3491,16.33%,36.67%,10.92~20.0,8.81~31.31,7.51~38.51,
14,002032.SZ,苏泊尔,,20230203,52.96,5.9957,21.2875,17.33%,57.33%,16.31~37.15,19.3~37.56,18.93~35.69,
15,603568.SH,伟明环保,,20230203,19.53,0.512,20.8682,20.0%,58.33%,19.2~31.44,19.64~31.06,14.21~49.03,
16,600612.SH,老凤祥,,20230203,47.1,3.0786,14.2076,20.33%,69.33%,10.8~19.1,11.86~20.38,12.73~21.63,
17,002884.SZ,凌霄泵业,,20230203,17.28,5.787,13.1372,25.67%,57.33%,12.03~22.05,10.08~21.58,9.5~24.52,
18,002236.SZ,大华股份,,20230203,13.05,2.0426,14.8113,27.33%,59.67%,12.51~20.25,11.24~24.7,11.12~31.24,
19,603515.SH,欧普照明,,20230203,16.68,2.9374,15.9249,28.33%,44.67%,12.29~29.23,12.82~35.22,12.0~45.2,
20,603043.SH,广州酒家,,20230203,25.58,1.5606,24.8838,29.0%,62.0%,18.08~41.46,19.57~38.97,20.14~38.9,
21,600885.SH,宏发股份,,20230203,36.84,0.8318,31.7442,29.33%,61.0%,29.95~55.25,22.29~51.81,22.51~48.71,
22,002867.SZ,周大生,,20230203,14.76,3.3557,14.073,29.67%,55.67%,10.33~23.07,11.48~24.48,10.69~28.61,
23,603589.SH,口子窖,,20230203,59.08,2.5257,19.9319,30.67%,64.33%,14.53~30.51,14.97~29.79,16.33~32.01,
24,300482.SZ,万孚生物,,20230203,32.62,0.9158,11.6274,31.0%,15.67%,4.95~68.67,13.09~67.19,16.65~82.57,
