,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,300662.SZ,科锐国际,,20221031,32.18,0.9385,22.4788,-30.0%,34.0%,30.33~65.07,33.32~64.24,33.65~65.69,
1,600036.SH,招商银行,长期,20221031,26.82,5.6749,5.0769,-29.67%,38.67%,7.31~13.61,7.73~12.91,6.81~12.47,
2,300529.SZ,健帆生物,,20221031,31.68,2.8019,21.1978,-23.67%,23.33%,25.28~90.34,30.24~82.34,28.95~92.75,
3,002507.SZ,涪陵榨菜,长期,20221031,22.51,1.5549,21.3742,-21.67%,42.0%,29.31~52.43,26.25~50.29,26.94~48.42,
4,300482.SZ,万孚生物,,20221031,30.25,0.9875,10.7826,-20.67%,14.0%,9.61~70.01,16.05~70.55,18.66~86.84,
5,603866.SH,桃李面包,,20221031,11.26,3.8061,21.9186,-19.67%,42.67%,25.15~50.15,28.27~49.95,29.47~52.03,
6,603338.SH,浙江鼎力,,20221031,44.93,0.7567,22.0655,-17.67%,36.0%,25.34~62.84,26.66~58.12,29.2~60.24,
7,002841.SZ,视源股份,,20221031,65.06,1.3248,21.8785,-16.0%,42.67%,24.27~46.81,27.14~52.34,27.69~52.13,
8,000333.SZ,美的集团,长期,20221031,40.18,4.1544,9.5,-15.67%,39.67%,11.71~24.49,12.11~23.65,10.35~22.81,
9,002032.SZ,苏泊尔,,20221031,40.01,4.8201,16.0822,-14.67%,43.33%,17.78~38.18,20.34~37.4,19.02~35.66,
10,603387.SH,基蛋生物,,20221031,13.22,1.837,10.7951,-13.67%,27.33%,12.41~33.27,12.63~41.05,12.6~43.24,
11,603589.SH,口子窖,,20221031,40.5,3.6844,13.6635,-11.33%,42.67%,14.72~30.46,15.38~30.62,16.32~33.46,
12,600887.SH,伊利股份,长期,20221031,25.24,3.804,18.3092,-11.33%,52.67%,21.75~35.83,21.85~34.39,18.97~33.53,
13,603833.SH,欧派家居,,20221031,81.42,2.1493,19.5065,-8.67%,42.33%,21.95~43.45,20.88~45.38,21.49~47.27,
14,300638.SZ,广和通,,20221031,18.73,0.7093,32.0868,-7.67%,41.0%,33.32~73.3,35.41~79.11,36.44~80.02,
15,000848.SZ,承德露露,,20221031,7.5,,13.689,-6.67%,55.33%,13.95~23.73,14.87~24.07,15.68~25.48,
16,002867.SZ,周大生,,20221031,11.07,7.1726,10.5547,-5.0%,40.67%,10.59~23.07,11.86~25.5,11.03~28.87,
17,600612.SH,老凤祥,,20221031,38.41,3.7751,11.5863,-4.33%,55.33%,11.16~19.68,12.23~20.67,13.05~21.93,
18,300653.SZ,正海生物,,20221031,41.06,1.4288,37.429,-2.0%,50.33%,37.42~75.56,38.36~72.58,39.03~72.89,
19,000661.SZ,长春高新,长期,20221031,161.9,0.4911,16.08,-0.67%,21.0%,12.29~82.31,18.36~74.82,20.25~69.17,
20,000895.SZ,双汇发展,长期,20221031,22.78,8.3319,14.4056,-0.33%,53.67%,15.63~28.41,14.28~26.56,13.56~25.18,
21,603043.SH,广州酒家,,20221031,20.38,1.9627,19.7858,0.33%,49.0%,18.88~41.64,19.96~38.98,20.41~39.19,
22,300628.SZ,亿联网络,,20221031,68.88,1.1623,28.502,0.67%,51.0%,33.92~57.46,25.86~54.3,26.62~54.34,
23,601318.SH,中国平安,长期,20221031,36.15,6.5877,6.852,1.33%,49.0%,6.63~11.97,6.53~15.09,7.09~14.99,
24,603360.SH,百傲化学,,20221031,16.59,,10.0758,2.67%,34.0%,11.63~21.47,9.99~32.05,8.28~38.88,
25,000651.SZ,格力电器,长期,20221031,28.67,10.2879,6.2766,3.0%,31.33%,5.7~21.54,6.18~19.58,6.44~18.78,
26,603899.SH,晨光股份,长期,20221031,40.3,1.4901,27.9617,3.0%,44.67%,27.31~67.15,27.62~61.06,26.33~57.61,
27,002415.SZ,海康威视,,20221031,28.42,3.1668,18.2686,4.0%,44.67%,17.1~40.58,17.94~41.16,17.36~39.82,
28,600600.SH,青岛啤酒,长期,20221031,81.8,1.3447,29.2798,6.0%,49.33%,31.36~61.32,29.96~58.04,23.09~56.45,
29,603369.SH,今世缘,,20221031,37.38,1.5687,19.4433,7.0%,45.67%,22.31~45.45,17.32~42.1,15.99~39.33,
30,002508.SZ,老板电器,,20221031,20.5,2.4264,15.9105,7.0%,58.0%,16.61~24.57,13.63~26.89,14.48~30.76,
31,002884.SZ,凌霄泵业,,20221031,15.02,6.6578,11.419,9.67%,48.67%,11.54~22.26,10.03~23.05,9.7~24.78,
32,002236.SZ,大华股份,,20221031,11.58,2.3019,13.1429,13.0%,49.67%,12.91~20.93,10.66~27.44,11.4~32.54,
33,600298.SH,安琪酵母,长期,20221031,36.18,1.3243,26.4715,14.33%,62.0%,23.85~42.95,22.37~40.91,22.84~43.12,
34,603515.SH,欧普照明,,20221031,15.72,3.1168,15.0083,14.67%,40.33%,13.21~29.45,13.18~37.68,12.71~45.59,
35,601155.SH,新城控股,,20221031,13.19,,2.963,15.0%,26.67%,3.7~7.38,2.12~12.64,2.37~16.59,修正标准差
36,600519.SH,贵州茅台,长期,20221031,1350.0,1.6056,28.4571,15.33%,51.67%,33.91~57.09,25.21~54.29,18.97~52.03,
37,000858.SZ,五粮液,长期,20221031,133.5,2.2644,19.9007,17.33%,38.67%,22.03~55.57,17.55~50.77,13.44~47.36,
38,600885.SH,宏发股份,,20221031,34.31,0.8931,29.5642,18.67%,56.67%,31.17~54.95,22.6~51.78,22.55~48.77,
39,603288.SH,海天味业,长期,20221031,59.68,1.1577,41.7101,20.0%,46.33%,47.89~95.37,38.12~88.0,25.48~83.76,
40,002271.SZ,东方雨虹,,20221031,24.5,1.219,19.4032,22.33%,49.0%,19.06~41.84,14.38~39.04,14.66~36.94,
41,603444.SH,吉比特,,20221031,254.65,6.2831,14.3567,26.33%,36.33%,12.37~41.65,10.49~37.19,11.24~38.42,
42,002833.SZ,弘亚数控,,20221031,15.25,2.4356,13.6063,27.0%,38.33%,10.42~32.66,11.14~33.6,10.54~39.36,
43,300015.SZ,爱尔眼科,长期,20221031,24.7,0.366,66.2183,27.33%,41.0%,68.53~175.81,52.86~158.5,41.22~146.9,
44,002304.SZ,洋河股份,,20221031,130.65,2.2954,21.0193,29.33%,54.0%,18.72~41.96,16.07~38.51,14.37~36.01,
45,300450.SZ,先导智能,,20221031,50.09,0.997,34.914,32.33%,31.67%,35.59~115.25,21.56~103.28,25.38~106.7,
46,603568.SH,伟明环保,,20221031,18.93,0.5283,20.2271,34.67%,53.67%,19.75~31.49,19.98~32.02,10.06~58.18,
47,603886.SH,元祖股份,,20221031,16.26,6.1501,12.756,39.67%,52.33%,11.59~18.39,10.89~24.47,6.61~35.37,
48,603203.SH,快克股份,,20221031,25.83,3.8482,24.0335,40.33%,69.0%,20.69~28.87,18.49~32.95,13.61~45.47,
49,603801.SH,志邦家居,,20221031,20.86,2.8475,12.501,40.67%,37.0%,10.37~29.03,8.07~35.49,8.39~37.15,
50,300595.SZ,欧普康视,,20221031,29.72,0.4677,43.1017,44.0%,29.67%,47.59~157.83,26.15~139.81,24.29~134.09,
51,000049.SZ,德赛电池,,20221031,49.72,1.5086,16.4395,45.67%,56.67%,12.99~24.73,12.47~25.41,9.09~40.91,
52,600436.SH,片仔癀,长期,20221031,228.0,0.5307,55.6349,49.67%,47.67%,47.45~127.79,36.21~114.59,31.0~105.64,
53,603811.SH,诚意药业,,20221031,15.87,1.5753,23.9016,51.33%,66.67%,16.98~30.84,16.89~34.73,13.78~43.04,
54,603039.SH,ST泛微,,20221031,50.23,0.2944,49.4003,53.33%,37.33%,25.83~138.53,37.08~128.1,36.29~124.49,
55,600085.SH,同仁堂,长期,20221031,48.75,0.5949,51.0281,53.67%,97.67%,33.09~52.11,32.33~51.15,33.93~52.17,
56,603848.SH,好太太,,20221031,11.68,2.1404,18.4308,55.33%,56.33%,15.55~23.85,10.56~39.26,10.56~39.26,
57,000538.SZ,云南白药,长期,20221031,54.56,2.0939,36.8839,58.0%,102.33%,23.59~36.39,23.44~35.98,22.84~35.36,
58,603198.SH,迎驾贡酒,,20221031,47.1,1.9108,23.2161,59.67%,62.33%,16.52~38.74,13.05~35.09,14.29~37.27,
59,300357.SZ,我武生物,,20221031,47.0,0.4277,62.9993,61.67%,51.33%,58.34~132.0,38.14~121.2,29.44~111.9,
60,600690.SH,海尔智家,,20221031,20.8,2.1886,13.2764,68.33%,43.67%,8.92~33.68,7.6~29.54,7.24~27.36,
61,600809.SH,山西汾酒,长期,20221031,232.38,0.7746,37.5867,74.0%,40.0%,32.3~103.82,19.22~92.88,17.77~84.95,
62,600276.SH,恒瑞医药,长期,20221031,40.2,0.3979,73.3427,76.0%,80.33%,41.03~95.25,46.03~90.91,38.2~86.62,
63,603605.SH,珀莱雅,,20221031,167.15,0.3648,67.017,93.33%,76.0%,56.68~87.72,28.94~87.58,28.94~87.58,
64,603639.SH,海利尔,,20221031,25.2,3.9683,15.0815,105.0%,63.33%,11.73~19.29,9.61~22.17,4.55~34.11,
65,002901.SZ,大博医疗,,20221031,40.5,1.2346,39.088,108.0%,53.67%,16.56~76.36,20.05~69.95,20.07~70.77,
66,603868.SH,飞科电器,,20221031,79.31,1.2609,39.2627,108.0%,92.33%,20.39~42.47,17.33~40.85,19.0~43.76,
67,300701.SZ,森霸传感,,20221031,8.58,1.2898,35.1232,112.0%,67.67%,15.23~44.87,17.79~54.61,16.74~57.38,
68,600763.SH,通策医疗,,20221031,122.25,,65.5615,154.33%,38.67%,41.72~190.12,25.28~164.72,18.88~150.38,
69,603180.SH,金牌厨柜,,20221031,24.87,4.2656,11.1391,198.0%,30.0%,12.22~24.22,2.43~46.57,3.23~49.75,
70,300571.SZ,平治信息,,20221031,29.89,0.368,22.3961,329.67%,47.67%,17.43~31.47,10.29~51.63,2.37~76.21,
