证券代码,证券简称,买入日期,买入价格,买入PE
600276.SH,恒瑞医药,20210810,57.559,56.74
603338.SH,浙江鼎力,20230130,51.596,
603387.SH,基蛋生物,20230217,13.253,10.88
000895.SZ,双汇发展,20230208,25.173,15.86
002507.SZ,涪陵榨菜,20230203,26.743,25.28
002841.SZ,视源股份,20230209,64.33,21.91
300529.SZ,健帆生物,20230202,34.897,23.21
