ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
603589.SH,白酒,2015,2021,22.3023,50.286,17.2709,59686.5786,1.5,25.22,8.953,51.84,34.35
603589.SH,白酒,2015,2020,17.9047,40.1114,12.7574,59686.5786,1.2,26.19,7.1624,56.14,31.8
603589.SH,白酒,2015,2019,26.105,46.7209,17.2021,60000.0,1.5,26.2,9.0,52.32,36.82
603589.SH,白酒,2015,2018,27.2422,42.6896,15.3266,60000.0,1.5,30.25,9.0,58.72,35.9
603589.SH,白酒,2015,2017,23.8835,36.0265,11.1366,60000.0,0.75,33.76,4.5,40.41,30.91
603589.SH,白酒,2015,2016,19.8128,28.3018,7.8346,60000.0,0.45,25.47,2.7,34.46,27.68
603589.SH,白酒,2015,2015,20.3616,25.8401,6.054,60000.0,0.35,26.3,2.1,34.69,23.43
