ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
600298.SH,食品,2000,2021,20.5358,106.7533,13.0854,83269.2943,0.5,46.44,4.1635,31.82,12.26
600298.SH,食品,2000,2020,25.1198,89.3304,11.941,83286.0943,0.49473,42.74,4.1204,34.51,13.37
600298.SH,食品,2000,2019,19.3397,76.5275,10.391,82408.0943,0.4,46.53,3.2963,31.72,13.58
600298.SH,食品,2000,2018,21.0593,66.856,7.3856,82408.0943,0.35,49.3,2.8843,39.05,11.05
600298.SH,食品,2000,2017,23.8773,57.7573,8.3667,82408.0943,0.35,49.01,2.8843,34.47,14.49
600298.SH,食品,2000,2016,17.0077,48.6053,3.1215,82408.0943,0.3,48.39,2.4722,79.2,6.42
600298.SH,食品,2000,2015,9.5574,42.1336,2.6604,32963.2377,0.3,47.27,0.9889,37.17,6.31
600298.SH,食品,2000,2014,5.2963,36.5411,1.359,32963.2377,0.1425,51.75,0.4697,34.56,3.72
600298.SH,食品,2000,2013,5.4125,31.1938,1.116,32963.2377,0.1425,53.76,0.4697,42.09,3.58
600298.SH,食品,2000,2012,9.4256,27.1366,2.3987,32963.2377,0.1425,47.69,0.4697,19.58,8.84
600298.SH,食品,2000,2011,15.18,25.0578,2.9216,32963.2377,0.135,35.02,0.445,15.23,11.66
600298.SH,食品,2000,2010,22.9149,21.0098,2.85,30604.6577,0.135,47.26,0.4132,14.5,13.56
600298.SH,食品,2000,2009,22.0539,16.8634,2.1019,27140.0,0.117,48.87,0.3175,15.11,12.46
