ts_code,行业,上市年份,year,roe,营业总收入(亿),净利润(亿),股本(万),每股分红,负债率,分红金额(亿),分红率,净利润率
603866.SH,食品,2015,2021,15.6281,63.3538,7.6327,95221.3783,0.6,17.98,5.7133,74.85,12.05
603866.SH,食品,2015,2020,20.5887,59.63,8.8284,68015.2702,1.0,14.99,6.8015,77.04,14.81
603866.SH,食品,2015,2019,19.076,56.4371,6.8336,65766.7591,1.0,27.82,6.5767,96.24,12.11
603866.SH,食品,2015,2018,19.5265,48.3323,6.4215,47062.6,1.0,12.51,4.7063,73.29,13.29
603866.SH,食品,2015,2017,19.6926,40.7971,5.1328,47062.6,0.8,10.51,3.765,73.35,12.58
603866.SH,食品,2015,2016,22.1858,33.0548,4.3555,45012.6,0.3,13.05,1.3504,31.0,13.18
603866.SH,食品,2015,2015,23.8679,25.6333,3.4696,45012.6,0.55,12.85,2.4757,71.35,13.54
